source_root,source_path,exists,suffix,year,district,stage,kind,size,mtime
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修1.docx,yes,.docx,2024,,一模,classification_compilation,568828,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修2 .docx,yes,.docx,2024,,一模,classification_compilation,1633889,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修3.docx,yes,.docx,2024,,一模,classification_compilation,366309,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编必修4.docx,yes,.docx,2024,,一模,classification_compilation,1517404,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必1.docx,yes,.docx,2024,,一模,classification_compilation,1940457,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必2.docx,yes,.docx,2024,,一模,classification_compilation,779706,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\其他材料\202404各区一模试题分类（按模块）\2024届各区一模试题分类汇编选必3.doc,yes,.doc,2024,,一模,classification_compilation,674304,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\细则\2024海淀期中细则.pdf,yes,.pdf,2024,海淀,期中,rubric_or_marking,5808964,1775032130.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中\试卷\海淀区2024～2025学年第一学期期中练习政治试题.pdf,yes,.pdf,2024,海淀,期中,paper_or_teacher,4988708,1775032152.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标2.docx,yes,.docx,2024,朝阳,期中,rubric_or_marking,121373,1775029858.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标docx.docx,yes,.docx,2024,朝阳,期中,rubric_or_marking,29099,1775029842.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\细则\2024朝阳期中细则.rtf,yes,.rtf,2024,朝阳,期中,rubric_or_marking,186917,1775029883.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题(1).pdf,yes,.pdf,2024,朝阳,期中,paper_or_teacher,532797,1775029871.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\试卷\202411朝阳高三政治 期中1试题.pdf,yes,.pdf,2024,朝阳,期中,paper_or_teacher,532797,1775029825.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx,yes,.docx,2024,顺义,二模,rubric_or_marking,32521,1742653995.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx,yes,.docx,2024,顺义,二模,paper_or_teacher,13156426,1742653995.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pdf,yes,.pdf,2024,西城,二模,explain_or_review,1174827,1742653996.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\西城东城二模选择题讲评.pptx,yes,.pptx,2024,西城,二模,explain_or_review,3106616,1742653996.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\其他材料\高三模拟测试思想政治答案.docx,yes,.docx,2024,西城,二模,answer,43143,1742653996.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\细则\2024西城二模细则.docx,yes,.docx,2024,西城,二模,rubric_or_marking,50023,1742653996.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx,yes,.docx,2024,西城,二模,paper_or_teacher,483636,1742653996.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\其他材料\高三二模：政治答案(2).docx,yes,.docx,2024,海淀,二模,answer,22380,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\细则\2024海淀二模细则.docx,yes,.docx,2024,海淀,二模,rubric_or_marking,535443,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三二模：政治试题（以PDF为准）(1).docx,yes,.docx,2024,海淀,二模,paper_or_teacher,253229,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模\试卷\高三政治：二模试题（海）(1).pdf,yes,.pdf,2024,海淀,二模,paper_or_teacher,513944,1742653994.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx,yes,.docx,2024,朝阳,二模,answer,28300,1742653996.0
C:\Users\Administrator\Desktop\2024各区模拟题,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf,yes,.pdf,2024,朝阳,二模,rubric_or_marking,558870,1763017638.0
