question_id,thinking_component,reasoning_component,primary_mount,secondary_mount,why_double_mount,whether_student_text_should_duplicate_or_cross_reference
Q-2024朝阳二模-19-1,辩证思维；动态性,假言；联言；类比；判断；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2024朝阳二模-19-2,辩证思维；动态性,假言；联言；类比；判断；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2024朝阳二模-7,科学思维,三段论；假言；归纳；判断；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2024朝阳期中-19,科学思维；辩证思维；创新思维；分析与综合；发散；聚合；联想；逆向；超前；迁移,概念；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2024朝阳期中-9,思维抽象；思维具体,归纳；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2025东城期末-18-2,创新思维；发散；聚合；联想；超前；迁移,三段论,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2025丰台期末-10,思维抽象；思维具体；感性具体,假言；归纳；类比；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2026东城一模-6,辩证否定,换质；换位；判断；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2026朝阳期中-13,联想；感性具体,类比；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2026通州期末-11,辩证思维；迁移；思维抽象；思维具体；感性具体,类比；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2026顺义一模-19-1,科学思维,三段论；判断；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2026顺义一模-19-2,科学思维,三段论；判断；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
Q-2026顺义一模-5,发散,判断；周延；推理,reasoning_typology,thinking_framework,同时包含思维方法信号和形式逻辑/推理规则；Phase06 必须双挂载，不能被一个交叉标签吞掉。,future_student_stage_cross_reference_only; no student text authorized in Phase06
