suite_id,suite_name,year,stage,current_trigger_count,required_minimum,need_to_add,status,current_examples
S001,2024海淀一模,2024,2024各区一模,3,3,0,PASS_3PLUS,2024海淀一模 第17(2)题 / 系统观念 / 系统优化；2024海淀一模 第1题 / 文化的功能 / 文化与经济政治；2024海淀一模 第1题 / 中华民族精神 / 文化自信
S002,2024西城一模,2024,2024各区一模,3,3,0,PASS_3PLUS,2024西城一模 第17题 / 主观能动性 / 意识的能动作用；2024西城一模 第17题 / 联系的普遍性 / 联系的观点（总）；2024西城一模 第17题 / 价值观的导向作用
S003,2024东城一模,2024,2024各区一模,7,3,0,PASS_3PLUS,2024东城一模 第18题第（3）问 / 系统观念 / 系统优化；2024东城一模 第18题第（3）问 / 发展的观点 / 发展的普遍性；2024东城一模 第2题 / 发展的观点 / 发展的普遍性；2024东城一模 第18题第（3）问 / 辩证否定 / 守正创新；2024东城一模 第1题 / 文化的功能 / 文化与经济政治；2024东城一模 第15题 / 文化的功能 / 文化与经济政治；2024东城一模 第3题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S004,2024朝阳一模,2024,2024各区一模,9,3,0,PASS_3PLUS,2024朝阳一模 第4题 / 规律的客观性；2024朝阳一模 第4题 / 规律的客观性；2024朝阳一模 第4题 / 根据固有联系建立新的具体联系；2024朝阳一模 第18题 / 两点论与重点论；2024朝阳一模 第18题 / 两点论与重点论；2024朝阳一模 第3题 / 实现人生价值；2024朝阳一模 第3题 / 文化的功能 / 文化与经济政治；2024朝阳一模 第4题 / 文化的功能 / 文化与经济政治；2024朝阳一模 第4题 / 文化的功能 / 文化与经济政治
S005,2024丰台一模,2024,2024各区一模,4,3,0,PASS_3PLUS,2024丰台一模 第18(1)题 / 系统观念 / 系统优化；2024丰台一模 第1题 / 文化的功能 / 文化与经济政治；2024丰台一模 第1题 / 文化的功能 / 文化与经济政治；2024丰台一模 第1题 / 文化的功能 / 文化与经济政治
S006,2024石景山一模,2024,2024各区一模,5,3,0,PASS_3PLUS,2024石景山一模 第12题 / 发展的观点 / 发展的普遍性；2024石景山一模 第12题 / 发展的观点 / 发展的普遍性；2024石景山一模 第12题 / 文化的功能 / 文化与经济政治；2024石景山一模 第12题 / 文化的功能 / 文化与经济政治；2024石景山一模 第12题 / 文化的功能 / 文化与经济政治
S007,2024门头沟一模,2024,2024各区一模,5,3,0,PASS_3PLUS,2024门头沟一模 第5题 / 发展的观点 / 发展的普遍性；2024门头沟一模 第9题 / 发展的观点 / 发展的普遍性；2024门头沟一模 第15题 / 发展的观点 / 发展的普遍性；2024门头沟一模 第2题 / 文化的功能 / 文化与经济政治；2024门头沟一模 第10题 / 文化的功能 / 文化与经济政治
S008,2024海淀二模,2024,2024各区二模,4,3,0,PASS_3PLUS,2024海淀二模 第16题 / 联系的普遍性 / 联系的观点（总）；2024海淀二模 第16题 / 矛盾就是对立统一；2024海淀二模 第16题 / 矛盾就是对立统一；2024海淀二模 第16题 / 实现人生价值
S009,2024西城二模,2024,2024各区二模,3,3,0,PASS_3PLUS,2024西城二模 第17题 / 尊重客观规律与发挥主观能动性相结合；2024西城二模 第17题 / 系统观念 / 系统优化；2024西城二模 第17题 / 价值观的导向作用
S010,2024东城二模,2024,2024各区二模,3,3,0,PASS_3PLUS,2024东城二模 第1题 / 文化的功能 / 文化与经济政治；2024东城二模 第2题 / 文化的功能 / 文化与经济政治；2024东城二模 第3题 / 文化的功能 / 文化与经济政治
S011,2024朝阳二模,2024,2024各区二模,3,3,0,PASS_3PLUS,2024朝阳高三二模 第16题（2） / 物质决定意识；2024朝阳高三二模 第16题（2） / 物质决定意识；2024朝阳二模 第16(2)题 / 联系的普遍性 / 联系的观点（总）
S012,2024丰台二模,2024,2024各区二模,3,3,0,PASS_3PLUS,2024丰台二模 第13题 / 整体与部分；2024丰台二模 第12题 / 发展的观点 / 发展的普遍性；2024丰台二模 第11题 / 文化的功能 / 文化与经济政治
S013,2024顺义思政二模,2024,2024各区二模,3,3,0,PASS_3PLUS,2024顺义思政二模 第2题 / 主观能动性 / 意识的能动作用；2024顺义思政二模 第4题 / 发展的观点 / 发展的普遍性；2024顺义思政二模 第3题 / 文化的功能 / 文化与经济政治
S014,2024海淀期中,2024,2024各区期中,4,3,0,PASS_3PLUS,2024海淀期中 第18题 / 系统观念 / 系统优化；2024海淀期中 第18题 / 矛盾的特殊性 / 具体问题具体分析；2024海淀期中 第18题 / 人民群众；2024海淀期中 第18题 / 文化的功能 / 文化与经济政治
S015,2024朝阳期中,2024,2024各区期中,7,3,0,PASS_3PLUS,2024朝阳期中 第16题 / 发展的观点 / 发展的普遍性；2024朝阳期中 第17题 / 发展的观点 / 发展的普遍性；2024朝阳期中 第17题 / 发展的观点 / 发展的普遍性；2024朝阳期中 第16题 / 社会存在与社会意识；2024朝阳期中 第1题 / 价值判断与价值选择；2024朝阳期中 第1题 / 文化的功能 / 文化与经济政治；2024朝阳期中 第17题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S016,2025海淀一模,2025,2025各区一模,3,3,0,PASS_3PLUS,2025海淀一模 第16题 / 发展的观点 / 发展的普遍性；2025海淀一模 第16题 / 矛盾就是对立统一；2025海淀一模 第16题 / 价值判断与价值选择
S017,2025西城一模,2025,2025各区一模,8,3,0,PASS_3PLUS,2025西城一模 第17题 / 一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一；2025西城一模 第16题 / 发展的观点 / 发展的普遍性；2025西城一模 第22题 / 量变与质变 / 适度原则；2025西城一模 第4题 / 两点论与重点论；2025西城一模 第16题 / 实践与认识（总）；2025西城一模 第3题 / 认识发展原理；2025西城一模 第22题 / 价值判断与价值选择；2025西城一模 第22题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S018,2025东城一模,2025,2025各区一模,5,3,0,PASS_3PLUS,2025东城一模 第16题 / 发展的观点 / 发展的普遍性；2025东城一模 第16题 / 矛盾的普遍性和特殊性；2025东城一模 第16题 / 文化的功能 / 文化与经济政治；2025东城一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2025东城一模 第1题 / 中华民族精神 / 文化自信
S019,2025朝阳一模,2025,2025各区一模,4,3,0,PASS_3PLUS,2025朝阳一模 第16题 / 社会存在与社会意识；2025朝阳一模 第16题 / 实现人生价值；2025朝阳一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2025朝阳一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S020,2025丰台一模,2025,2025各区一模,3,3,0,PASS_3PLUS,2025丰台一模 第6题 / 发展的观点 / 发展的普遍性；2025丰台一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承；2025丰台一模 第16题 / 社会主义核心价值观 / 文化强国
S021,2025延庆一模,2025,2025各区一模,3,3,0,PASS_3PLUS,2025延庆一模 第16题 / 矛盾的特殊性 / 具体问题具体分析；2025延庆一模 第16题 / 价值观的导向作用；2025延庆一模 第16题 / 文化的功能 / 文化与经济政治
S022,2025房山一模,2025,2025各区一模,4,3,0,PASS_3PLUS,2025房山一模 第5题 / 辩证否定 / 守正创新；2025房山一模 第3题 / 矛盾的特殊性 / 具体问题具体分析；2025房山一模 第4题 / 矛盾的普遍性和特殊性；2025房山一模 第20题 / 实现人生价值
S023,2025石景山一模,2025,2025各区一模,3,3,0,PASS_3PLUS,2025石景山一模 第16题 / 联系的普遍性 / 联系的观点（总）；2025石景山一模 第21题 / 改革 / 改革的实质；2025石景山一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S024,2025门头沟一模,2025,2025各区一模,3,3,0,PASS_3PLUS,2025门头沟一模 第16题 / 联系的普遍性 / 联系的观点（总）；2025门头沟一模 第16题 / 发展的观点 / 发展的普遍性；2025门头沟一模 第16题 / 中华优秀传统文化创造性转化、创新性发展 / 文化传承
S025,2025顺义一模,2025,2025各区一模,6,3,0,PASS_3PLUS,2025顺义一模 第16题 / 联系的普遍性 / 联系的观点（总）；2025顺义一模 第16题 / 联系的普遍性 / 联系的观点（总）；2025顺义一模 第16题 / 发展的观点 / 发展的普遍性；2025顺义一模 第16题 / 发展的观点 / 发展的普遍性；2025顺义一模 第16题 / 发展的观点 / 发展的普遍性；2025顺义一模 第16题 / 辩证否定 / 守正创新
S026,2025海淀二模,2025,2025各区二模,8,3,0,PASS_3PLUS,2025海淀二模 第9题 / 根据固有联系建立新的具体联系；2025海淀二模 第9题 / 根据固有联系建立新的具体联系；2025海淀二模 第16题 / 系统观念 / 系统优化；2025海淀二模 第16题 / 系统观念 / 系统优化；2025海淀二模 第16题 / 量变与质变 / 适度原则；2025海淀二模 第12题 / 矛盾就是对立统一；2025海淀二模 第10题 / 真理观；2025海淀二模 第16题 / 文化的功能 / 文化与经济政治
