"suite_id","year","district","stage","file_path","file_type","source_type","question_range","status","notes"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf","pdf","reference-answer","","ocr-reviewed","OCR extracted chars=6003 pages=1 cache=C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\7b4eece2963205d8_北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).txt; classified in role_reports/ocr_boundary_findings.md"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx","pptx","rubric","","inventory-only","extracted_chars=11169 cache=2a7ea5f3ed_2024东城一模细则.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf","pdf","paper","","ocr-reviewed","OCR extracted chars=24223 pages=12 cache=C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\74cdfac9253763bf_北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).txt; classified in role_reports/ocr_boundary_findings.md"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx","docx","rubric","","inventory-only","extracted_chars=4560 cache=ad2bfd8552_2024丰台一模细则.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf","pdf","reference-answer","","inventory-only","extracted_chars=9183 cache=786314b1c2_2024北京丰台高三一模政治试题及答案.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf","pdf","paper","","inventory-only","extracted_chars=978 cache=2d27c006fa_丰台高三一模政治试卷终版.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx","pptx","lecture-scoring","","inventory-only","extracted_chars=12900 cache=36ca0adcf3_202404朝阳高三政治一模试卷讲评.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx","docx","reference-answer","","inventory-only","extracted_chars=2030 cache=d5f49e8cdb_202404朝阳高三政治质量检测一参考答案_上交版.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx","pptx","rubric","","inventory-only","extracted_chars=12900 cache=6355e4d9e9_2024朝阳一模细则.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf","pdf","paper","","inventory-only","extracted_chars=6505 cache=9de0112d06_202404朝阳高三一模试题.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx","docx","reference-answer","","inventory-only","extracted_chars=1609 cache=efcf9b358e_一模政治-答案.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx","docx","rubric","","inventory-only","extracted_chars=3050 cache=5ef0821051_2024海淀一模细则.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf","pdf","paper","","inventory-only","extracted_chars=8199 cache=59d9f87665_高三政治_一模试题.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx","pptx","unknown","","inventory-only","extracted_chars=13944 cache=127c61eb03_2024年石景山一模.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx","docx","reference-answer","","inventory-only","extracted_chars=9022 cache=24614d5d58_2024北京石景山高三一模政治_教师版带答案_.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx","docx","reference-answer","","inventory-only","extracted_chars=1661 cache=2663110b57_2024.4高三统一测试思想政治答案.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx","docx","rubric","","inventory-only","extracted_chars=3045 cache=d0ab10c766_2024西城一模细则.txt"
"2024各区一模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx","docx","paper","","inventory-only","extracted_chars=6155 cache=792c927448_2024.4高三统一测试思想政治试卷.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf","pdf","reference-answer","","ocr-reviewed","OCR extracted chars=7185 pages=1 cache=C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\8db78abe18de2309_002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.txt; classified in role_reports/ocr_boundary_findings.md"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\试卷\001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf","pdf","paper","","ocr-reviewed","OCR extracted chars=25777 pages=12 cache=C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\da9fdcae666d3412_001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.txt; classified in role_reports/ocr_boundary_findings.md"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx","docx","marking-report","","inventory-only","extracted_chars=5774 cache=2552507ddd_16题二模阅卷总结.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx","pptx","rubric","","inventory-only","extracted_chars=1712 cache=151801d1be_16题评分细则.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx","docx","rubric","","inventory-only","extracted_chars=2744 cache=1aa0d0458f_17_1_.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx","docx","rubric","","inventory-only","extracted_chars=3919 cache=2ac49b25fd_17-2.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx","docx","rubric","","inventory-only","extracted_chars=3938 cache=b754fa0fe7_18_1_.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx","docx","rubric","","inventory-only","extracted_chars=6882 cache=8e51944687_18_2_.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx","docx","rubric","","inventory-only","extracted_chars=5755 cache=3dfd8fe4f8_19_1_.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx","docx","rubric","","inventory-only","extracted_chars=1876 cache=8c24ee5f5f_19_2_.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx","docx","marking-report","","inventory-only","extracted_chars=2236 cache=71ce951187_20小题二模阅卷总结.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx","docx","rubric","","inventory-only","extracted_chars=4610 cache=b5a37db90d_21.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx","pptx","rubric","","inventory-only","extracted_chars=2264 cache=83012e2676_21题_1_.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx","docx","rubric","","inventory-only","extracted_chars=3744 cache=04892ae21c_2024丰台二模细则.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\试卷\丰台高三二模政治试卷.pdf","pdf","paper","","ocr-reviewed","OCR extracted chars=26038 pages=8 cache=C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选择性必修一_当代国际政治与经济_2026-04-25_1417\ocr_text_cache\57ddd500c48eeec9_丰台高三二模政治试卷.txt; classified in role_reports/ocr_boundary_findings.md"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\其他材料\004202405朝阳高三政治质量检测二参考答案（以PDF为准）.docx","docx","reference-answer","","inventory-only","extracted_chars=1920 cache=14389e8f51_004202405朝阳高三政治质量检测二参考答案_以PDF为准_.txt"
"2024各区二模","","","","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf","pdf","rubric","","inventory-only","extracted_chars=5851 cache=58b8d35279_2024朝阳二模细则.txt"
