priority,question_id,parent_question_id,source_batch,type,framework_node,evidence_level,decision,decision_reason,source_evidence,patch_needed,can_enter_fusion
P0,Q-2024朝阳二模-19-1-动态性,Q-2024朝阳二模-19-1,batch02_chaoyang_controlled_input,main_thinking,辩证思维>动态性,A-formal,confirmed,"2024朝阳二模细则.pdf 阅卷总结Q19(1)参考答案明确给出""①动态性 ②类比""且支持""用变化发展的观点看问题/用矛盾运动的观点看问题""作为变通；试卷Q19(1)设问要求填空辩证思维特征。",2024朝阳二模细则.pdf::Q19(1)::①动态性|2024朝阳二模试卷.pdf::Q19(1)生生之宇宙观体现了辩证思维的__①__特征,no,yes
P0,Q-2024朝阳二模-19-1-类比推理,Q-2024朝阳二模-19-1,batch02_chaoyang_controlled_input,main_thinking,推理>类比推理,A-formal,confirmed,"2024朝阳二模细则.pdf 阅卷总结Q19(1)参考答案明确给出""②类比""且备注""无变通""；试卷Q19(1)第二空要求填推理类型。",2024朝阳二模细则.pdf::Q19(1)::②类比推理|2024朝阳二模试卷.pdf::Q19(1)人效法天地之德体现的推理类型是__②__推理,no,yes
P0,Q-2024朝阳二模-19-2,Q-2024朝阳二模-19-2,batch02_chaoyang_controlled_input,main_thinking,形式逻辑>判断>联言判断（真值条件）,A-formal,confirmed,"2024朝阳二模细则.pdf Q19(2)阅卷细则明确""该判断是联言判断""+""当且仅当组成它的各个联言支都是真的，这个联言判断才是真的""+""全真才真，一假即假""；属推理部分纯形式逻辑题，落点在推理框架而非思维方法主链，符合硬规则§四。","2024朝阳二模细则.pdf::Q19(2)::联言判断+真值条件|试卷设问""是哪种复合判断? 该复合判断为真的条件是什么?""",no,yes
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>发散思维与聚合思维,A-formal,confirmed_with_patch,2025东城期末细则.pptx SLIDE 29 为阅卷细则，明确第一层次创新思维表现/特点1分，第二层次三种具体方法及给分规则；讲评修改.pdf与试卷材料相互印证。因此不应因讲评文件名将本组误降为A-support，按细则源恢复为A-formal。,2025东城期末细则.pptx::SLIDE29::聚焦完成登月任务核心问题，综合考虑月面环境问题、航天员行走等不同需要，体现聚合思维和发散思维|试卷::Q18(2),yes,yes
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>思维特征（思路新方法新结果新）,A-formal,confirmed_with_patch,2025东城期末细则.pptx SLIDE 29 为阅卷细则，明确第一层次创新思维表现/特点1分，第二层次三种具体方法及给分规则；讲评修改.pdf与试卷材料相互印证。因此不应因讲评文件名将本组误降为A-support，按细则源恢复为A-formal。,2025东城期末细则.pptx::SLIDE29::登月服的设计体现了思路新、方法新、结果新/创新思维具有多向性、跨越性、独特性，写出任何一个词可得1分|试卷::Q18(2),yes,yes
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>联想思维,A-formal,confirmed_with_patch,2025东城期末细则.pptx SLIDE 29 为阅卷细则，明确第一层次创新思维表现/特点1分，第二层次三种具体方法及给分规则；讲评修改.pdf与试卷材料相互印证。因此不应因讲评文件名将本组误降为A-support，按细则源恢复为A-formal。,2025东城期末细则.pptx::SLIDE29::把服装造型设计和火箭形象、传统文化联系起，体现了联想思维|试卷::Q18(2),yes,yes
P0,Q-2025东城期末-18-2,Q-2025东城期末-18-2,batch03_dongcheng,main_thinking,创新思维>超前思维,A-formal,confirmed_with_patch,2025东城期末细则.pptx SLIDE 29 为阅卷细则，明确第一层次创新思维表现/特点1分，第二层次三种具体方法及给分规则；讲评修改.pdf与试卷材料相互印证。因此不应因讲评文件名将本组误降为A-support，按细则源恢复为A-formal。,2025东城期末细则.pptx::SLIDE29::提前预判月面特殊环境和航天员登陆后需求，据此设计航天服细节，体现了超前思维|试卷::Q18(2),yes,yes
P0,Q-2026东城期末-17-2,Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>演绎推理>三段论·中项不周延,A-support,confirmed_with_patch,"东城期末试卷.pdf教师版 Q17(2)参考答案为""运用矛盾律、充分条件假言推理、必要条件假言推理等逻辑规则""未明列三段论；主张3""有些P是M；S是M；∴S是P""为第二格M两次作肯定判断谓项不周延，框架挂""中项不周延""由题面三段论结构分析支持；细则.pptx未含Q17(2)主观细则，证据等级 A-formal→A-support。","2026东城期末试卷.pdf::Q17(2)::主张3""有些科学民主的更新方案是采用此模式制定的...""三段论结构|参考答案""运用...等逻辑规则""",yes,yes
P0,Q-2026东城期末-17-2,Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>演绎推理>充分条件假言推理（肯后必肯前的无效式）,A-support,confirmed_with_patch,"东城期末试卷.pdf教师版 Q17(2)参考答案明确列出""充分条件假言推理""；主张2""要提升垃圾分类效率，必须引入智能垃圾箱。因为，如果引入智能垃圾箱，垃圾分类效率就能得到提升""将充分条件混作必要条件（肯后推前型无效）；细则.pptx未含Q17(2)主观细则，evidence_level A-formal→A-support。漏挂提示：参考答案同时列出""必要条件假言推理""，建议同题加挂必要条件节点。","2026东城期末试卷.pdf::Q17(2)::主张2|参考答案""运用矛盾律、充分条件假言推理、必要条件假言推理等""",yes,yes
P0,Q-2026东城期末-17-2,Q-2026东城期末-17-2,batch03_dongcheng,main_thinking,推理>逻辑思维基本要求>矛盾律,A-support,confirmed_with_patch,"东城期末试卷.pdf教师版 Q17(2)参考答案明确列出""矛盾律""；主张1""既要完整保留历史街巷的一砖一瓦，也要对...部分进行必要的拆除和改造""对同一对象同时肯定与否定的处置方式，违反矛盾律；细则.pptx未含Q17(2)主观细则，evidence_level A-formal→A-support。","2026东城期末试卷.pdf::Q17(2)::主张1|参考答案""运用矛盾律、充分条件假言推理、必要条件假言推理等逻辑规则进行分析""",yes,yes
