framework_node,parent_path,挂载题id,挂载类型,证据等级,备注
推理-演绎推理-充分条件假言推理（否定后件式）,推理>演绎>充分条件,Q-2024朝阳一模-20-1,正文正例,A-formal,031细则slide 45确认5分；§十八硬样本；推理一前件→后件结构+否定后件事实+推出否定前件
推理-演绎推理-必要条件假言推理（肯定后件式）,推理>演绎>必要条件,Q-2024朝阳一模-20-2,正文正例,A-formal,031细则slide 46确认4分；§十八硬样本；只有p才q+肯定后件q推出肯定前件p
辩证思维-动态性,辩证思维>动态性,Q-2024朝阳二模-19-1,正文正例,A-formal,022细则page 3确认1分；生生之宇宙观+变易+日新+不断更新展开
辩证思维-动态性,辩证思维>动态性,Q-2026朝阳期中-20,正文正例,A-formal,朝阳期中细则Q20确认1分；变局加速演进+科技革命动态趋势+主动应变
推理-类比推理（同属性相同推同·或然性）,推理>类比,Q-2024朝阳二模-19-1,正文正例,A-formal,022细则page 3确认1分；人效法天地之德+从天地属性推出人应有同属性
推理-类比推理（同属性相同推同·或然性）,推理>类比,Q-2024朝阳期中-18,正文正例,A-formal,018细则Q18确认1分；晏子用橘枳类比齐人楚人+水土改变属性
形式逻辑-判断-联言判断（真值条件）,形式逻辑>判断>联言,Q-2024朝阳二模-19-2,正文正例,A-formal,022细则page 4确认5分；夫大人者三个判断并列+全真才真一假即假
形式逻辑-判断-联言判断（真值条件）,形式逻辑>判断>联言,Q-2026朝阳期中-15,选择题陷阱,B-choice-signal,朝阳期中答案表确认15.D；联言判断+否定一个支判断=否定整个判断
推理-归纳推理-不完全归纳推理·轻率概括,推理>归纳>不完全归纳,Q-2024朝阳期中-18,正文正例,A-formal,018细则Q18确认1+1+1+1分；楚王仅凭一个齐人下全称结论=轻率概括/以偏概全
推理-归纳推理-不完全归纳推理·或然性,推理>归纳>不完全归纳,Q-2026朝阳期中-14,选择题陷阱,B-choice-signal,朝阳期中答案表确认14.B(①④)；天气谚语未考察全部对象+结论或然
创新思维-超前思维,创新思维>超前思维,Q-2024朝阳期中-19,正文正例,A-formal,018细则Q19+019评标Table 17确认1分；业态规划+提前布局+把未来纳入当下决策
创新思维-超前思维,创新思维>超前思维,Q-2026朝阳期中-21-2,正文正例,A-formal,朝阳期中细则Q21(2)确认2分；预先了解人文底蕴+预测消费趋势+提前作发展理念转变
创新思维-逆向思维,创新思维>逆向思维,Q-2024朝阳期中-19,正文正例,A-formal,018细则Q19+019评标Table 17确认1分；先做流量再做生意+邀国际品牌设首店+突破传统模式
创新思维-逆向思维,创新思维>逆向思维,Q-2026朝阳期中-21-2,正文正例,A-formal,朝阳期中细则Q21(2)确认2分；冷资源转热经济+静态建筑转动态文化场景+反向求索
创新思维-联想思维（同化性迁移）,创新思维>联想,Q-2024朝阳期中-19,正文正例,A-formal,018细则Q19+019评标Table 17确认1分；策展型零售+城市森林+把艺术展览意象迁移到零售场景
创新思维-联想思维（同化性迁移）,创新思维>联想,Q-2026朝阳期中-21-2,正文正例,A-formal,朝阳期中细则Q21(2)确认2分；冰雪+音乐文化叙事跨界融合+建筑+全息投影+非遗+剧本杀
创新思维-联想思维（同化性迁移）,创新思维>联想,Q-2026朝阳期中-13,选择题陷阱,B-choice-signal,朝阳期中答案表确认13.D(③④)；石榴籽与民族关系联结+联想思维联结
创新思维-发散思维与聚合思维,创新思维>发散与聚合,Q-2024朝阳期中-19,正文正例,A-formal,018细则Q19+019评标Table 17确认2分；考虑商圈品牌客群多因素+聚焦到价值耦合
创新思维-发散思维与聚合思维,创新思维>发散与聚合,Q-2026朝阳期中-21-2,正文正例,A-formal,朝阳期中细则Q21(2)确认2分；多角度挖掘文旅经济潜力+聚焦到融合模式街区
创新思维-思路新方法新结果新（三新）,创新思维>三新,Q-2026朝阳期中-21-2,辅助挂载,A-support,朝阳期中细则Q21(2)补充答案；突破单一物理景观+复合型文化空间+跨越性发展（最多3分）
辩证思维-矛盾分析法（对立统一·辩证否定观）,辩证思维>矛盾分析法,Q-2026朝阳期中-20,正文正例,A-formal,朝阳期中细则Q20确认1分；机遇与挑战相伴相生+相互转化+一分为二
辩证思维-分析与综合（整体性）,辩证思维>分析综合,Q-2026朝阳期中-20,正文正例,A-formal,朝阳期中细则Q20确认1分；分析机遇因素+综合考量+从整体把握建设规律
辩证思维-质量互变·渐进性与飞跃性的统一,辩证思维>质量互变,Q-2026朝阳期中-20,正文正例,A-formal,朝阳期中细则Q20确认1分；持续投入科研技术突破质变+逐步优化产业稳健发展
形式逻辑-逻辑规则综合（越级划分/排中律/矛盾律/四概念）,形式逻辑>规则综合,Q-2024朝阳一模-6,选择题陷阱,B-choice-signal,031细则slide 14确认6.B；A越级划分+B排中律下反对+C矛盾律+D四概念
创新思维-多角度+创新思维与逻辑思维边界,创新思维>多角度,Q-2024朝阳一模-7,选择题陷阱,B-choice-signal,031细则未列7题答案；按四审排错确认C(②③)；②跨越性+不排斥逻辑推导+③合作创新需借鉴
推理-演绎推理-三段论（小项不当扩大）,推理>演绎>三段论,Q-2024朝阳二模-7,选择题陷阱,B-choice-signal,§十八永久锁定为小项扩大硬样本；A自媒体三段论小项S未周延而结论中扩大
推理-演绎推理-三段论（第三格AAI式）,推理>演绎>三段论,Q-2024朝阳期中-7,选择题陷阱,B-choice-signal,试卷page 2-3+三段论标准规则确认B(②-①-③)；MAN+MAP→PIN第三格有效式
形式逻辑-判断-必要条件假言判断（等价表达·肯否前件后件）,形式逻辑>判断>必要条件假言,Q-2024朝阳期中-8,选择题陷阱,B-choice-signal,试卷page 3确认D(②④)；没有X就没有Y+X离不开Y+只有X才Y三种等价
推理-归纳推理-共变法（因果探求三法之一）,推理>归纳>共变法,Q-2024朝阳期中-9,选择题陷阱,B-choice-signal,试卷page 3确认B；空气量与铃声响度持续共变+因果对应
形式逻辑-概念-外延关系（属种关系）,形式逻辑>概念>外延关系,Q-2024朝阳期中-10,选择题陷阱,B-choice-signal,试卷page 3确认A；中国式现代化⊂现代化+种概念vs属概念
推理-演绎推理-三段论（第二格AAI式补大前提）,推理>演绎>三段论,Q-2026朝阳期中-11,选择题陷阱,B-choice-signal,朝阳期中答案表确认11.A；MAP大前提配SiM小前提推SiP+第二格AAI式
形式逻辑-判断-相容选言判断,形式逻辑>判断>选言,Q-2026朝阳期中-12,选择题陷阱,B-choice-signal,朝阳期中答案表确认12.B；或者P或者Q+至少一个为真且可同真
认识发展历程-感性具体/思维抽象,认识发展历程>感性具体>思维抽象,Q-2026朝阳期中-13,选择题陷阱,B-choice-signal,朝阳期中答案表确认13.D(③④)；从石榴具体形象抽出"紧密相连"本质属性
创新思维-改变创造条件·建立新的具体联系,创新思维>改变条件,Q-2024朝阳一模-4,同类索引,boundary,031细则slide 12确认4.A；根据事物属性建立新联系+草盐地粮联结=创新思维信号但题目主线为必修四改造自然，作选择题陷阱辅助挂载（边界混淆识别）
选必三导论-系统观念,导论>系统观念,Q-2024朝阳一模-9,辅助挂载,B-choice-signal,031细则slide 17确认9.D(③④)；③系统观念+有序完成调查研究=选必三导论信号但题目主线为必修三模拟提案到正式提案
