node_id,node_name,question_id,evidence_level,pass_status,role_in_node,rubric_atom_ids_sample,boundary_note
LAW_V5_N01,一格一答,CC0077_2025_东城_一模_19,formal,PARTIAL_SOURCE_CHECK,core_support,R_CC0077_2025_东城_一模_19_01|R_CC0077_2025_东城_一模_19_02|R_CC0077_2025_东城_一模_19_03|R_CC0077_2025_东城_一模_19_04|R_CC0077_2025_东城_一模_19_05|R_CC0077_2025_东城_一模_19_06|R_CC0077_2025_东城_一模_19_07|R_CC0077_2025_东城_一模_19_08,ask_source_check
LAW_V5_N01,一格一答,CC0084_2025_东城_二模_19,formal,PARTIAL_SOURCE_CHECK,core_support,R_CC0084_2025_东城_二模_19_01|R_CC0084_2025_东城_二模_19_02|R_CC0084_2025_东城_二模_19_03|R_CC0084_2025_东城_二模_19_04|R_CC0084_2025_东城_二模_19_05|R_CC0084_2025_东城_二模_19_06|R_CC0084_2025_东城_二模_19_07|R_CC0084_2025_东城_二模_19_08,ask_source_check
LAW_V5_N01,一格一答,CC0157_2025_朝阳_期末_20,formal,PARTIAL_SOURCE_CHECK,core_support,R_CC0157_2025_朝阳_期末_20_M17_01|R_CC0157_2025_朝阳_期末_20_M17_02|R_CC0157_2025_朝阳_期末_20_M17_03|R_CC0157_2025_朝阳_期末_20_M17_04|R_CC0157_2025_朝阳_期末_20_M17_05|R_CC0157_2025_朝阳_期末_20_M17_06|R_CC0157_2025_朝阳_期末_20_M17_07|R_CC0157_2025_朝阳_期末_20_M17_08,ask_source_check
LAW_V5_N01,一格一答,CC0189_2025_石景山_一模_20,formal,PARTIAL_SOURCE_CHECK,core_support,R_CC0189_2025_石景山_一模_20_01|R_CC0189_2025_石景山_一模_20_02|R_CC0189_2025_石景山_一模_20_03|R_CC0189_2025_石景山_一模_20_04,ask_source_check
LAW_V5_N01,一格一答,CC0213_2025_门头沟_一模_20,formal,PARTIAL_SOURCE_CHECK,core_support,R_CC0213_2025_门头沟_一模_20_M17_01|R_CC0213_2025_门头沟_一模_20_M17_02|R_CC0213_2025_门头沟_一模_20_M17_03|R_CC0213_2025_门头沟_一模_20_M17_04|R_CC0213_2025_门头沟_一模_20_M17_05|R_CC0213_2025_门头沟_一模_20_M17_06|R_CC0213_2025_门头沟_一模_20_M17_07|R_CC0213_2025_门头沟_一模_20_M17_08,ask_source_check
LAW_V5_N01,一格一答,CC0289_2026_朝阳_二模_18,formal,PASS_CANDIDATE,core_support,R_CC0289_2026_朝阳_二模_18_01|R_CC0289_2026_朝阳_二模_18_02|R_CC0289_2026_朝阳_二模_18_03|R_CC0289_2026_朝阳_二模_18_04|R_CC0289_2026_朝阳_二模_18_05|R_CC0289_2026_朝阳_二模_18_06|R_CC0289_2026_朝阳_二模_18_07|R_CC0289_2026_朝阳_二模_18_08,
LAW_V5_N01,一格一答,CC0325_2026_石景山_一模_18,formal,PARTIAL_SOURCE_CHECK,core_support,R_CC0325_2026_石景山_一模_18_01|R_CC0325_2026_石景山_一模_18_02|R_CC0325_2026_石景山_一模_18_03,ask_source_check
LAW_V5_N01,一格一答,RECOVER_2025_海淀_二模_18,formal,PASS_CANDIDATE,core_support,R_RECOVER_2025_海淀_二模_18_01|R_RECOVER_2025_海淀_二模_18_02|R_RECOVER_2025_海淀_二模_18_03|R_RECOVER_2025_海淀_二模_18_04|R_RECOVER_2025_海淀_二模_18_05|R_RECOVER_2025_海淀_二模_18_06|R_RECOVER_2025_海淀_二模_18_07|R_RECOVER_2025_海淀_二模_18_08,
LAW_V5_N01,一格一答,RECOVER_2026_通州_一模_20,formal,PASS_CANDIDATE,core_support,R_RECOVER_2026_通州_一模_20_01|R_RECOVER_2026_通州_一模_20_02|R_RECOVER_2026_通州_一模_20_03|R_RECOVER_2026_通州_一模_20_04|R_RECOVER_2026_通州_一模_20_05|R_RECOVER_2026_通州_一模_20_06,
LAW_V5_N02,先判后证,CC0002_2024_丰台_一模_17,formal,PASS_CANDIDATE,core_support,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,
