question,point_no,basis,bucket,framework_core,scoring_position,red_scoring_terms,answer_sentence,evidence_level,promotion_status,source_boundary,source_refs,student_summary_status
2026海淀一模 Q20,1,user_provided_colored_rubric_regression,经济全球化,扩大制度型开放，畅通双循环和新发展格局,角度1 对我国（3分；替代2分）,扩大制度型开放；国内国际两个市场、两种资源；畅通双循环；新发展格局；技术、产品、服务走出国门；竞争力,中国标准走出国门有利于扩大制度型开放，推进高水平对外开放，更好利用国内国际两个市场、两种资源，畅通双循环，推动构建新发展格局；也有利于推动我国技术、产品、服务走出国门，增强我国产品、服务乃至产业链在全球的竞争力。,user_confirmed_colored_scoring_image,exact_override_after_user_regression,colored_rubric_visual,2026海淀一模_Q20_SRC_14176e949dd0,included_exact
2026海淀一模 Q20,2,user_provided_colored_rubric_regression,经济全球化,推动经济全球化朝着开放、包容、普惠、平衡、共赢方向发展,角度2 对世界经济（2分；结合材料1分）,开放、包容、普惠、平衡、共赢；国际合作；互利共赢；全球资源优化配置；低碳能源、人工智能等领域；国际标准；标准共通；技术共享；全球技术创新与绿色转型,中国在低碳能源、人工智能等领域贡献国际标准，促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型；这有利于推动经济全球化朝着开放、包容、普惠、平衡、共赢的方向发展，促进国际合作和全球资源优化配置。,user_confirmed_colored_scoring_image,exact_override_after_user_regression,colored_rubric_visual,2026海淀一模_Q20_SRC_14176e949dd0,included_exact
2026海淀一模 Q20,3,user_provided_colored_rubric_regression,经济全球化,积极参与全球经济治理和规则制定，推动国际经济新秩序,角度3 对全球治理（2分）,参与全球经济治理和规则制定；全球治理体制；更加公正合理方向发展；话语权；国际影响力；国际经济新秩序,我国积极参与全球经济治理和规则制定，有利于推动全球治理体制向更加公正合理方向发展，提升中国在国际标准制定中的话语权和国际影响力，推动构建国际经济新秩序。,user_confirmed_colored_scoring_image,exact_override_after_user_regression,colored_rubric_visual,2026海淀一模_Q20_SRC_14176e949dd0,included_exact
2025海淀期中 Q16(2),1,atom_expression_variant_from_source_ledger,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,内嵌图片image2第3点贸易摩擦2分,为企业出海营造良好国际环境,中国咖啡企业出海要先做好海外市场调研、商标和知识产权合规，尊重当地消费习惯并提升产品与品牌竞争力；行业组织可提供风险预警、协调和法律支持；政府应依法运用国际组织规则和争端解决机制，积极参与全球经济治理和规则制定，为企业出海营造良好国际环境。,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q16_SRC_cda046c2d36d,included_main
2025海淀期中 Q21(2),1,atom_expression_variant_from_source_ledger,时代背景,和平与发展仍是时代主题,海淀图片表格细则世界之变2分,时代主题；和平与发展成为时代主题；顺应各国人民愿望；经济全球化深入发展,和平与发展仍是时代主题，政治多极化、经济全球化深入发展，顺应各国人民愿望和共同发展期待，这是新中国外交因势而变的重要时代背景。,user_confirmed_image_scoring_material,candidate_with_fixes,mixed_scoring_sources_labeled,2025海淀期中_Q21_SRC_cda046c2d36d,included_main
2025海淀期中 Q21(2),2,atom_expression_variant_from_source_ledger,政治多极化,世界多极化深入发展与平等有序的世界多极化,内嵌图片image8变4分-世界之变2分,世界之变；和平与发展仍是时代主题,新中国外交面对的时代背景不断变化，政治多极化、经济全球化深入发展，和平与发展成为时代主题，推动外交在不同阶段调整重点。,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d,included_main
2025海淀期中 Q21(2),3,atom_expression_variant_from_source_ledger,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,内嵌图片image8变4分-中国之变实力1分,国际影响力、话语权不断提升,中国综合国力不断增强、国际地位不断提升，承担越来越多国际责任，推动中国特色大国外交不断发展。,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d,included_main
2025海淀期中 Q21(2),4,atom_expression_variant_from_source_ledger,中国,推动构建人类命运共同体,内嵌图片image8变4分-中国之变思想1分,外交指导思想与时俱进,习近平外交思想为新时代中国特色大国外交提供根本遵循和行动指南，指引中国形成全方位、多层次、立体化的外交布局。,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d,included_main
2025海淀期中 Q21(2),5,atom_expression_variant_from_source_ledger,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,内嵌图片image8不变第1项1分,国家性质,新中国外交始终服务于我国人民民主专政的国家性质，以维护我国主权、安全和发展利益为重要依据。,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d,included_main
2025海淀期中 Q21(2),6,atom_expression_variant_from_source_ledger,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,内嵌图片image8不变第2组基本立场2分,独立自主的和平外交政策,新中国外交始终坚持独立自主的基本立场，按照不同阶段国家发展需要自主决定外交方针。,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d,included_main
2025海淀期中 Q21(2),7,atom_expression_variant_from_source_ledger,中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,内嵌图片image8不变第2组宗旨目标准则,促进世界和平与发展为基本目标,新中国外交始终贯彻维护世界和平、促进共同发展的宗旨，以促进世界和平与发展为基本目标，坚持和平共处五项原则作为对外关系基本准则。,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d,included_main
