sheet	row	序号	题目定位	题目定位/模块	来源	维度	原severity	严重程度	v34状态	问题原文（摘录）	问题说明	复核说明（含仍需修改建议）	修改建议
①汇编v34复核	2	1		2024·石景山·一模·第18题第2问		答案与评分逻辑	中		未改			"v34（2）（6分）下""天灾≠不可抗力/不可抗力定义/不能免责/违约责任/非诉优先/司法确认强制执行""各要点仍未逐点标注分值，6分如何分配仍无法核验。仍需：明确各踩分点分值(如不可抗力2分+违约责任2分+解纷机制2分)使加总=6分。"	
①汇编v34复核	3	2		2024·顺义思政·二模·第17题		答案与评分逻辑	中		未改			"v34【细则】(line244)仍为""17．（7分）①……②……③……""，①②③三层未标各自分值，7分如何分配仍无法核验。仍需：明确①②③三层各自分值，加总=7分。"	
①汇编v34复核	4	3		2025·东城·二模·第19题		法律准确性	中		未改			"v34【细则】①(line287)仍为""合同效力问题：限制民事行为能力人/法定代理人未追认（1分）+合同无效（1分）""，直接从未追认跳到合同无效，未经""效力待定""环节；【答案落点】(line289)虽已写""效力待定；法定代理人拒绝追认后，合同归于无效""，但细则未同步。仍需：细则补""效力待定→拒绝追认→无效""链条。"	
①汇编v34复核	5	4		2025·东城·期末·第19题第1问		法律准确性	中		未改			"v34设问【资料卡】(line301)仍引《高层民用建筑消防安全管理规定》第三十七条""充电设施应当具备充满自动断电功能""，条号仍未经核实标注、未加注。仍需：联网终核条号，或加注""条号以原规章为准""。"	
①汇编v34复核	6	5		2025·东城·期末·第19题第1问		答案与评分逻辑	中		未改			"v34设问(line301)""（1）遇到的法律问题：____、____。（2分）""已在设问末标""（2分）""，但【细则】(line303)""1个问题1分""处未重申本问总分2分关系。原判核心(无总分标注)实际设问处已有""（2分）""——属部分改：设问已标2分，细则未呼应。仍需：细则头补""本问2分，每个法律问题1分""。"	
①汇编v34复核	7	6		2025·延庆·一模·第19题		答案与评分逻辑	中		未改			"v34括号内分值(1+2+2+2=7)与文末细则按""以和为贵1+诚信1+材料1+合同解除1+材料1+证据1+材料1=7""(line370-371)两套切分仍并存，对应关系不清。仍需：统一为一套7分制踩分点，明确每点""要点分+材料分析分""归属。"	
①汇编v34复核	8	7		2025·昌平·二模·第20题第1问		法律准确性	中		未改			"v34裁判理由(line407)及评分细则、答案落点(line409)仍为""著作权法规定著作权人限于自然人、法人或非法人组织，AI不能成为作者或著作权主体""，偏绝对表述(著作权可经继承/受让取得，著作权人不限于上述三类)仍在。仍需：改为""著作权法上的作者为自然人、法人或非法人组织""。"	
①汇编v34复核	9	8		2025·朝阳·二模·第20题第1问		法律准确性	中		未改			"v34【细则】②确权(line456)仍单列""楼道属于双方各自专有部分以外的共有部分，双方享有共有和共同管理的权利（1分）""，与隐私侵权的逻辑衔接在细则层面仍弱，未点明""共有部位安装设备须顾及他人权益""。仍需：在细则点明共有部位安装设备应顾及他人权益，加强与隐私权、相邻关系衔接。"	
①汇编v34复核	10	9		2025·海淀·二模·第18题		法律准确性	中		未改			"v34判决书材料(line528)仍引""《中华人民共和国民事诉讼法》第十三条、第一百四十二条的规定，判决如下：驳回原告的诉讼请求""，第142条作判决依据仍可能不当(现行宜为第145条)，且未加注。仍需：改引第一百四十五条，或保留原题并加注""条号以原题为准""。"	
①汇编v34复核	11	10		2025·海淀·期末·第20题		法律准确性	中		未改			"v34原题表格已重建为真表格(line566-569)，示例+①(第十九条产品责任)+②(第二十三条烈性犬)对应清晰；但同题下仍有一处""########## 原题图 ##########""空块(line571)冗余未清理。仍需：清理重复的原题图占位段。"	
①汇编v34复核	12	11		2025·石景山·一模·第20题		法律准确性	中		未改			"v34细则(line613)与表格(line610)、答案落点(line616)案例二仍为""构成不正当竞争，应当承担停止侵害、赔偿损失的侵权责任""，反法混淆行为责任仍直接称""侵权责任""。仍需：改为""构成混淆型不正当竞争，应承担停止侵害、赔偿损失等民事责任""，或加注请求权基础为反不正当竞争法第6条。"	
①汇编v34复核	13	12		2025·西城·一模·第20题		法律准确性	中		未改			"v34细则(line624、626)与答案落点仍为""劳动法的首要原则是保护劳动者权益""，""首要原则""提法教材未明确。仍需：改为""保护劳动者合法权益是劳动法的重要立法宗旨(基本原则)""。"	
①汇编v34复核	14	13		2025·顺义·一模·第19题第2问		答案与评分逻辑	中		未改			"v34细则(line721、726)仍""1个角度2分，2个角度4分，3个角度5分，满分不超过5分""，三角度各2分(共6分)压缩到5分封顶的口径张力仍在；设问(line716-718)处未显著标注本问满分5分。仍需：在设问/细则显著位置标注本问满分5分，并说明""三角度满分各2分但合计封顶5分""。"	
①汇编v34复核	15	14		2026·海淀·期末·第19题		题源与同题组	中		未改			"v34第19题设问行""运用《法律与生活》知识，谈谈对本案判决的认识。""（第1053行）与细则均仍未标注本问总分，无法核对踩分点加总。仍需补标本问分值（同类材料分析题通常6—8分）并按踩分点分配。"	
①汇编v34复核	16	15		2026·顺义·一模·第18题		答案与评分逻辑	中		未改			"v34第18题设问""闫某和张某的诉求能否得到法院支持，并说明理由。""（第1226行）仍未标注总分值，细则（第1227-1228行）亦未给踩分点分值分配，且本题在整个2026范围内是唯一既无设问分值、细则又无任何分值标注的大题。仍需补全本题总分（如12/14分）及闫某部分、张某部分、共同价值各几分。"	
①汇编v34复核	17	16		2024·东城·一模·19题		答案与评分逻辑	低		未改			"v34设问""谈谈法律规定诉讼时效并对其不适用的情形加以规定的原因""及【细则】【试题分析】头仍无本题总分标注；细则三个踩分点虽各标(2分)加总=6分，但题头/设问处未补""（6分）""。仍需：在设问或细则头补注""（6分）""。"	
①汇编v34复核	18	17		2024·石景山·一模·第17题		答案与评分逻辑	低		未改			"v34【答案落点】第4点仍为""甲公司明确表示不再履行合同，乙公司另行高价购买碳排放配额产生差价，甲公司应按承诺承担相应责任""，该句仍游离于""合同成立理由+判决意义""两设问之外。仍需：删除该句，或并入合同成立理由处说明违约责任。"	
①汇编v34复核	19	18		2024·西城·一模·第18题第3问		错别字与表述	低		未改			"v34【细则】(line213)仍为""变通：敬老义务（责任）保护郭某的合法权益，替换：满足老人的需求中华传统美德，变通：中华优秀传统文化发挥法律对道德建设的促进作用…""，多个细则/变通/替换条目连排无分隔。仍需：在各条目间加分号或换行。"	
①汇编v34复核	20	19		2025·东城·期末·第19题第1问		错别字与表述	低		未改			"v34【细则】思路1(line303)仍为""改变公有部分用途的法律程序问题""""涉及民法典对公共区域功能改变的规定""，""公有部分""""公共区域""用语未改为""共有部分""。仍需：细则统一为""共有部分""(民法典第278条)。"	
①汇编v34复核	21	20		2025·房山·一模·第19题		题源与同题组	低		未改			"v34来源行(line380)同题组仍为""本题组仅本分问""，未标注与2025·丰台·一模·第19题同源(同一近40人离职、12件实用新型专利、2倍惩罚性赔偿、6.4亿余元案例)。仍需：在同题组/备注标注两题同源。"	
①汇编v34复核	22	21		2025·朝阳·二模·第20题第1问		答案与评分逻辑	低		未改			v34细则踩分点仍为隐私权2+承担侵权责任1+确权1+隐私事实1+过错1+相邻关系1=7分(line456-457)，与设问标注的(8分)仍差1分。仍需：补足缺失的1分踩分点，使加总=8分。	
①汇编v34复核	23	22		2025·海淀·一模·第18题		错别字与表述	低		未改			"v34材料(line509)仍为""要求解封年卡，恢复相关权益，并要求主题乐园赔偿其禁卡期间的损失""，生造词""禁卡""仍在。仍需：将""禁卡期间""改为""封卡期间""或""年卡被停用期间""。"	
①汇编v34复核	24	23		2025·海淀·二模·第18题		答案与评分逻辑	低		未改			"v34设问及细则头(line531""18题1.回避，1分"")仍未标本题总分；①—⑧各1分+⑨(4/3/2分)结构在，但缺总分(应为12分)标注。仍需：题头补""（12分）""并明确⑨满分4分、①—⑧各1分加总关系。"	
①汇编v34复核	25	24		2025·西城·一模·第20题		错别字与表述	低		未改			"v34细则(line625)仍为""促进体面劳动（尊重劳动/保护苦脏险累且工资水平不高的劳动者等/分配公平）""，""苦脏险累""口语化未改。仍需：改为""保护从事艰苦、繁重、危险岗位且工资水平不高的劳动者""。"	
①汇编v34复核	26	25		2025·西城·二模·第18题		法律准确性	低		未改			"v34细则正文(line639、640)仍多处用""民法典157条""简写，与落点(line645)""第一百五十七条""体例不一致。仍需：统一为""《民法典》第一百五十七条""。"	
①汇编v34复核	27	26		2025·西城·期末·第19题		法律准确性	低		未改			"v34细则(line655)仍为""构成混淆及虚假宣传""，""虚假宣传""为口语简称，答案落点(line659)亦同。仍需：写为""构成混淆行为和虚假或引人误解的商业宣传""。"	
①汇编v34复核	28	27		2025·门头沟·一模·第20题		答案与评分逻辑	低		未改			"v34裁判理由(line679)①""法律规定1分，写出订立劳动合同应遵循诚实信用原则即可得1分""与②""孙某违反诚实信用原则…（1分）""仍口径接近、未加防重复给分提示。仍需：注明""①侧重法律依据、②侧重行为定性，二者不重复给分""。"	
①汇编v34复核	29	28		2026·丰台·一模·第20题		答案与评分逻辑	低		未改			"v34第20题（8分）细则与答案落点仍为整段叙述，未拆分标注法理依据/现实意义各占几分（第796-797行）。仍需按""法理依据5分、现实意义3分""或按要点拆分标注。"	
①汇编v34复核	30	29		2026·延庆·一模·第18题第1问		法律准确性	低		未改			"v34细则与答案落点仍仅定性""侵犯李某的肖像权、名誉权""（第848、850行），未补民法典第1019条（禁止利用信息技术手段伪造侵害肖像权）作AI深度伪造法条落点。属可选优化，仍建议补注第1019条提升严谨度。"	
①汇编v34复核	31	30		2026·房山·一模·第17题第1问		答案与评分逻辑	低		未改			"v34""辨析""题结论与落点仍为单向""AI幻觉造成的损失不由A公司买单""（第865行），未补对梁某诉求合理性的辨析过渡。细则三维兜底基本可控；仍建议落点首句补半句辨析过渡以契合""辨析""题型。"	
①汇编v34复核	32	31		2026·朝阳·二模·第18题		答案与评分逻辑	低		未改			"[对应v33新回归4]v34仍保留【设问要素】【阅卷细则】【变通】【注意】等多段命题人内部标签段落混排进讲义正文（第949-955行），其中【设问要素】""结合材料，《法律与生活》，补充完整…保护权利，8分""系阅卷拆解碎片，非考生作答内容。仍需将这些内部拆解标签段从正文剥离或并入细则备注。"	
①汇编v34复核	33	32		2026·海淀·期末·第18题第1问		答案与评分逻辑	低		未改			"v34细则与答案落点（共6分）仍未逐点标注各采分点分值（结论/格式条款认定/公平原则或497条/限制主要权利/认定无效），仅在末尾标""（6分）""（第1025行）。仍需拆分标注分值至加总6分。"	
①汇编v34复核	34	33		2026·石景山·二模·第19题		题源与同题组	低		未改			"v34设问行""谈谈对…'惩''教'并行的认识。""（第1083行）仍未标分值，细则标""19（8分）""（第1084行），口径不一致未改。仍需在设问末补""（8分）""。"	
①汇编v34复核	35	34		2026·西城·二模·第18题第3问		答案与评分逻辑	低		未改			"v34细则仍为""发挥…示范指引与警示教育作用、规范权力运行、提升司法公正、推进依法行政。（任二，3分；一点2分，两点3分）""（第1143行），""任二/一点/两点""三词并列、口径仍易混。仍需改为""答出任意一点2分，任意两点及以上3分""。"	
①汇编v34复核	36	35		2026·西城·二模·第18题第3问		错别字与表述	低		未改			"v34设问与细则、答案落点仍反复使用""推进国家治理体系和治理能力现代化""与""推进国家治理能力现代化""混用（设问第1141行作""国家治理体系和治理能力现代化""，但同题第2问相关表述仍有""能力""单提）；落点已多用规范全称。属低度，建议全题统一为""国家治理体系和治理能力现代化""。"	
①汇编v34复核	37	36		2026·通州·期末·第19题第1问		答案与评分逻辑	低		未改			"v34第19题第1问（8分）细则与答案落点仍未给出踩分点分值分配（判决结论/程序合法/相邻关系原则及法条/价值导向各几分），仅末尾标""（8分）""（第1195行）。仍需补充踩分点分值。"	
①汇编v34复核	38	37		2026·顺义·一模·第18题		法律准确性	低		未改			v34细则与答案落点未补充劳动合同法第24条说明张某作为总经理属适格竞业限制对象（细则第1227行、落点第1233行仅引第23条相关思路）。原判为可选完善，属保留状态。	
