paragraph_index,title,year,district,stage,question,base_question,key
58,1. 2026海淀一模 第16题（主观题）,2026,海淀,一模,16,16,2026|海淀|一模|16
64,2. 2026西城期末 第16题第（2）问（主观题）,2026,西城,期末,16,16,2026|西城|期末|16
70,3. 2025东城二模 第16题（主观题）,2025,东城,二模,16,16,2025|东城|二模|16
76,4. 2025延庆一模 第16题（主观题）,2025,延庆,一模,16,16,2025|延庆|一模|16
82,5. 2025石景山一模 第4题（选择题）,2025,石景山,一模,4,4,2025|石景山|一模|4
89,1. 2026西城期末 第21题（主观题）,2026,西城,期末,21,21,2026|西城|期末|21
95,2. 2025西城一模 第17题（主观题）,2025,西城,一模,17,17,2025|西城|一模|17
101,3. 2025东城二模 第16题（主观题）,2025,东城,二模,16,16,2025|东城|二模|16
107,4. 2024东城二模 第16题（主观题）,2024,东城,二模,16,16,2024|东城|二模|16
113,5. 2024东城二模 第21题（主观题）,2024,东城,二模,21,21,2024|东城|二模|21
119,6. 2026朝阳期中 第18题（主观题）,2026,朝阳,期中,18,18,2026|朝阳|期中|18
125,7. 2025朝阳期末 第16题（主观题）,2025,朝阳,期末,16,16,2025|朝阳|期末|16
131,8. 2025朝阳期末 第22题（主观题）,2025,朝阳,期末,22,22,2025|朝阳|期末|22
137,9. 2025丰台期末 第16题（主观题）,2025,丰台,期末,16,16,2025|丰台|期末|16
143,10. 2026房山一模 第16题第（2）问（主观题）,2026,房山,一模,16,16,2026|房山|一模|16
149,11. 2026通州期末 第16题（主观题）,2026,通州,期末,16,16,2026|通州|期末|16
155,12. 2025延庆一模 第16题（主观题）,2025,延庆,一模,16,16,2025|延庆|一模|16
161,13. 2025门头沟一模 第21题第（2）问（主观题）,2025,门头沟,一模,21,21,2025|门头沟|一模|21
167,14. 2024顺义二模 第20题第（2）问（主观题）,2024,顺义,二模,20,20,2024|顺义|二模|20
173,15. 2024海淀二模 第4题（选择题）,2024,海淀,二模,4,4,2024|海淀|二模|4
179,16. 2025丰台期末 第7题（选择题）,2025,丰台,期末,7,7,2025|丰台|期末|7
186,17. 2026门头沟一模 第4题（选择题）,2026,门头沟,一模,4,4,2026|门头沟|一模|4
192,18. 2026西城二模 第20题（主观题）,2026,西城,二模,20,20,2026|西城|二模|20
199,1. 2026海淀一模 第16题（主观题）,2026,海淀,一模,16,16,2026|海淀|一模|16
205,2. 2026海淀期末 第16题（主观题）,2026,海淀,期末,16,16,2026|海淀|期末|16
