queue_order,queue_kind,target,target_file,task,priority,blocks_recheck,blocks_final_clean_build,owner_lane,note
1,style_normalisation,8_choice_rows_inline_label,09_student_draft/phase12_expanded_body_TEACHING_PATCHED_REVIEW_ONLY.md,将8条选择题的【答案落点】+【为什么能想到】合并叙述拆为【正确项】+【错项陷阱】两块_保持与其余42条一致,P2,no,no,final_clean_build_lane,涉及Q-2025东城期末-13_Q-2024朝阳一模-7_Q-2024朝阳一模-9_Q-2024朝阳期中-7_Q-2024朝阳期中-9_Q-2025丰台期末-7_Q-2025丰台期末-8_Q-2025顺义一模-7_内容完整_仅样式归一
2,index_basis_polish,auxiliary_mount_basis_english_metadata,09_student_draft/phase12_reasoning_typology_index_TEACHING_PATCHED_REVIEW_ONLY.md_and_thinking_index,把辅助挂载basis字段中英文内部metadata_no_manual_positive_mount_after_MUST_FIX_CONTENT_kept_out_of_positive_nodes_改为中文学生友好说明,P1,no,yes,final_clean_build_lane,索引节点标题已是中文_只剩basis字段元数据需中文化_约30条
3,review_only_strip,html_qid_anchors,09_student_draft/phase12_expanded_body_TEACHING_PATCHED_REVIEW_ONLY.md,删除全部77条HTML注释_question_id_phase12_decision_source_pool,P0_for_final,no,yes,final_clean_build_lane,review-only HTML qid anchors保留是为了外审追溯_final clean build前必须剥离
4,review_only_strip,review_only_status_headers,multi_files,删除body和两个index顶部TEACHING_PATCHED_REVIEW_ONLY_NO_WORD_NO_PDF_NO_FINAL状态行,P0_for_final,no,yes,final_clean_build_lane,涉及body_reasoning_index_thinking_index三个文件
5,fallback_flag_clear,Q-2025海淀二模-20,09_student_draft/phase12_expanded_body_TEACHING_PATCHED_REVIEW_ONLY.md_line_15,清除phase11B_fallback_for_missing_body_now标记并由教师确认fallback内容仍准确,P1,no,yes,final_clean_build_lane,内容recheck_pass_只是流程flag需清除
6,fallback_flag_clear,Q-2026丰台一模-18-2,09_student_draft/phase12_expanded_body_TEACHING_PATCHED_REVIEW_ONLY.md_line_535,清除phase11B_fallback_for_missing_body_now标记并由教师确认fallback内容仍准确,P1,no,yes,final_clean_build_lane,内容recheck_pass_只是流程flag需清除
7,review_only_flag_clear,three_362_new_candidates,09_student_draft/phase12_expanded_body_TEACHING_PATCHED_REVIEW_ONLY.md,清除body_after_362_repair_review_only_flag,P1,no,yes,final_clean_build_lane,涉及Q-2025西城二模-6_Q-2024朝阳一模-6_Q-2026通州期末-10_内容已源支持
8,external_review_optional,post_patch_GPT_review_optional,n/a,如用户需要可补一次外审_作为对教学补丁的外部确认,P2_optional,no,no,user_discretion,用户可酌情触发
9,governor_gate,governor_post_external_boundary_gate,governor_confucius/,Governor在外审完成后做边界检查_不得越权写终稿,P1,no,yes,governor_confucius_lane,
10,confucius_gate,confucius_post_external_learning_gate,governor_confucius/,Confucius在外审完成后做学习价值审核,P1,no,yes,governor_confucius_lane,
11,non_blocker_record,opus_must_fix_teaching_text_closed,n/a,记录Opus_MUST_FIX_TEACHING_TEXT五项已闭合_choice_full_options_50_50_subjective_trio_27_27_NEEDS_zero_顺义一模7四步口令_朝阳一模20_1否定后件式考场口令_丰台一模18_2_bracket_block_海淀二模20答案考场分开,n/a,no,no,already_done,仅作记录_无后续动作
