suite,question,normalized_key,likely_xuanbiyi,matched_terms,evidence_status,current_status,reason,next_action,scoring_evidence,paper_evidence
2024一模,Q17,,evidence_or_module_review,,scoring_not_located,needs_manual_key_review,套卷或题号无法规范化,人工修正套卷键,,权威 C.拓宽民主协商的渠道，推动各单位更好地履职尽责 D.积极回应社会关切，促进社会治理提升到更高水平 2.(海淀一模17.3）（20分）高质量发展是新时代的硬道理。 材料三 北京市海淀区奋力当好新时代首都高质量发展排头兵。海淀区目前是北京市唯一一个经济总量破万亿的区，有基础、有条件、有能力在守护高质量发展中继续走在最前面。 北京市科委、中关村管委会等11部门联合印发《关于进一步培育和服务独角兽企业的若干措施》，加大对硬科技、新生代、高价值独角兽企业及潜在独角兽企业的发掘，打造引领首都新经济新业态发展的中坚力量，为其“量身定制”发展支持方案，并鼓励独角兽企业进一步加大研发投入。 海淀区营商环境位列全市第一。以迎接世界银行营商环境评价为
2024一模,Q18,,evidence_or_module_review,,scoring_not_located,needs_manual_key_review,套卷或题号无法规范化,人工修正套卷键,,"府调控宏观经济，促进城乡互补、产业联动 D．吸引农村外出人口返乡和城市人口下乡，推动区域协调发展 3.（2024东城一模18（1））新质生产力是创新起主导作用，摆脱传统经济增长方式、生产力发展路径，具有高科技、高效能、高质量特征，符合新发展理念的先进生产力质态。 材料 北京已建成相对完善的数字基础设施，2023年，全市实现数字经济增加值18766.7亿元,占地区生产总值的比重为42.9%;依托中关村加快推进高水平科技自立自强先行先试改革，实施24项重大改革措施,出台50多项配套改革措施,出台科研项目经费“包干制”、技术攻关“揭榜挂帅”等政策……北京正充分发挥首都优势,逐“新”而行。 根据材料,概括北京在发展新质生产力方面的优势，并运用《经济与"
2024一模,Q19,,evidence_or_module_review,经济全球化；供应链；产业链,scoring_not_located,needs_manual_key_review,套卷或题号无法规范化,人工修正套卷键,,、提高效率，推动全球供应链高质量发展；通过畅通全球供应链产业链，增强经济全球化活力，推动各国合作共赢。 2.（石景山一模19（2）） 新能源汽车已成为全球汽车产业转型发展的主要方向，也是促进世界经济持续增长的重要引擎。2023 年，我国全年汽车整车出口 491 万辆，同比增长 57.9%，首次跃居全球第一。其中，新能源汽车出口 120.3 万辆，同比增长 77.6%。出海大势之下，中国新能源汽车不但“走了出去”，也在悄悄“扎下根来”。以某企业为例，在继泰国等多国设厂后，计划采用全球先进的工艺设备和高度自动化的生产流程，在匈牙利建设全球领先的新能源汽车整车制造基地。匈牙利是欧洲重要的交通枢纽，拥有雄厚的工业基础，为该企业在当地建设工厂提供了良好
2024一模,Q20,,evidence_or_module_review,开放型世界经济,scoring_not_located,needs_manual_key_review,套卷或题号无法规范化,人工修正套卷键,,善沿线国家人民的生产生活条件，增强了人民的幸福感；促进贸易和投资自由化、便利化，推动开放型世界经济发展。 4.（东城一模20.） (8分)加快构建新发展格局，是推动高质量发展的战略基点。 围绕节能降碳、超低排放、智能化升级等方向，推进重点行业设备更新改造，开展汽车、家电、家居等耐用消费品以旧换新；实施降低物流成本行动…… 主动对照相关国际规则、规制、管理、标准，深化国内相关领域改革；全面取消制造业领域外资准入限制措施，放宽电信、医疗等服务业市场准入…… 结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。 参考答案：推进重点行业设备更新改造和耐用消费品以旧换新，促进消费、拉动投资，推动产业结构升级，提
2024一模,Q22,,evidence_or_module_review,经济全球化；全球治理,scoring_not_located,needs_manual_key_review,套卷或题号无法规范化,人工修正套卷键,,3.14 万亿美元，占全球市场的 77.2%。中国、 印度等发展中经济体数字服务出口 9270 亿美元，在全球的占比为 22.8%，同比增长 14%。 读图，据此推断正确的是 ①2015 年、2020 年、2022 年全球可数字化服务出口规模有明显下降 ②随着数字技术创新步伐加快，数字贸易为全球经济增长注入新动能 ③数字鸿沟是经济全球化中的重要挑战，需要深化全球数字治理与合作 ④全球治理体系加速变革，各经济体在数字贸易规则方面达成全面共识 A．①② B．①④ C．②③ D．③④ 4.（石景山一模15）2023 年是“一带一路”倡议提出十周年。作为“一带一路”倡议的“总设计师”， 习近平主席在多个场合
2024东城一模,Q16,2024东城一模Q16,evidence_or_module_review,,answer_only,already_in_main,当前学生主表已有该题源,保持，后续只做证据抽检,,"--- page 6 OCR --- 第 二 部 分 “ 非 选择 题 本 部 分 共 6 题 , 共 55 分 。 16. (7 分 ) 中 华 民族 是 世界 上 伟大 的 民族 ,有 着 5000 多 年 源远流长 的 文明 历史 ,为 人 类 文明 进步 作出 了 \ ae 不 可 磨灭 的 贡献 。 Nee A RSH IR RA Hi oe He Ie RS 国 礼 的 (论语 导读 )》 如 今 典 藏 于 中 国 国家 图 书馆 。 一 《论语 》 的 早期 翻译 和 导读 曾 对 备 德 斯 鸭 和 伏 尔 泰 法 文本 (论语 导读 ) 的 哲学 思想 给 予 启发 ，17 至 18 世纪 ,中 国 的 思 ("
2024东城一模,Q17,2024东城一模Q17,evidence_or_module_review,,scoring_not_located,evidence_not_located,当前自动抽取未定位细则,回源OCR/渲染页继续找细则,,"而 做 的 事 情 ?。 结 合 材料 ,运用 《哲学 与 文化 ) 知 识 , 谈 谈 对 此 观点 的 理解 。 17. (7 分 ) AAR RRR TERE IL HABER LIE T ROEM. eee RRR REET 在 方便 百姓 生活 的 同时 ,共享 单车 领域 的 。 行政 机 关 和 法 律 、 法 规 授权 的 具有 管 相关 企业 为 抢占 市 场 ,无 序 投放 了 大 量 车 理 公共 事务 职能 的 组 织 不 得 滥用 行政 ， 辆 ,也 给 传统 监管 方式 带 来 挑战。 。 权力, 排除、 限制 竞争 。 | 某 市 政府 公开 拍卖 城区 共享 单车 + MDF RRLE HARA) T"
2024东城一模,Q18,2024东城一模Q18,evidence_or_module_review,,scoring_not_located,evidence_not_located,当前自动抽取未定位细则,回源OCR/渲染页继续找细则,,"法 加 以 评析 。 高 三 思想 政治 第 6 页 ( 共 10 页 ) --- page 7 OCR --- 18. (20 分 ) 新 质 生 产 力 是 创新 起 主导 作用 ,摆脱 传统 经 济 增 长 方式 .生产 力 发 展 路 径 ， 具有 高 科技 .高 效能 .高 质量 特征 ,符合 新 发 展 理念 的 先进 生产 力 质 态 。 材料 北京 市 人 才 资 源 总 量 北京 市 全 社会 研究 与 试验 发 展 (R&D ) 经 费 投 入 Sao oe 36.7% 0 800 136.8% 700 2500 600 2000 500 400 1500 300 1000 100 “ 20134F 2022 年"
2024东城一模,Q19,2024东城一模Q19,evidence_or_module_review,,answer_only,answer_only_needs_rubric,当前仅定位普通答案,继续寻找细则，未定位前不入主表,,"看 法 。(6 分 ) 高 三 思想 政治 第 8 页 ( 共 10 页 ) --- page 9 OCR --- 19. (6 分 ) 案件 1 2018 年 , 郭 藉 为 李 茉 制作 电表 箱 , 李 天 HBR HR 2019 年 2 月 1 日 前 还 诉 认 时 效 是 指 权利 主体 ， 清 。 期 间 , 郭 某 从 未 众 要 钱 款 。2024 年 3 AIR 在 法 定期 间 内 不 行 全 权利， PRT RR FREER. 部 某 无 大 将 李 义务 人 便 章 有 抗辩 权 ( 权 利 某 告 上 法 庭 ,最 终 因 李 菜 主 张 诉讼 时 效 局 满 而 人 行使 其 请 求 权时 ,义务 人"
2024东城一模,Q20,2024东城一模Q20,evidence_or_module_review,,answer_only,already_in_main,当前学生主表已有该题源,保持，后续只做证据抽检,,"活 》 知 识 , 谈 谈 法 律 规 定 诉讼 时 效 并 对 其 不 适用 的 情形 加 以 规定 的 原因 。 20. (8 分 ) 加 快 构建 新 发 展 格局 ,是 推动 高 质量 发 展 的 战略 基点 。 ae re ik “AGA” 活力 an 。 。 国 绕 节能 降 碳 、 超 低 排 放 、 智 能 化 升级 等 方向 ,推进 重点 行业 设备 更 新 改 ; ; 造 ,开展 汽车 家电、 家居 等 耐用 消费 品 以 旧 换 新 ;实施 降低 物流 成 本 行动 …w pee “OMIBER” ROMANE me 主动 对 照相 关 国际 规划、 规制 管理 、 标 准 ,深化 国内 相关 领域 改革 ;全"
