question_id,suite_id,question_type,stable_locator,section_scope,blocker_reason,blocker_group,student_permission,excluded_from_opus_input,retention_note,input_permission,opus_permission
Q-2024朝阳一模-1,S-2024朝阳一模,选择题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q1,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-10,S-2024朝阳一模,选择题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q10,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-11,S-2024朝阳一模,选择题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q11,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-12,S-2024朝阳一模,选择题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q12,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-13,S-2024朝阳一模,选择题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q13,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-14,S-2024朝阳一模,选择题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q14,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-15,S-2024朝阳一模,选择题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q15,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-16,S-2024朝阳一模,主观题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q16,待判,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-17,S-2024朝阳一模,主观题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q17,边界,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-18-1,S-2024朝阳一模,主观题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q18(1),边界,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-18-2,S-2024朝阳一模,主观题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q18(2),边界,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
Q-2024朝阳一模-19,S-2024朝阳一模,主观题,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q19,边界,scope pending or boundary row,boundary_closed,no,yes,retained_for_audit_not_student_or_opus_input,exclude,no_opus_input
