题目,题目键,共同子原理/方法论,Claude节点集,Codex节点集
2024东城二模第16题,2024_东城_二模_Q16,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024东城二模第16题,2024_东城_二模_Q16,人民群众,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024东城二模第16题,2024_东城_二模_Q16,发展的观点 / 发展的普遍性,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024东城二模第16题,2024_东城_二模_Q16,整体与部分 / 系统观念 / 系统优化,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024东城二模第16题,2024_东城_二模_Q16,矛盾的特殊性 / 具体问题具体分析,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024东城二模第16题,2024_东城_二模_Q16,联系的普遍性,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024东城二模第16题,2024_东城_二模_Q16,辩证否定 / 守正创新,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024朝阳一模第16题,2024_朝阳_一模_Q16,内因和外因,对立统一,内因和外因
2024朝阳二模第16(2)题,2024_朝阳_二模_Q16-2,主观能动性 / 意识的能动作用,人民群众；价值观的导向作用；发展；实践与认识 / 认识对实践的反作用；对立统一；尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用；社会存在与社会意识；联系的普遍性,尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用
2024朝阳二模第16(2)题,2024_朝阳_二模_Q16-2,尊重客观规律与发挥主观能动性相结合,人民群众；价值观的导向作用；发展；实践与认识 / 认识对实践的反作用；对立统一；尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用；社会存在与社会意识；联系的普遍性,尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用
