target_id,suite_id,qno,conflict_type,laneB_decision,laneB_evidence,codex_or_other_claim,codex_or_other_evidence,recommended_action
Q-2026东城一模-6,S-2026东城一模,6,answer_letter_disagreement,D,046试卷::Page9参考答案表(题号6=D);046为权威embedded answer key;答案D有效因换质换位法标准链:SAP→换质SEP→换位ESP的非P不是S形式与D一致,B,Codex precheck CODEX_A_CHOICE_ANSWER_OPTIONS_CANDIDATE显示detected_answer=B但未提供embedded answer key解释_仅依靠pre-check检测可能漏读题号6答案D;Codex源未走完046_paper::Page9 vertical answer table,采用Lane B的D结论;Codex的B为未确认的pre-check_应当被推翻;在fusion和分题细则比对时优先使用046试卷embedded answer key
Q-2024朝阳一模-9,S-2024朝阳一模,9,scope_classification_drift,交叉_in_scope_with_政治_系统观念,030试卷Q9 stem about政协活动模拟提案_options ③系统观念为选必三辩证思维元素;answer D=③④含选必三干扰项③且④为政治制度;031细则.pptx Slide17确认D,queue_classified_as_思维_系统观念_only,queue self-classification with knowledge_node="系统观念"_actually mixed cross,fusion时按cross处理;不能单纯进入选必三student稿_因主体political_政协活动
Q-2024朝阳二模-6,S-2024朝阳二模,6,scope_classification_marginal,交叉_in_scope_with_哲学_政治+概念外延,021试卷Q6 stem about商业航天_选必三概念外延作干扰项;answer C=②④为哲学渐进性飞跃性+政治国有民营航天,queue_classified_as_in_scope_推理_概念,answer is mostly哲学+政治_with选必三作干扰_应判cross,fusion时按cross处理_注意"属种关系"陈述错误的概念论辨为选必三亮点
Q-2025丰台期末-7,S-2025丰台期末,7,scope_classification_marginal,交叉_marginal_with_超前思维_干扰项,040试卷Q7漫画_选必三超前思维作干扰_answer C从实际出发为哲学,queue_classified_as_思维_超前思维,answer is哲学_选必三仅作错误干扰项,fusion时按cross marginal处理_不可作选必三典型例
Q-2026通州期末-9,S-2026通州期末,9,scope_classification_marginal,交叉_in_scope_marginal_with_系统思维,006试卷Q9_answer D系统化_数字化模式整合保障资源_选必三系统思维体现+创新思维发散思维作干扰项,queue_classified_as_思维_创新思维_发散思维,answer is系统思维(选必三整体性体现) but stem mostly政治治理_应判cross,fusion时按cross处理
Q-2025顺义一模-3,S-2025顺义一模,3,scope_out_with_distractor,scope_out_with_选必三逆向思维干扰项,033试卷Q3 stem about冰雪运动文化交流_answer B=多元文化交融为文化角度;D逆向思维误用为干扰项,queue_classified_as_思维_想象_逆向思维,实际为文化题_选必三仅作错误干扰_应scope_out,scope_out_other_book不进fusion作选必三例题
Q-2026东城期末-3,S-2026东城期末,3,scope_out_with_distractor,scope_out_with_选必三思维方式干扰项,044试卷Q3落叶缓扫_answer B矛盾推动城市精细化治理为哲学;D转变思维方式干扰,queue_classified_as_推理_前提,实际哲学_选必三仅作干扰_应scope_out,scope_out_other_book
Q-2026东城期末-4,S-2026东城期末,4,scope_out_with_distractor,scope_out_with_选必三类比实验干扰项,044试卷Q4生命起源_answer D=②④为哲学+科技;①类比实验前提为选必三干扰项,queue_classified_as_推理_前提_类比,实际哲学+科技_选必三仅作错误干扰_应scope_out,scope_out_other_book
Q-2025顺义一模-4,S-2025顺义一模,4,scope_out_correction,scope_out_全部_哲学认识论+价值观,033试卷Q4 stem about时间利用调查_options ①直接现实性 ②生活方式互动 ③相对独立性 ④价值判断价值选择_全为哲学认识论与价值观,queue_classified_as_推理_判断_结论,实际哲学认识论_no选必三 logic test,scope_out_other_book_queue knowledge_node misalignment
Q-2025东城期末-rows系列,S-2025东城期末,1_2_5_7_8_9 series,scope_label_drift,scope_out for Q1_Q2_Q7_Q8_Q9 (all非选必三政治+经济+国际题)_in_scope只Q5_Q13_Q14_Q15,012试卷embedded answers + stem analysis,queue_classified_all_as_in_scope_推理 with掛钩 knowledge_nodes,实际混合suite中Q1=改革开放Q2=邓小平Q7=经济Q8=外资Q9=金砖均非选必三,2025东城期末suite的in_scope choice实际只有Q5_Q13_Q14_Q15;Q1_Q2_Q7_Q8_Q9应scope_out
