"queue_id","priority","part","suite","question","target","status"
"Q0001","hard_sample","thinking","2026顺义一模","Q19(2)","科学思维三特征：客观性/预见性/可检验性","source_locked"
"Q0002","hard_sample","thinking","2025海淀二模","Q20","辩证思维复合：分析综合/整体性/动态性/质量互变/辩证否定","source_locked"
"Q0003","hard_sample","thinking","2026朝阳期中","Q21(2)","创新思维复合：超前/联想/逆向/发散聚合","source_locked"
"Q0004","hard_sample","choice_trap","2026通州期末","Q11","思维抽象与思维具体选择题陷阱","source_locked"
"Q0005","hard_sample","reasoning","2026东城期末","Q17(2)","形式逻辑边界：矛盾律/假言推理/三段论","source_locked"
"Q0006","reasoning_family","reasoning","2024朝阳一模","Q20(1)","充分条件假言推理","source_locked"
"Q0007","reasoning_family","reasoning","2024朝阳一模","Q20(2)","必要条件假言推理","source_locked"
"Q0008","reasoning_family","reasoning","2025西城二模","Q16(2)","充分条件假言推理","source_locked"
"Q0009","reasoning_family","reasoning","2026通州期末","Q19(2)","充分条件+必要条件假言推理","source_locked"
"Q0010","reasoning_family","reasoning","2026丰台一模","Q18(2)","必要条件假言推理与三段论边界","source_locked"
"Q0011","thinking_family","thinking","2024海淀二模","Q17(1)","科学思维总帽下三模块复合：科学/创新/辩证","source_locked"
"Q0012","choice_family","choice_trap","2025顺义一模","Q7","三段论谬误名称纠偏","source_locked"
"Q0013","b_line_addition","reasoning","2026顺义一模","Q19(1)","演绎推理保真两条件/三段论结构正确但前提不真","source_locked"
"Q0014","b_line_addition","thinking","2026朝阳期中","Q20","辩证思维机遇挑战复合题","source_locked"
"Q0015","b_line_addition","reasoning","2026东城期末","Q6","三段论补大前提保真","source_locked"
"Q0016","b_line_addition","reasoning","2026东城期末","Q7","矛盾关系真假判断","source_locked"
"Q0017","b_line_addition","choice_trap","2026通州期末","Q9","数字化治理事实与创新思维误挂边界","source_locked"
"Q0018","b_line_addition","reasoning","2026朝阳一模","Q17(1)前半","不完全归纳推理识别","source_locked"
"Q0019","b_line_addition","thinking","2026朝阳一模","Q17(1)后半","联想思维迁移或想象设计文创方案","source_locked"
"Q0020","b_line_addition","reasoning","2026海淀期末","Q20(1)","充分条件假言推理肯定后件错误","source_locked"
"Q0021","b_line_addition","thinking","2026海淀期末","Q20(2)","超前思维三件套","source_locked"
"Q0022","b_line_addition","reasoning","2026海淀一模","Q17(1)","划分标准不一与选言判断遗漏；完整问卷选项已回源","source_locked_questionnaire_detail_pending_external_review"
"Q0023","b_line_addition","thinking","2026海淀一模","Q17(2)","调研改进题多方法触发","source_locked"
"Q0024","b_line_addition","reasoning","2024朝阳一模","Q6","形式逻辑综合选择题","source_locked"
"Q0025","b_line_addition","reasoning","2024.11朝阳期中","Q18","不完全归纳与类比推理评析","source_locked"
"Q0026","b_line_addition","reasoning","2026西城一模","Q19(3)","三段论四概念/反对关系/同一律","source_locked"
"Q0027","gap008_p0","reasoning","2025海淀一模","Q21(1)","不相容选言推理否定肯定式有效样本","source_locked"
"Q0028","gap008_p0","reasoning","2025丰台期末","Q9","不相容选言判断真不能直接推出单一选言支","source_locked"
"Q0029","gap001_p1","reasoning","2024朝阳二模","Q7","三段论小项不当扩大选择题；答案D","source_locked_pending_external_review"
"Q0030","P1_gap_audit","thinking","2024北京高考","Q19(2)","青海防沙治沙：科学思维/辩证思维/创新思维评分口径；原题待锁定","source_identified_original_question_not_locked"
"Q0031","gap003_p2","reasoning","2026顺义一模","Q2","概念外延关系：具体风土人情与北京题材不是交叉关系","source_locked_pending_external_review"
"Q0032","gap003_p2","thinking","2026顺义一模","Q3","探月工程分析与综合/整体性动态性选择题","source_locked_pending_external_review"
"Q0033","gap003_p2","reasoning","2026顺义一模","Q4","类比推理与比喻定义/完全归纳边界","source_locked_pending_external_review"
"Q0034","gap003_p2","thinking","2026顺义一模","Q5","感觉知觉表象到本质规律；发散思维误挂","source_locked_pending_external_review"
"Q0035","gap003_p2_conflict","thinking","2026顺义一模","Q6","迁移方法官方答案A与旧错肢库冲突复核","source_locked_answer_conflict_pending_external_review"
"Q0036","gap003_p2","thinking","2026顺义一模","Q7","人机协作象限边界选择题","source_locked_pending_external_review"
"Q0037","gap004_p2","thinking","2026朝阳一模","Q3","科技赋能传统文化焕新；辩证否定 choice signal","source_locked_pending_external_review"
"Q0038","gap004_p2","reasoning","2026朝阳一模","Q5","假言判断/划分/关系非传递综合选择题","source_locked_pending_external_review"
"Q0039","gap004_p2_conflict","thinking","2026朝阳一模","Q6","坝河治理发散聚合；正式答案D与旧思维索引冲突复核","source_locked_pending_external_review"
"Q0040","gap004_p2","thinking","2026朝阳一模","Q7","月壤样品分析与遥感互证；科学思维可信度","source_locked_pending_external_review"
"Q0041","gap005_p2_gap009","thinking","2025门头沟一模","Q21(1)","科学思维设问下辩证/创新/科学复合转型题","source_locked_pending_external_review"
"Q0042","gap005_p2","reasoning","2025房山一模","Q16(2)","三段论构造题：前提为真、结构正确","source_locked_pending_external_review"
"Q0043","gap005_p2","thinking","2025房山一模","Q16(3)","创新思维建议题：发散/借用/逆向/三新","source_locked_pending_external_review"
"Q0044","gap005_p2","thinking","2025东城期末","Q18(2)","登月服创新思维题：三新/发散聚合/联想/超前","source_locked_pending_external_review"
"Q0045","gap005_p2","thinking","2025昌平二模","Q19","沉浸式演艺创新思维题：逆向/发散聚合/联想/三新","source_locked_pending_external_review"
"Q0046","gap005_p2_gap009","thinking","2025西城一模","Q17","温榆生态心科学思维设问下客观性/辩证/创新复合题","source_locked_pending_external_review"
"Q0047","gap005_p2","thinking","2025石景山一模","Q19","科学建议题：客观性/可检验性/归纳推理可靠程度/创新思维","source_locked_pending_external_review"
"Q0048","gap005_p2","thinking","2025丰台一模","Q18(1)","新一代人工智能规划题：科学思维客观性/预见性/可检验性","source_locked_pending_external_review"
"Q0049","gap005_p2","reasoning","2025朝阳期末","Q19","排中律两不可/矛盾律自相矛盾/三段论有效结构综合题","source_locked_pending_external_review"
"Q0050","gap005_p2","thinking","2025海淀期末","Q18","北京城市图书馆创新思维题：逆向/联想/发散聚合/超前","source_locked_pending_external_review"
"Q0051","gap005_p2","thinking","2025东城一模","Q18(1)","两重实施辩证思维题：整体性/动态性/实践观点/主要矛盾","source_locked_pending_external_review"
"Q0052","gap005_p2","reasoning","2025朝阳一模","Q17(1)","具身智能必要条件假言推理题：必要条件误当充分条件","source_locked_pending_external_review"
"Q0053","gap005_p2","reasoning","2025朝阳二模","Q17","地铁客运量不完全归纳推理题：扩大样本/探究因果/增强可靠性","source_locked_pending_external_review"
