codex_question_id,year,district,exam_stage,question_no,sub_question_no,codex_module_risk,codex_evidence_type,codex_evidence_level,claudecode_reason_for_rejection,codex_ask_text
Q0001_2024_东城_一模_16,2024,东城,一模,16,,选必二,evaluation_standard,formal,ClaudeCode 在题号16-22主观槽位未识别到该题或证据全部缺失,"结合材料意思---资源优化配置/区域协调/产业升级／现化产业体系等
（每一层2分，满分7分）
细则：
[slide 72]
示例：
坚持以人民为中心／新发展理念，发挥有为政府公共服务职能，完善交通基础设施，促进区域内资源要素流动，优化资源配置，促进共享发展，助推首都都市圈高质量发展；
坚持系统优化的方法，既疏解非首都功能又发挥一核两翼的作用，促进区域协调发展，助推首都都市圈高质量发展；
坚持创新绿色发展，发挥三地比较优势，促进产业优化升级，构建创新引领协调发展的现化化产业体系，助推首都都市圈高质量发展。"
Q0003_2024_东城_二模_18_2,2024,东城,二模,18,2,选必二,marking_report,formal,ClaudeCode 在题号16-22主观槽位未识别到该题或证据全部缺失,请你运用相关知识，针对不同主体各提一条建议，并说明其理论依据。
Q0004_2024_东城_二模_19_1,2024,东城,二模,19,1,选必二,marking_report,formal,ClaudeCode 在题号16-22主观槽位未识别到该题或证据全部缺失,"请求”，其是被告向原告主张的利益，不少学生对原告提出诉讼请求
3.不能始终如一的站在自己立场的上提出主张
4.审题不清，将当事人的情况和诉求弄混 | 试卷讲评建议 | 锻炼学生概括情境案例的能力，尤其是提取关键信息的能力。"
Q0010_2024_朝阳_一模_20_2404,2024,朝阳,一模,20,2404,选必二,missing,missing,ClaudeCode 在题号16-22主观槽位未识别到该题或证据全部缺失,结合上述资料ꎬ在分析我国当前经济形势的基础上ꎬ运用«当代国际政治与经济»知识ꎬ
Q0013_2024_海淀_一模_18,2024,海淀,一模,18,,选必二,marking_rubric,formal,ClaudeCode 模块判定为 当代国际政治与经济：ask names other module: 运用《当代国际政治与经济》,分析认识对象与有关现象之间的因果关系等方法。（1分，可替换：运用求同法、求异法、共变法等探求因果关系的具体方法）
Q0015_2024_海淀_一模_20,2024,海淀,一模,20,,选必二,marking_rubric,formal,ClaudeCode 模块判定为 不确定：no clear module signal,
Q0020_2024_石景山_一模_18,2024,石景山,一模,18,,选必二,teacher_reference_answer,reference_only,"ClaudeCode 模块判定为 必修三：必修三 frame ['基层治理'], weak 选必二 signal",
Q0023_2024_顺义_二模_17,2024,顺义,二模,17,,选必二,marking_rubric,formal,ClaudeCode 模块判定为 不确定：no clear module signal,
Q0027_2025_东城_期末_18_2,2025,东城,期末,18,2,选必二,marking_rubric,formal,ClaudeCode 模块判定为 逻辑与思维：ask names other module: 运用《逻辑与思维》,"结合材料，中
国式现代化，
民生为大是价
值取向，更是
实践要求。"
Q0034_2025_丰台_二模_17,2025,丰台,二模,17,,选必二,evaluation_standard,formal,"ClaudeCode 模块判定为 必修三：必修三 frame ['法治政府', '党的领导'], weak 选必二 signal","结合材料，运用《法律与生活》知识，谈谈在中华优秀传统文化传承与创新中，法律规定著作权并对其加以限制的意义.
【答案】①法律对知识产权的限制在著作权上包括合理使用和法定许可使用。"
