question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck
Q-2024朝阳一模-1,S-2024朝阳一模,1,选择题,blocked,excluded,"题干""两个结合""考查中国特色社会主义+党的指导思想（必修1/必修3 政治）；docx 答案 B=①④（路基拓展+第二个结合是党事业成功密钥）；不命中选必三《逻辑与思维》主线节点；按硬规则归 政治 模块 excluded。",no
Q-2024朝阳一模-2,S-2024朝阳一模,2,选择题,blocked,excluded,"题干""生成式人工智能赋能千秋诗颂""考查新质生产力（必修2 经济与社会）+绝对化错误识别（A消除界限/B彻底变革/D发展顶峰）；docx 答案 C 仅命中""新质生产力的独特优势""；落点为经济模块；按硬规则归 经济 模块 excluded。",no
Q-2024朝阳一模-3,S-2024朝阳一模,3,选择题,blocked,excluded,"题干""李保国/糖丸爷爷/钟扬""考查人生价值（必修4 哲学）；docx 答案 B=①④（投身实践实现价值+为国家民族奋斗才是有意义的人生）；落点为哲学价值观；按硬规则归 哲学 模块 excluded。",no
Q-2024朝阳一模-4,S-2024朝阳一模,4,选择题,blocked,excluded,"题干""盐角草驱盐化碱""docx 答案 A=①体现属性建立联系；联系/属性是哲学（必修4）共有概念；未独立触发选必三系统观念或辩证思维特定术语（动态性/整体性/分析综合等）；按硬规则保守归 哲学 模块 excluded；needs_codex_recheck 备份字段供跨模块复核。",yes
Q-2024朝阳一模-5,S-2024朝阳一模,5,选择题,blocked,excluded,"题干""三大文化建筑开放""考查首都战略定位+公共文化服务（必修3 政治+必修4 文化）；docx 答案 A=①③（传承文脉+惠及人民）；落点为政治/文化模块；按硬规则归 政治 模块 excluded。",no
Q-2024朝阳一模-6,S-2024朝阳一模,6,选择题,新候选(B-choice-signal_needs_answer_key_check),入正文,"题干""思维必须合乎逻辑/符合逻辑规则的是""明确指向选必三第二单元《遵循逻辑思维规则》；A 划分子项相容（违反划分规则）/C 全称肯定与特称否定违反矛盾律/D 集合谓词混淆三段论错误；docx 答案=B（不赞成所有人都有/不赞成所有人都没有；两命题非矛盾命题；故合乎排中律推理）；可入正文做""逻辑三律 + 概念划分规则""综合识错题。",no
Q-2024朝阳一模-7,S-2024朝阳一模,7,选择题,入正文(L3_CONFIRMED),入正文,"题干""原始/集成/开放创新""明确指向选必三第三单元《运用辩证思维方法》+第四单元《提高创新思维能力》；docx 答案=C（②集成创新跨越性不排斥逻辑推导+③开放创新合作创新继承借鉴）；①迁移想象逆向不属逻辑思维而属创新思维（混用错）；④""就能确保""绝对化错；phase05_thinking_signal_archive 已锁 L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE。",no
Q-2024朝阳一模-8,S-2024朝阳一模,8,选择题,blocked,excluded,"题干""保留人工窗口""考查法治社会+以人民为中心（必修3 政治）；docx 答案=D=③④（值得借鉴+致广大尽精微践行人民为中心）；落点为政治模块；按硬规则归 政治 模块 excluded。",no
Q-2024朝阳一模-9,S-2024朝阳一模,9,选择题,入正文(L3_CONFIRMED),入正文,"题干""模拟提案到正式提案""考查选必三第三单元辩证思维系统观念（""务实调查、充实内容、完善提案""=系统观念整体性步骤）+ 跨模块挂载政治协商；docx 答案=D=③④（系统观念调查思考整体性+对中国特色社会主义制度优势的理解）；①具体政策制定不属此活动主旨/②""引领社会治理""过度；phase05_thinking_signal_archive 已锁 L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE。",no
Q-2024朝阳一模-10,S-2024朝阳一模,10,选择题,blocked,excluded,"题干""刘某饮燃料酒精""考查健康权侵权责任（必修选择性必修2《法律与生活》）；docx 答案=C；落点为法律模块；按硬规则归 法律 模块 excluded。",no
Q-2024朝阳一模-11,S-2024朝阳一模,11,选择题,blocked,excluded,"题干""所有权归属争议""考查物权占有使用收益处分（必修选择性必修2《法律与生活》）；docx 答案=B=①④（赃物所有权+房产已过户）；落点为法律模块；按硬规则归 法律 模块 excluded。",no
