question_id,year,district,exam_stage,source_paper_file,paper_page,question_no,sub_question_no,full_question_text,material_text,ask_text,answer_file,answer_page,answer_text,rubric_file,rubric_page,rubric_text,evidence_type,evidence_level,why_candidate_subjective_law_question,why_maybe_not_subjective_law_question,module_boundary_risk,confidence,source_locator,notes,merged_question_id,codex_question_id_if_matched,claudecode_question_id,merge_status,merge_decision_reason
RECOVER_2024_东城_一模_19,2024,东城,一模,F0011/F0236 rendered page_009,9,19,,"案例1：郭某向李某出具欠据后长期未清偿，2024年郭某讨钱并起诉，最终因主张诉讼时效届满而败诉。案例2：冯某按月向母亲程某支付赡养费，长期未付后被程某追索，冯某以诉讼时效抗辩，法院不支持并判令如数支付。资料卡说明诉讼时效制度及义务人享有拒绝给付抗辩权。
针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用的情形加以规定的原因。（6分）",案例1：郭某向李某出具欠据后长期未清偿，2024年郭某讨钱并起诉，最终因主张诉讼时效届满而败诉。案例2：冯某按月向母亲程某支付赡养费，长期未付后被程某追索，冯某以诉讼时效抗辩，法院不支持并判令如数支付。资料卡说明诉讼时效制度及义务人享有拒绝给付抗辩权。,针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用的情形加以规定的原因。（6分）,F0010/F0235,page_001,法律规定诉讼时效有助于督促当事人积极主张权利，推动纠纷解决，节约司法资源。赡养问题事关老年人的基本生存权利，成年子女对父母有赡养的义务。请求支付赡养费不适用诉讼时效的规定有助于保护老年人的合法权益，彰显公序良俗，体现人文关怀，构建和谐家庭。,F0009/F0234,slides 57-62,F0010 page_001 给出参考答案及评分标准；F0009 slides 57-62 明确诉讼时效2分、成年子女赡养义务2分、保护老人合法权益/公序良俗/和谐家庭2分。,evaluation_standard,formal,设问明示运用《法律与生活》，材料为诉讼时效、赡养费请求权抗辩，答案直接奖励民事诉讼时效与赡养义务。,容易被误判为法治价值题；但得分机制落在诉讼时效制度、赡养义务与老年权益保护。,选必二,high,paper F0011 rendered page_009; answer F0010 page_001; rubric F0009 slides 57-62,suite-level exhaustion recovered from previously empty 2024东城一模 suite,RECOVER_2024_东城_一模_19,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2024_东城_二模_19_1,2024,东城,二模,F0043 rendered page_009,9,19,1,"甲公司从乙公司购入电视，约定乙公司负担3月20日及以前仓储费。3月19日甲公司要求延长仓储时间至3月30日，乙公司回复“可以”，双方未约定新增仓储费。3月30日甲公司收货并垫付全部仓储费后要求尾款扣除仓储费；乙公司拒绝承担3月21日以后仓储费，甲公司拒付尾款，双方拟通过诉讼解决争议。
请你选择其中一方进行代理，并撰写起诉状。（7分）",甲公司从乙公司购入电视，约定乙公司负担3月20日及以前仓储费。3月19日甲公司要求延长仓储时间至3月30日，乙公司回复“可以”，双方未约定新增仓储费。3月30日甲公司收货并垫付全部仓储费后要求尾款扣除仓储费；乙公司拒绝承担3月21日以后仓储费，甲公司拒付尾款，双方拟通过诉讼解决争议。,请你选择其中一方进行代理，并撰写起诉状。（7分）,F0037,lines 2-23,起诉状示例含原告被告、诉讼请求、事实与理由。,F0037,lines 30-45,阅卷细则：诉讼请求2分；事实踩意2分；理由中全面履行/诚信原则、单方变更、违约责任等1个理由2分、2个理由3分；也允许乙公司角度以公平原则、买卖合同有效、全面履行、违约责任作答。,marking_rubric,formal,设问要求撰写民事起诉状，评分细则奖励诉讼请求、合同履行、诚信原则、违约责任等《法律与生活》表达。,可能被误收为纯应用文格式题；但格式本身不给分，法律请求和事实理由才得分。,选必二,high,paper F0043 page_009; rubric F0037 lines 30-45,suite-level exhaustion recovered from 2024东城二模,RECOVER_2024_东城_二模_19_1,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2024_东城_二模_19_2,2024,东城,二模,F0043 rendered page_009,9,19,2,"甲公司从乙公司购入电视，约定乙公司负担3月20日及以前仓储费。3月19日甲公司要求延长仓储时间至3月30日，乙公司回复“可以”，双方未约定新增仓储费。3月30日甲公司收货并垫付全部仓储费后要求尾款扣除仓储费；乙公司拒绝承担3月21日以后仓储费，甲公司拒付尾款，双方拟通过诉讼解决争议。
为避免类似问题产生，我们应该________。（2分）",甲公司从乙公司购入电视，约定乙公司负担3月20日及以前仓储费。3月19日甲公司要求延长仓储时间至3月30日，乙公司回复“可以”，双方未约定新增仓储费。3月30日甲公司收货并垫付全部仓储费后要求尾款扣除仓储费；乙公司拒绝承担3月21日以后仓储费，甲公司拒付尾款，双方拟通过诉讼解决争议。,为避免类似问题产生，我们应该________。（2分）,F0038,lines 3-4,树立合同意识，合同内容应清晰明确；合同缺少重要条款时，双方当事人应平等协商，对合同进行补充或解释。,F0038,lines 5-18,指出“合同内容应清晰明确”即可得2分；明确双方权利义务、合同内容完善细化具体、意思表示明确可替代；只提协商一致得1分；意思表示一致、诚信履行、全面履行不给分。,marking_rubric,formal,设问围绕同一合同争议要求提出法律化建议，细则明确奖励合同内容清晰、权利义务明确。,可能被写成泛泛诚信履行或依法治国；细则明确这些不给分或弱给分。,选必二,high,paper F0043 page_009; rubric F0038 lines 3-23,suite-level exhaustion recovered from 2024东城二模,RECOVER_2024_东城_二模_19_2,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2025_丰台_二模_19_2,2025,丰台,二模,F0114/F0326,page 7 / lines 256-327,19,2,"某互联网企业开发AI产品，用户输入“我要看某热播剧”后，AI生成链接多数指向盗版资源网站。版权方H公司检测到盗版链接点击超万次后起诉。法院调研发现AI大模型输出不可预测，企业已从语料输入、模型运行到内容输出定期跟踪核查并尽义务，随后提出司法建议：安装“版权雷达”、部署“数字巡警”、定期开展“安全体检”。
一纸司法建议，既为当下划定了红线，防止技术滥用，又为未来创新发展预留了空间。运用《法律与生活》知识，谈谈你对这句话的理解。（8分）",某互联网企业开发AI产品，用户输入“我要看某热播剧”后，AI生成链接多数指向盗版资源网站。版权方H公司检测到盗版链接点击超万次后起诉。法院调研发现AI大模型输出不可预测，企业已从语料输入、模型运行到内容输出定期跟踪核查并尽义务，随后提出司法建议：安装“版权雷达”、部署“数字巡警”、定期开展“安全体检”。,一纸司法建议，既为当下划定了红线，防止技术滥用，又为未来创新发展预留了空间。运用《法律与生活》知识，谈谈你对这句话的理解。（8分）,F0326,lines 428-432,教师版答案强调法律在技术创新与社会秩序之间的平衡作用。,F0111,lines 3-25,法律在技术创新与社会秩序之间的平衡作用2分；明确AI应用法律边界、规范当前技术行为、防止滥用并提供创新合法空间2分；版权雷达/数字巡警监测侵权、保护创作者合法权益和社会公共利益2分；安全体检提供创新合法路径，体现公平、诚信、守法和公序良俗2分。,evaluation_standard,formal,设问明示《法律与生活》，材料是AI著作权侵权风险与司法建议，细则奖励法律边界、创作者权益、公共利益、民法原则。,容易被误写成必修三法治建设或技术治理空话；但细则要求版权/侵权监测/民法原则。,选必二,high,paper F0114/F0326 lines 256-327; rubric F0111 lines 3-25,suite-level exhaustion recovered,RECOVER_2025_丰台_二模_19_2,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2026_延庆_一模_18_1,2026,延庆,一模,F0159/F0368,lines 170-181,18,1,"AI虚拟数字人直播快速发展，但不法商家滥用技术。北京M公司未经授权，利用AI技术合成著名主持人李某形象开展虚假直播营销，借公众人物社会声誉和粉丝信任攫取商业流量。
结合材料一，运用《法律与生活》知识，分析M公司涉嫌哪些违法行为，若主持人李某诉至法院，可提出哪些诉讼请求并说明理由。（8分）",AI虚拟数字人直播快速发展，但不法商家滥用技术。北京M公司未经授权，利用AI技术合成著名主持人李某形象开展虚假直播营销，借公众人物社会声誉和粉丝信任攫取商业流量。,结合材料一，运用《法律与生活》知识，分析M公司涉嫌哪些违法行为，若主持人李某诉至法院，可提出哪些诉讼请求并说明理由。（8分）,F0368,lines 326-330,M公司涉嫌侵犯肖像权、名誉权、消费者知情权，进行虚假和引人误解的商业宣传，构成不正当竞争；诉讼请求停止侵害、赔偿损失、承担诉讼费用、赔礼道歉。,F0369,lines 16-23,违法行为3分，每个角度1分：人格权、消费者权益、不正当竞争；诉讼请求1分；事实1分、侵权行为1分、违背诚信原则1分；事实与侵权分析恰当1分，形象对应肖像，虚假宣传对应名誉。,evaluation_standard,formal,设问明示《法律与生活》，材料是AI仿冒人格权/消费者权益/不正当竞争，细则逐点给分。,可能被写成AI伦理或必修三监管题；但细则核心是人格权、消费者权益、不正当竞争和诉讼请求。,选必二,high,paper F0368 lines 170-181; rubric F0369 lines 16-23,suite-level exhaustion recovered,RECOVER_2026_延庆_一模_18_1,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2026_房山_一模_17_1,2026,房山,一模,F0161 rendered page_008,8,17,1,"梁某查询高校报考信息时，A公司开发的AI模型提供不准确信息即“AI幻觉”。梁某指出错误后，AI仍坚持错误并生成“内容有误赔偿10万元”的承诺。梁某认为受损并起诉要求A公司赔偿。A公司声明已提示AI生成内容仅供参考。法院经查原告权益未受实际损害，参照《生成式人工智能服务管理暂行办法》认定不构成侵权。
结合材料，运用“民事法律关系”知识，辨析“AI幻觉造成损失谁买单”。（3分）",梁某查询高校报考信息时，A公司开发的AI模型提供不准确信息即“AI幻觉”。梁某指出错误后，AI仍坚持错误并生成“内容有误赔偿10万元”的承诺。梁某认为受损并起诉要求A公司赔偿。A公司声明已提示AI生成内容仅供参考。法院经查原告权益未受实际损害，参照《生成式人工智能服务管理暂行办法》认定不构成侵权。,结合材料，运用“民事法律关系”知识，辨析“AI幻觉造成损失谁买单”。（3分）,F0371,lines 22-31,AI幻觉造成的损失不由A公司买单；民事法律关系主体包括自然人、法人和非法人组织，AI不具备民事主体资格，赔偿承诺不具法律效力，A公司已履行提示义务。,F0371,lines 22-31,1分：AI幻觉造成的损失不由A公司买单。2分：民事法律关系主体包括自然人、法人和非法人组织，AI不具备民事主体资格，AI的赔偿承诺不具法律效力；或A公司已履行提示义务不承担赔偿；或梁某作为民事主体应有注意义务。,evaluation_standard,formal,设问明确民事法律关系，材料涉及AI是否为民事主体、意思表示、侵权责任与注意义务。,可能被写成AI治理或道德提醒；但得分点落在民事主体资格、法律效力、提示义务和侵权构成。,选必二,high,paper F0161 page_008; rubric F0371 lines 22-31,suite-level exhaustion recovered,RECOVER_2026_房山_一模_17_1,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2026_西城_二模_18_1,2026,西城,二模,F0201,lines 120-129,18,1,"梁某使用被告公司生成式AI查询招生信息，AI生成虚假内容并作出“若内容有误，自愿赔偿10万元”的承诺。梁某起诉要求承担侵权责任。被告公司称AI系模型自主运算，公司已在显著位置提示AI内容仅供参考并投入技术提升，梁某未能证明实际损失。法院驳回诉讼请求。该案被最高人民法院列为典型案例，涉及生成式AI法律地位、责任边界、监管规范等新型法律与治理问题。
结合材料，阐明本案判决的法律依据。（4分）",梁某使用被告公司生成式AI查询招生信息，AI生成虚假内容并作出“若内容有误，自愿赔偿10万元”的承诺。梁某起诉要求承担侵权责任。被告公司称AI系模型自主运算，公司已在显著位置提示AI内容仅供参考并投入技术提升，梁某未能证明实际损失。法院驳回诉讼请求。该案被最高人民法院列为典型案例，涉及生成式AI法律地位、责任边界、监管规范等新型法律与治理问题。,结合材料，阐明本案判决的法律依据。（4分）,F0201,lines 153-156,依据《民法典》规定，民事主体包括自然人、法人和非法人组织，人工智能不具有民事主体资格，不能独立作出意思表示，不产生法律效力。被告已在显著位置提示AI内容局限性，尽到合理注意义务，不存在过错；梁某未能举证实际损害及损害与AI内容的因果关系，不满足侵权构成要件，侵权不成立。,F0200,F0200 rendered page_006,细则：民事主体资格、AI不能独立意思表示、不产生法律效力任一采意2分；正确写出侵权构成要件、权利义务统一等可得分；被告尽到合理注意义务、不存在过错，梁某未能举证实际损害及因果关系，采意给分。,evaluation_standard,formal,整题标题为“法治护航AI时代创新发展”，材料为AI民事侵权/责任边界/典型案例，评分细则围绕民事主体、侵权构成、责任边界、法治治理给分。,第(2)(3)问有法治治理和产业发展表达，存在必修三化风险；但评标明确要求从法律责任边界、权利义务、司法典型案例落点作答。,选必二,high,paper F0201 lines 120-129; rubric F0200 rendered page_006,suite-level exhaustion recovered from 2026西城二模,RECOVER_2026_西城_二模_18_1,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2026_西城_二模_18_2,2026,西城,二模,F0201,lines 120-129,18,2,"梁某使用被告公司生成式AI查询招生信息，AI生成虚假内容并作出“若内容有误，自愿赔偿10万元”的承诺。梁某起诉要求承担侵权责任。被告公司称AI系模型自主运算，公司已在显著位置提示AI内容仅供参考并投入技术提升，梁某未能证明实际损失。法院驳回诉讼请求。该案被最高人民法院列为典型案例，涉及生成式AI法律地位、责任边界、监管规范等新型法律与治理问题。
结合该案判决对生成式AI权责边界的认定，分析其对促进AI产业发展的影响。（6分）",梁某使用被告公司生成式AI查询招生信息，AI生成虚假内容并作出“若内容有误，自愿赔偿10万元”的承诺。梁某起诉要求承担侵权责任。被告公司称AI系模型自主运算，公司已在显著位置提示AI内容仅供参考并投入技术提升，梁某未能证明实际损失。法院驳回诉讼请求。该案被最高人民法院列为典型案例，涉及生成式AI法律地位、责任边界、监管规范等新型法律与治理问题。,结合该案判决对生成式AI权责边界的认定，分析其对促进AI产业发展的影响。（6分）,F0201,lines 153-156,法治是最好的营商环境。该判决通过明确责任边界，避免过度追责，为企业发展提供稳定法律预期，释放产业创新活力；通过统一裁判标准，规范行业行为，推动行业规范有序发展；坚持权利义务相统一，平衡用户权益保障与技术创新需求，引导用户理性使用，减少矛盾隐患，助力AI行业长期健康发展。,F0200,F0200 rendered pages_007-008,细则：明确责任边界、稳定法律预期、激发创新活力2分；统一裁判标准、规范行业行为、有序发展2分；坚持权利义务相统一、平衡用户权益与技术创新、引导理性使用2分；任意两个角度即可满分。,evaluation_standard,formal,整题标题为“法治护航AI时代创新发展”，材料为AI民事侵权/责任边界/典型案例，评分细则围绕民事主体、侵权构成、责任边界、法治治理给分。,第(2)(3)问有法治治理和产业发展表达，存在必修三化风险；但评标明确要求从法律责任边界、权利义务、司法典型案例落点作答。,综合,high,paper F0201 lines 120-129; rubric F0200 rendered pages_007-008,suite-level exhaustion recovered from 2026西城二模,RECOVER_2026_西城_二模_18_2,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2026_西城_二模_18_3,2026,西城,二模,F0201,lines 120-129,18,3,"梁某使用被告公司生成式AI查询招生信息，AI生成虚假内容并作出“若内容有误，自愿赔偿10万元”的承诺。梁某起诉要求承担侵权责任。被告公司称AI系模型自主运算，公司已在显著位置提示AI内容仅供参考并投入技术提升，梁某未能证明实际损失。法院驳回诉讼请求。该案被最高人民法院列为典型案例，涉及生成式AI法律地位、责任边界、监管规范等新型法律与治理问题。
结合材料二，从法治的角度，阐释最高人民法院发布典型案例对推进国家治理能力现代化的意义。（6分）",梁某使用被告公司生成式AI查询招生信息，AI生成虚假内容并作出“若内容有误，自愿赔偿10万元”的承诺。梁某起诉要求承担侵权责任。被告公司称AI系模型自主运算，公司已在显著位置提示AI内容仅供参考并投入技术提升，梁某未能证明实际损失。法院驳回诉讼请求。该案被最高人民法院列为典型案例，涉及生成式AI法律地位、责任边界、监管规范等新型法律与治理问题。,结合材料二，从法治的角度，阐释最高人民法院发布典型案例对推进国家治理能力现代化的意义。（6分）,F0201,lines 153-156,完善数字治理规则，健全法律实施机制，提升治理法治化水平。发挥典型案例的示范指引与警示教育作用，规范权力运行，提升司法公正，推进依法行政；引导公众依法行使权利、履行义务；保障公民合法权益与社会公共利益，助力国家对新兴产业领域治理能力提升，推进国家治理能力现代化。,F0200,F0200 rendered page_009,细则：完善数字治理规则/健全法律实施机制/提升治理法治化水平任一1分；典型案例示范指引与警示教育、规范权力运行、提升司法公正、推进依法行政任三点3分；公众依法行使权利履行义务1分；保障公民合法权益与社会公共利益或新兴产业治理能力提升1分。,evaluation_standard,formal,整题标题为“法治护航AI时代创新发展”，材料为AI民事侵权/责任边界/典型案例，评分细则围绕民事主体、侵权构成、责任边界、法治治理给分。,第(2)(3)问有法治治理和产业发展表达，存在必修三化风险；但评标明确要求从法律责任边界、权利义务、司法典型案例落点作答。,综合,high,paper F0201 lines 120-129; rubric F0200 rendered page_009,suite-level exhaustion recovered from 2026西城二模,RECOVER_2026_西城_二模_18_3,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
RECOVER_2026_门头沟_一模_18_1,2026,门头沟,一模,F0175/F0381,page 7 / lines 273-290,18,1,"某地环境污染民事公益诉讼案中，赤泥库长期扬尘污染、地质灾害风险严重危及生态环境和公共安全。环境公益社会组织对涉案企业提起环境民事公益诉讼。审理中法院对首份和解协议进行审查，认为未约定封场措施不足以保护公共利益而不予确认；经技术论证和协商，双方达成调解协议，法院出具民事调解书确认。结案后法院持续跟踪修复，民事调解书内容全部履行。
结合材料，运用《法律与生活》的知识，说明本案是如何消除损害风险，维护生态环境公共利益的。（8分）",某地环境污染民事公益诉讼案中，赤泥库长期扬尘污染、地质灾害风险严重危及生态环境和公共安全。环境公益社会组织对涉案企业提起环境民事公益诉讼。审理中法院对首份和解协议进行审查，认为未约定封场措施不足以保护公共利益而不予确认；经技术论证和协商，双方达成调解协议，法院出具民事调解书确认。结案后法院持续跟踪修复，民事调解书内容全部履行。,结合材料，运用《法律与生活》的知识，说明本案是如何消除损害风险，维护生态环境公共利益的。（8分）,F0382,lines 30-36,示例从诉讼主体、纠纷解决方式、法律效力三个角度作答。,F0382,lines 87-96,评标从三个角度给分：提起诉讼的主体看，公益社会组织自觉承担社会责任并提起环境民事公益诉讼，主体合法性2分、公益/社会责任/公众利益2分；从纠纷解决方式看，和解、调解、诉讼多元纠纷解决，指出多元性1分，和解/调解/诉讼各1分；从法律效力看，经人民法院确认有效的和解和调解协议具有强制执行力，司法确认、强制执行力关键词各2分；如不结合材料只给1分。,evaluation_standard,formal,设问明示《法律与生活》，材料为环境民事公益诉讼、和解/司法调解/诉讼、民事调解书效力，评标逐项给分。,可能被写成生态文明或政治法治价值；但细则核心是诉讼主体、纠纷解决途径和司法确认强制执行力。,选必二,high,paper F0381 lines 273-290; rubric F0382 lines 30-36 and 87-96,suite-level exhaustion recovered,RECOVER_2026_门头沟_一模_18_1,,,suite_exhaustion_recovered,Recovered during suite-level exhaustion after the 56-row package was found not suite-exhaustive.
