suite_id,question,book_module,question_type,evidence_source,status,artifact_location,decision_reason,next_action
2024海淀一模,18(1),选必一《当代国际政治与经济》,main,2024海淀一模细则.docx,included,选必一材料-触发-答题点总框架.md#6-便利中外人员往来,"细则明确给出贸易投资便利化、全球资源要素、两种资源两个市场、高水平对外开放",none
2024丰台一模,20,选必一《当代国际政治与经济》,main,2024丰台一模细则.docx,included,选必一材料-触发-答题点总框架.md#7-供应链成为国际合作的共赢链,"细则明确供应链国际合作、要素流动、资源配置、贸易投资自由化便利化、经济全球化活力",none
2026门头沟一模,20,选必一《当代国际政治与经济》,main,2026门头沟一模细则.docx,included,选必一材料-触发-答题点总框架.md#8-海南自贸港封关制度型开放,"混合经济题已按用户补丁只取国际经济链条",none
2025丰台一模,20,选必一《当代国际政治与经济》,main,2025丰台一模细则.docx,included,选必一材料-触发-答题点总框架.md#9-外商投资条例全球服务伙伴计划数据出境负面清单通关模式创新,"细则明确便利贸易投资、外商投资、服务贸易、开放型经济；剔除纯必修二表述",none
2024朝阳期中,20(3),选必一《当代国际政治与经济》,main,2024.11期中政治朝阳评标docx.docx,included,选必一材料-触发-答题点总框架.md#10-数字贸易博览会数字平台全球数字贸易,"评标明确经济全球化、开放型经济、全球投资贸易自由化便利化、两个资源两个市场",none
2026东城一模,19(3),选必一《当代国际政治与经济》,main,2026东城一模细则/19(3).pptx,included,选必一材料-触发-答题点总框架.md#11-未来产业国际科创合作产业链韧性,"细则明确高水平对外开放与产业链韧性的关系",none
2025海淀二模,相关题,选必一《当代国际政治与经济》,main,2025海淀二模细则.docx,included,选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源,"只提取扩大国际市场、高水平对外开放等选必一部分",none
2025西城一模,相关题,选必一《当代国际政治与经济》,main,2025西城一模细则.docx,included,选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源,"只提取内外联通、贸易便利化、两种资源两个市场、互利共赢",none
2025丰台二模,20,选必一《当代国际政治与经济》,main,2025丰台二模评标细则/20题.docx,included,选必一材料-触发-答题点总框架.md#13-完善全球治理注入中国力量,"评标明确全球治理、中国身份、国际组织、联合国、人类命运共同体四角度",none
2026通州期末,20相关,选必一《当代国际政治与经济》,main,2026通州期末细则.pptx,included,选必一材料-触发-答题点总框架.md#14-四大全球倡议全球治理倡议,"细则/讲评明确全球治理倡议、联合国宪章、多边主义、公共产品",none
2024朝阳二模,20,选必一《当代国际政治与经济》,main,2024朝阳二模细则.pdf,included,选必一材料-触发-答题点总框架.md#15-气候治理生态治理全球性风险,"细则明确气候治理、平等开放合作共享、全球治理、人类命运共同体",none
2025东城二模,20,选必一《当代国际政治与经济》,main,2025东城二模细则.pdf,included,选必一材料-触发-答题点总框架.md#16-同球共济共同应对全球问题,"细则明确国际局势、共同利益、人类命运共同体、中国智慧中国方案",none
2026顺义一模,20,选必一《当代国际政治与经济》,main,2026顺义一模细则.pptx,included,选必一材料-触发-答题点总框架.md#17-中非合作全球南方南南合作,"细则明确共同利益、南南合作、国际政治3分、国际经济3分",none
2025丰台期末,相关题,选必一《当代国际政治与经济》,main,2025丰台期末细则.pptx,included,选必一材料-触发-答题点总框架.md#17-中非合作全球南方南南合作,"细则明确和平与发展、共同利益、平等互利、共商共建共享、新型国际关系",none
2025东城期末,相关讲评,选必一《当代国际政治与经济》,main,2025东城讲评 修改.pdf,included,选必一材料-触发-答题点总框架.md#18-反单边主义贸易保护主义逆全球化,"讲评提供贸易保护主义、逆全球化、贸易自由便利等评分方向",none
2025石景山一模,17(2),选必一《当代国际政治与经济》,main,2025石景山一模细则.doc,included,选必一材料-触发-答题点总框架.md#19-北京宣言中国之治与世界共享,"旧doc转换成功；细则明确共商共建共享、国际关系民主化、普惠包容经济全球化、真正多边主义、联合国核心体系",none
2026石景山一模,20,选必一《当代国际政治与经济》,main,2026石景山一模细则.doc,included,选必一材料-触发-答题点总框架.md#20-亚太合作共同开放包容,"旧doc转换成功；细则明确共同利益、开放型区域经济、多边主义、破除贸易壁垒、经济全球化包容发展",none
2026朝阳一模,20,选必一《当代国际政治与经济》,main,2026朝阳一模细则.docx,included,选必一材料-触发-答题点总框架.md#21-中国为全球发展注入稳定性和正能量,"细则明确产业链供应链稳定、中国经验、大国责任、两个市场两种资源、高水平对外开放、贸易投资自由化便利化",none
2024海淀期中,相关外交题,选必一《当代国际政治与经济》,main,2024海淀期中细则.pdf,included,选必一材料-触发-答题点总框架.md#23-中国外交的变与不变,"细则明确新中国外交阶段、和平与发展、联合国体系、国家安全和主权独立",none
2025海淀二模,联合国相关题,选必一《当代国际政治与经济》,main,2025海淀二模细则.docx,included,选必一材料-触发-答题点总框架.md#24-中国需要联合国联合国需要中国,"细则明确联合国地位、多边主义最佳场所、中国开展多边合作平台、中国维护联合国体系",none
all,choice questions,选必一《当代国际政治与经济》,choice,objective answer keys,pending,,本轮优先主观题触发链；未展开选择题错肢库,next run process choice questions
ocr-needed,unread rubrics and papers,选必一《当代国际政治与经济》,mixed,21 files in SOURCE_LEDGER.csv,ocr-needed,,无文本层PDF或1个旧doc未完成OCR/转换,run OCR or protected-file conversion before claiming exhaustive completion
