scope_class,stage_dir,raw_suite,normalized_suite,stage_bucket,raw_path,source_file_count,global_audit_status,matrix_rows_by_normalized_suite,gpt_suite_bundle_present,reconciliation_status,note
exam_suite,2024各区一模,2024东城一模,2024东城一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模,3,covered_by_current_audit_or_matrix,10,True,present_in_global_audit,
exam_suite,2024各区一模,2024丰台一模,2024丰台一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模,3,covered_by_current_audit_or_matrix,30,True,present_in_global_audit,
exam_suite,2024各区一模,2024朝阳一模,2024朝阳一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模,4,covered_by_current_audit_or_matrix,19,True,present_in_global_audit,
exam_suite,2024各区一模,2024海淀一模,2024海淀一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模,3,covered_by_current_audit_or_matrix,23,True,present_in_global_audit,
exam_suite,2024各区一模,2024石景山一模,2024石景山一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模,2,covered_by_current_audit_or_matrix,23,True,present_in_global_audit,
exam_suite,2024各区一模,2024西城一模,2024西城一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模,5,covered_by_current_audit_or_matrix,18,True,present_in_global_audit,
exam_suite,2024各区二模,2024东城二模,2024东城二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模,13,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2024各区二模,2024丰台二模,2024丰台二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模,2,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2024各区二模,2024朝阳二模,2024朝阳二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模,3,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2024各区二模,2024海淀二模,2024海淀二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模,4,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
exam_suite,2024各区二模,2024西城二模,2024西城二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模,6,covered_by_current_audit_or_matrix,1,True,present_in_global_audit,
