paragraph,module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,card_path,材料触发点,设问,为什么能想到,答案落点,同题组,prompt_check,answer_check,think_check,samegroup_check,qa_flags
104,时代背景,机遇,和平与发展仍是时代主题,5,2024西城二模Q19,中国答案的国际关系新思路,2024_西城_二模_Q19,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q19.md,题面把恃强凌弱、零和博弈、结盟对抗作为旧国际关系的问题，需要把中国答案放回当今世界主题之下，说明它顺应而非违背和平与发展的时代潮流。,结合材料，阐述中国答案所体现的处理国际关系的新思路。,"题面把恃强凌弱、零和博弈、结盟对抗集中呈现为""旧""国际关系问题；这些""旧""问题与时代主题的方向相反，""新思路""必须放回时代潮流之中才能立住。设问需要说明中国答案的""新思路""，重在新旧对照；先要交代时代潮流仍是和平合作而非对抗，再展开中国答案的具体内容。先用和平与发展仍是时代主题立判，强调中国答案顺应时代而非违逆；再把题干中恃强凌弱、零和博弈、结盟对抗接为旧逻辑，最后承接中国答案的合作共赢内容。",人类命运共同体理念顺应时代潮流，也可从和平与发展的时代主题角度展开，倡导全球协作，推动国际秩序朝着更加公正合理的方向发展。,,EXACT,PARTIAL,PRESENT,ITEM_NOT_CORE,SAMEGROUP_ITEM_NOT_CORE
130,时代背景,机遇,和平与发展仍是时代主题,8,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目指向分析中国特色大国外交更有作为的必要性，材料呈现“构建周边命运共同体—妥善管控矛盾分歧—让人民远离冲突和战争—共建安宁家园—培育战略互信”的关系链，要求从时代主题和中国外交的共同体目标说明主动作为的理由。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,"材料呈现""构建周边命运共同体—妥善管控矛盾分歧—让人民远离冲突和战争—共建安宁家园—培育战略互信""的关系链，从命运共同体目标到战略互信落点形成完整逻辑链。题目让学生分析中国特色大国外交""为什么要""更有作为，要解释主动作为的时代理由和外交目标，不是描述外交动作本身。先把答案接到和平与发展仍是时代主题、中国外交服务于命运共同体目标，再点出周边命运共同体建设需要主动管控分歧，最后承接更有作为是顺应世界发展大势的必然选择。",和平与发展是当今时代的主题，中国携手周边国家共建和平家园、安宁家园，妥善管控矛盾分歧，扩大共同利益，有利于推动周边命运共同体建设和全球治理更加公正合理。,（本题8分）,EXACT,NO_MATCH,PRESENT,ITEM_NOT_CORE,SAMEGROUP_ITEM_NOT_CORE
140,时代背景,机遇,和平与发展仍是时代主题,10,2025朝阳期末Q21,,2025_朝阳_期末_Q21,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_朝阳_期末_Q21.md,题面把世界动荡冲突、单边霸凌、脱钩断链和意识形态分歧作为外部风险，问中国特色大国外交如何营造外部环境；总体外部环境的根本前提是把答案先放回和平与发展的时代主题，再把促进世界和平与发展和维护和平稳定的国际环境作为方向。,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。,"题面把世界动荡冲突、单边霸凌、脱钩断链、意识形态分歧四类外部风险并列摆出；这些风险共同指向""营造外部环境""这件事不能只靠技术性应对，必须回到时代主题给方向。设问问""如何""为中国式现代化营造良好外部环境，重在指明方向；必须先用时代主题给出大势判断，再把外交动作接为方向上的回应。先说明和平与发展仍是时代主题、中国外交以促进世界和平与发展为目标，再点出维护和平稳定的国际环境，最后接四类外部风险的应对动作。",中国开展中国特色大国外交，促进世界和平与发展，维护和平稳定的国际环境，回应单边霸凌、脱钩断链和意识形态分歧等外部风险，为推进中国式现代化营造稳定的外部条件。,,EXACT,NO_MATCH,PRESENT,ITEM_NOT_CORE,BAD_SEQUENCE_EXPECT_9;SAMEGROUP_ITEM_NOT_CORE
151,时代背景,机遇,和平与发展仍是时代主题,11,2026顺义一模Q20,,2026_顺义_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q20.md,"设问问南南合作""典范""的深层逻辑。要回答""为什么是典范""，必须把科技小院与发展中国家共享农业技术、降低成本、培养人才接回经济全球化方向的""普惠、平衡、共赢""——这是材料里明确列入国际经济层的答题核心。",结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。,,和平与发展是当今时代主题，科技小院顺应世界大势，以农业合作助力发展中国家共同发展，成为南南合作典范。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
160,时代背景,机遇,和平与发展仍是时代主题,12,2026石景山二模Q18,,2026_石景山_二模_Q18,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_二模_Q18.md,中国与东盟市场、资源、产业和贸易投资互补，合作升级建立在双方共同利益基础上。,结合材料，运用《当代国际政治与经济》知识，分析中国与东盟经贸合作能够提质升级的原因。,,中国与东盟经贸合作提质升级，顺应经济全球化趋势、符合和平与发展的时代主题，推动区域共同发展。,,EXACT,PARTIAL,EMPTY,OK,MISSING_WHY
168,时代背景,机遇,和平与发展仍是时代主题,13,2026延庆一模Q19(2),"——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026_延庆_一模_Q19_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_延庆_一模_Q19_2.md,题面写中国与共建国家围绕绿色能源开发、技术合作、绿色基建联动，构成绿色发展上的共同需求；设问问理论逻辑，必须先给出合作成立的理论解释。,结合材料二，运用《当代国际政治与经济》知识，说明中国“推动重塑全球能源治理格局”的理论逻辑和价值意蕴。,,"中国顺应和平、发展、合作、共赢的历史潮流，以""一带一路""为平台推动全球能源治理，符合国际交往与合作的基本逻辑。",,PARTIAL,PARTIAL,EMPTY,OK,MISSING_WHY
177,时代背景,机遇,和平与发展仍是时代主题,14,2026朝阳一模Q20,,2026_朝阳_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_一模_Q20.md,"设问问""为什么能""，要回答中国向世界释放正能量的能力来源。材料给出中国科技创新、自主研发芯片、新能源汽车产量等事实——触发的是国际竞争实质论与中国创新驱动战略对综合国力的支撑，而不是把""全球产业链供应链稳定""当作要积累的核心答题点。",结合材料，运用《当代国际政治与经济》知识，阐述中国为什么能为全球发展注入稳定性和正能量。,,中国坚定不移扩大高水平对外开放、推动贸易投资自由化便利化，顺应了和平与发展这一时代主题，为全球发展注入稳定性。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
186,时代背景,机遇,和平与发展仍是时代主题,15,2025东城二模Q20,,2025_东城_二模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_二模_Q20.md,题面开头集中呈现全球经济复苏乏力、贸易保护主义、地区冲突、阵营对抗、脱钩断链、恐怖主义和气候变化等挑战，小论文首层必须先交代“同球共济”提出的时代背景。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。,,当前国际局势变乱交织，而和平与发展仍是时代主题，需各国携手应对挑战、共谋发展。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
195,时代背景,机遇,和平与发展仍是时代主题,16,2026石景山一模Q20,,2026_石景山_一模_Q20,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_一模_Q20.md,"题面""五个共同""列出共同维护多边贸易体制、共同推进贸易投资自由化便利化、共同建设产业链供应链、共同推动数字绿色贸易合作、共同促进区域繁荣等内容，问中国倡议如何助推亚太合作；亚太各国能在这些方向上联动合作，前提是它们具有相互交织的共同利益。",运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。,,中国倡议顺应和平、发展、合作、共赢的潮流，致力于亚太和平合作与共同发展。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
204,时代背景,机遇,和平与发展仍是时代主题,17,2026海淀二模Q20(2),,2026_海淀_二模_Q20_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_二模_Q20_2.md,全球发展倡议本身就是题目主题，材料要求把中国倡议与国际发展合作实践连接起来。,结合材料，运用《当代国际政治与经济》知识，围绕全球发展倡议从合作理念到丰富实践这一主题，撰写一篇短评。,,和平与发展仍是当今时代主题，面对全球发展新挑战，同球共济、团结合作才是正确选择，全球发展倡议顺应了这一潮流。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
212,时代背景,机遇,和平与发展仍是时代主题,18,2025房山一模Q18(2),,2025_房山_一模_Q18_2,RAW_CARD_READY,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_房山_一模_Q18_2.md,开源战略题要求阐释技术革新如何成为全球合作新模式，DeepSeek开源让全球开发者自由使用和改进，部分国家企业低成本开发本地化AI模型，说明科技开放可以推动开放型世界经济和经济全球化发展。,“中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。,,顺应和平与发展的国际潮流，中国以开源战略加强国际交流合作，积极参与全球治理，推动全球合作新模式。,,EXACT,NO_MATCH,EMPTY,OK,MISSING_WHY
