"source_id","source_file","source_kind","used_for","boundary_note"
"S01","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\c22ac0d594c5a7bb_2024届各区一模试题分类汇编选必2.txt","试题汇编+参考答案","2024一模法律与生活主干案例","含题干和参考答案，可作答题链依据；不是逐题评分细则"
"S02","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b692254ceb1b8174_2024海淀一模细则.txt","评分细则","2024海淀一模19虚拟数字人Ada","用于细化著作权、不正当竞争、虚假宣传给分层次"
"S03","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\f2e1772f20ed2085_2024西城二模细则.txt","评分细则","2024西城二模16黄芪薏米饼干","可直接用于消费者权益、食品安全、惩罚性赔偿、理性维权给分边界"
"S04","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\0dbd7271f7bf108d_高三模拟测试思想政治试卷.txt","正式试题","2024西城二模16题干互证","与S03配套使用，不单独作为答案依据"
"S05","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b2073bcc9e26f62_2024东城一模细则.txt","评分细则","2024东城一模19诉讼时效与赡养","用于诉讼时效、赡养请求权不适用时效的给分边界"
"S06","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\4b22b6c78aaddb3e_2025海淀期末细则.txt","评分细则","2025海淀期末19土地权属与三权分置","可直接用于物权客体识别和权属边界"
"S07","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.txt","教师版答案","2025海淀期末19-21土地权属、产品责任、竞业限制","教师版答案只作为参考答案边界，不冒充评分细则"
"S08","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\17cdecfbd774ee79_2025房山一模细则.txt","评分细则","2025房山一模19技术秘密与惩罚性赔偿","可直接用于商业秘密三要件、不正当竞争和惩罚性赔偿边界"
"S09","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e8823e6dc1a71cac_2025北京丰台高三一模政治_教师版.txt","教师版题干","2025丰台一模19技术秘密6.4亿余元判赔","题干素材，答案细则须以其他已核细则或待核答案为准"
"S10","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\086cafc0d843cdfd_2025届二模考试讲评0510.txt","教师讲评","2025海淀二模18老字号商标抢注","讲评材料用于边界互证，不冒充正式评分细则"
"S11","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\fc56fdd304fde118_2025海淀二模细则.txt","评分细则","2025海淀二模18回避、证据、商标抢注","部分文本编码污染，但关键给分点与S10讲评互证"
"S12","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\e4d67789c91d1b92_2026东城期末细则.txt","评分细则","2026东城期末10选择题错项与18无人机案","可直接用于合同/侵权竞合、选择题错项边界"
"S13","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\3a11db4bade216d1_2026朝阳一模细则.txt","评分细则","2026朝阳一模18知识产权护航新质生产力","可直接用于知识产权措施价值题：调解、惩罚性赔偿、规制权利滥用"
"S14","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\26649804f1de31f5_2026丰台一模细则.txt","评分细则+复练参考","2026丰台一模20公共场所安全保障义务；朝阳期末复练直播手串","公共场所题为评分细则；直播手串明确标注为复练参考答案"
"S15","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\9b5ac8fd0cfe59cb_2026海淀一模细则.txt","评分细则","2026海淀一模18(3)隐私权与消费者虚假宣传","已核题号为18(3)，用于隐私权、消费者知情权、欺诈、惩罚性赔偿"
"S16","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\2e0f67df1ab78a60_2026延庆一模细则.txt","评分细则","2026延庆一模18(1)AI合成形象虚假直播营销","可直接用于人格权、消费者权益、不正当竞争的一材多点训练"
"S17","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.txt","教师版试题","2026通州期末12遗赠扶养协议选择题","选择题素材，作为家庭继承路径补点，不冒充细则"
"S18","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\manifest.csv","缓存清单","三年题源盘点","173行缓存；本轮只将可回源法律题源写入框架"
"S19","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt","教师版试题+答案","2025丰台期末19劳动合同解除","教师版答案不是评分细则，可作为劳动解除参考答案边界"
"S20","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\06c08602a2f5c20b_2025北京西城高三二模政治_教师版.txt","教师版试题","2025西城二模10网购合同与个人信息","选择题错项素材，未核答案细则"
"S21","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\texts\8d19592ca0679f21_2026顺义一模.txt","正式试题","2026顺义一模18竞业限制材料二","只核到试题事实和法条，答案/评分细则待核"
