blocker_id,year,district,exam_stage,file_path,file_id_if_known,blocker_type,effect_on_exhaustion,suggested_recovery_action
BLK_2026_朝阳_期末_试卷,2026,朝阳,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,F0213,ocr_no_text_layer,paper text 不可机读；CC 抽取脚本对该 suite 默认无证据 → 直接导致 Q18(1) 法律与生活遗漏。rendered_pages 1-8 可视读，Q15-Q22 内容可辨。,立即用 vision OCR 或人工对 F0213 的 page_005 (Q17/Q18 题面) 与 page_006-007 (Q18 设问) 生成文本，并补 paper_text 与 question_no/sub_question_no。
BLK_2026_朝阳_期末_细则,2026,朝阳,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,F0212,ocr_no_text_layer,rubric text 不可机读；rendered_pages 中 page_002 完整显示 Q18(1) 法律与生活 7分细则。,vision OCR F0212 page_002 提取细则全文。Gaokao 副本 F0393 同样 OCR_blocked 但 page_002 一致可视。
BLK_2026_朝阳_期末_试卷_副本,2026,朝阳,期末,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026朝阳期末/2026北京朝阳高三（上）期末政治.pdf,F0392,ocr_no_text_layer,与 F0213 同卷副本。,同 BLK_2026_朝阳_期末_试卷。
BLK_2026_朝阳_期末_细则_副本,2026,朝阳,期末,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026朝阳期末/2026朝阳期末细则.pdf,F0393,ocr_no_text_layer,与 F0212 同细则副本。,同 BLK_2026_朝阳_期末_细则。
BLK_2026_丰台_期末_试卷,2026,丰台,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,F0208,ocr_no_text_layer,Q18 题面无法机读；但 F0207 细则文本可读，已能定位 Q18 是 政治与法治+法律与生活 mixed。,vision OCR F0208 page_007 取 Q18 题面，确认是否能拆出仅 法律与生活 子问。
BLK_2026_丰台_期末_试卷_副本,2026,丰台,期末,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026丰台期末/2026北京丰台高三（上）期末政治.pdf,F0387,ocr_no_text_layer,同上副本。,同上。
BLK_2026_西城_期末_细则,2026,西城,期末,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/细则.pdf,F0219,ocr_no_text_layer,正式阅卷细则不可机读；目前 Q17 入核心是基于 F0221 参考答案 (reference_only)。,vision OCR F0219 与 F0400，如能拿到正式 marking_rubric，CC0353 可由 reference_only 升 formal。
BLK_2026_西城_期末_细则_副本,2026,西城,期末,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,F0400,ocr_no_text_layer,同 F0219 副本。,同上。
BLK_2026_海淀_期中_期中讲评,2026,海淀,期中,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,F0214,ocr_no_text_layer,讲评不可机读；但试卷+答案均可读，已确认 海淀期中无法律与生活主观题。,可选 vision OCR 验证讲评是否含遗漏点；优先级低。
BLK_2026_海淀_期中_讲评_副本,2026,海淀,期中,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026海淀期中/期中讲评20251106.pdf,F0395,ocr_no_text_layer,同 F0214。,同上。
