final_status,module,subsection,core_point,source_label,card_id,evidence_status,paper_found,rubric_found,prompt_check,answer_check,core_heading_note,qa_flags,card_path
PASS,时代背景,机遇,和平与发展仍是时代主题,2026通州期末Q20,2026_通州_期末_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_通州_期末_Q20.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2025海淀期中Q21(2),2025_海淀_期中_Q21_2,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_海淀_期中_Q21_2.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2024海淀二模Q18(1),2024_海淀_二模_Q18_1,RAW_CARD_READY,YES,YES,PARTIAL,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_海淀_二模_Q18_1.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2025延庆一模Q20(2),2025_延庆_一模_Q20_2,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_延庆_一模_Q20_2.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2024西城二模Q19,2024_西城_二模_Q19,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_西城_二模_Q19.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2025丰台期末Q20,2025_丰台_期末_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_丰台_期末_Q20.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026西城二模Q19(1),2026_西城_二模_Q19_1,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_西城_二模_Q19_1.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026朝阳期末Q20,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2025朝阳期末Q21,2025_朝阳_期末_Q21,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_朝阳_期末_Q21.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026顺义一模Q20,2026_顺义_一模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q20.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026石景山二模Q18,2026_石景山_二模_Q18,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_二模_Q18.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026延庆一模Q19(2),2026_延庆_一模_Q19_2,RAW_CARD_READY,YES,YES,PARTIAL,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_延庆_一模_Q19_2.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026朝阳一模Q20,2026_朝阳_一模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_一模_Q20.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2025东城二模Q20,2025_东城_二模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_二模_Q20.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026石景山一模Q20,2026_石景山_一模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_一模_Q20.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026海淀二模Q20(2),2026_海淀_二模_Q20_2,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_二模_Q20_2.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2025房山一模Q18(2),2025_房山_一模_Q18_2,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_房山_一模_Q18_2.md
PASS,时代背景,机遇,和平与发展仍是时代主题,2026顺义一模Q21,2026_顺义_一模_Q21,RAW_CARD_READY,YES,YES,PARTIAL,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_顺义_一模_Q21.md
PASS,时代背景,机遇,百年变局与外部风险挑战,2025东城二模Q20,2025_东城_二模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_二模_Q20.md
PASS,时代背景,机遇,百年变局与外部风险挑战,2024朝阳一模Q21,2024_朝阳_一模_Q21,RAW_CARD_READY,YES,YES,PARTIAL,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_一模_Q21.md
PASS,时代背景,机遇,气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一,2024朝阳二模Q20,2024_朝阳_二模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2024_朝阳_二模_Q20.md
PASS,理论,合作,国家间共同利益是国家合作的基础,2025东城一模Q20,2025_东城_一模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_东城_一模_Q20.md
PASS,理论,合作,国家间共同利益是国家合作的基础,2026石景山一模Q20,2026_石景山_一模_Q20,RAW_CARD_READY,YES,YES,EXACT,PARTIAL,CONTAINER_HEADING_NOT_LITERAL,,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_石景山_一模_Q20.md
