suite,suite_id,district,year,stage,paper_path,paper_cache,answer_path,answer_cache,rubric_path,rubric_cache,explain_path,explain_cache,evidence_level,scan_status,notes
2024朝阳一模,S-2024朝阳一模,朝阳,2024,一模,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024朝阳一模/试卷/202404朝阳高三一模试题.pdf,25b655e73b7424e7_202404朝阳高三一模试题.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024朝阳一模/其他材料/202404朝阳高三政治质量检测一参考答案_上交版.docx,f6013d54b52c02dc_202404朝阳高三政治质量检测一参考答案_上交版.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024朝阳一模/细则/2024朝阳一模细则.pptx,d64506799887753e_2024朝阳一模细则.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,d64506799887753e_202404朝阳高三政治一模试卷讲评.txt,A-formal,closed,Q19有4个子问;Q6/Q19(2)是C-boundary形式逻辑;Q19(1)动态性+类比;Q19(3)综合理解
2024朝阳二模,S-2024朝阳二模,朝阳,2024,二模,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024朝阳二模/试卷/003202405朝阳高三二模政治试题.pdf,9223488a4b5e6f80_003202405朝阳高三二模政治试题.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024朝阳二模/其他材料/004202405朝阳高三政治质量检测二参考答案_以PDF为准.docx,f7c4cc4ac52ecefd_004202405朝阳高三政治质量检测二参考答案_以PDF为准.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024朝阳二模/细则/2024朝阳二模细则.pdf,84218459671af8ac_2024朝阳二模细则.txt,,,A-formal,partial,Q7三段论小项不当扩大硬样本;Q19全部为非选必三主链(经济/哲学/中华文化);需回卷面验证Q7细则给分
2024朝阳期中,S-2024朝阳期中,朝阳,2024,期中,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区期中/2024朝阳期中/试卷/202411朝阳高三政治_期中1试题.pdf,0a50f76fd1e1c50f_202411朝阳高三政治_期中1试题.txt,,,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区期中/2024朝阳期中/细则/2024朝阳期中细则.rtf,25b6e8c2207d9d9e_2024朝阳期中细则.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区期中/2024朝阳期中/其他材料/2024.11期中政治朝阳评标docx.docx,0f8ea3bbe2629d2f_2024.11期中政治朝阳评标docx.txt,A-support,partial,RTF细则未按题号拆开;Q19创新思维多角度待回源核读;Q9是思维抽象/类比/演绎选择题
2024海淀二模,S-2024海淀二模,海淀,2024,二模,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024海淀二模/试卷/高三政治_二模试题_海.pdf,5355283f436e3229_高三政治_二模试题_海_1.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024海淀二模/其他材料/高三二模_政治答案.docx,8f109fb09efc0c6a_高三二模_政治答案_2.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区二模/2024海淀二模/细则/2024海淀二模细则.docx,227192d22e10241b_2024海淀二模细则.txt,,,A-formal,closed,Q17(1)科学思维硬样本(SCIENCE_ONLY设问/三角度池);Q17(2)思维抽象与思维具体硬样本
2024西城一模,S-2024西城一模,西城,2024,一模,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024西城一模/试卷/2024.4高三统一测试思想政治试卷.docx,2aa2ee045f75ecd8_2024.4高三统一测试思想政治试卷.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024西城一模/其他材料/2024.4高三统一测试思想政治答案.docx,91e28443e7a1bb0e_2024.4高三统一测试思想政治答案.txt,C:/Users/Administrator/Desktop/2024各区模拟题/2024各区一模/2024西城一模/细则/2024西城一模细则.docx,f7bcf000f212cc69_2024西城一模细则.txt,,,A-formal,not_in_control_base,本套卷不在 GitHub 528 行 control base；本机有完整证据链；可作扩展题源
2025东城期末,S-2025东城期末,东城,2025,期末,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025东城期末/试卷/2025北京东城高三_上_期末政治_教师版.pdf,8eda36bd87dba194_2025北京东城高三_上_期末政治_教师版.txt,,,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025东城期末/细则/2025东城期末细则.pptx,26b1173765262a2f_2025东城期末细则.txt,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025东城期末/其他材料/2025_1东城讲评_修改.pdf,5b78436dd863858b_2025_1东城讲评_修改.txt,A-formal,closed,Q16登月服创新思维多角度硬样本(三新+发散聚合+联想+超前);Q5辩证思维选择题;Q1Q2创新思维/辩证思维选择题;Q18/Q20非选必三主链
2025丰台期末,S-2025丰台期末,丰台,2025,期末,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025丰台期末/试卷/2025北京丰台高三_上_期末政治_教师版.pdf,89765092a6f26242_2025北京丰台高三_上_期末政治_教师版.txt,,,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025丰台期末/细则/2025丰台期末细则.pptx,360d57a4b250de81_2025丰台期末细则.txt,,,A-support,partial,Q16辩证思维多维'界'硬样本(分档赋分);Q7超前思维边界陷阱(硬规则§十八锁定);Q8发散思维选择题;Q10思维抽象/类比/演绎选择题
2025海淀二模,S-2025海淀二模,海淀,2025,二模,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区二模/2025海淀二模/试卷/2025北京海淀高三二模政治.pdf,(无cached_text;PDF为图片扫描型),,,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区二模/2025海淀二模/细则/2025海淀二模细则.docx,fc56fdd304fde118_2025海淀二模细则.txt,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区二模/2025海淀二模/其他材料/2025年海淀二模评标实录.docx,10b5fafe88245264_2025年海淀二模评标实录.txt,A-formal,closed,Q20辩证思维多角度硬样本(整体性/动态性/辩证否定;矛盾分析法补充2分);Q16(辩证思维表态题)在评标实录中
2025海淀期末,S-2025海淀期末,海淀,2025,期末,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025海淀期末/试卷/2025北京海淀高三_上_期末政治_教师版.docx,b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.txt,,,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区期末/2025海淀期末/细则/2025海淀期末细则.pptx,4b22b6c78aaddb3e_2025海淀期末细则.txt,,,A-support,partial,Q17/Q18/Q22涉及科学思维/创新思维/质量互变;细则.pptx 未按题号拆开核读
2025西城二模,S-2025西城二模,西城,2025,二模,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区二模/2025西城二模/试卷/2025北京西城高三二模政治_教师版.pdf,06c08602a2f5c20b_2025北京西城高三二模政治_教师版.txt,,,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区二模/2025西城二模/细则/2025西城二模细则.docx,cfb0f19ef38aafd7_2025西城二模细则.txt,,,A-support,partial,Q16(2)充分条件假言推理C-boundary(硬规则§十八锁定);Q16(1)Q16(3)是创新思维或选必三主链待回源核读
2025顺义一模,S-2025顺义一模,顺义,2025,一模,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区一模/2025顺义一模/试卷/2025北京顺义高三一模政治_教师版.pdf,9dd43cae443f853c_2025北京顺义高三一模政治_教师版.txt,,,C:/Users/Administrator/Desktop/2025各区模拟题/2025各区一模/2025顺义一模/细则/2025顺义一模细则.docx,bef8332e23ce30ac_2025顺义一模细则.txt,,,A-support,partial,Q16辩证否定;Q3Q7是逆向思维/三段论选择题(硬规则§十九锁定:Q7=三段论大项不当扩大);Q19可能涉及形式逻辑
2026东城一模,S-2026东城一模,东城,2026,一模,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026东城一模/试卷/2026北京东城高三一模政治_教师版.pdf,0dafc181e82eb031_2026北京东城高三一模政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026东城一模/细则/2026东城一模细则/(per-question pptx),(per-question cached: 2f596046ed6d0ce5_16._1.txt; e3e9942211ec52f9_16._2.txt; 47c34e3af056b334_17_1.txt; 72fd64a3dddd2c89_17-2.txt; 5a07157a05d12bcf_18_选择7_13.txt; 88c00449e9f02504_19_1.txt; 5c18cbecb82d97a6_19_2.txt; aa63045ae3760258_19_3.txt; 04de6654b5f86701_19_4.txt; 16fa597a98fe48b9_20.txt),,,A-formal,partial,Q19(1-4)创新+辩证+系统综合复合题;细则按子问拆分pptx;待按子问汇总
2026东城期末,S-2026东城期末,东城,2026,期末,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026东城期末/试卷/2026北京东城高三_上_期末政治_教师版.pdf,15664381470d8300_2026北京东城高三_上_期末政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026东城期末/细则/2026东城期末细则.pptx,e4d67789c91d1b92_2026东城期末细则.txt,,,A-formal,closed,Q17(2)形式逻辑三主张诊断硬样本(矛盾律+充分vs必要+三段论中项不周延);Q21综合题思维方法角度2分;Q6三段论保真大前提选择题(C-boundary)
2026丰台一模,S-2026丰台一模,丰台,2026,一模,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026丰台一模/试卷/丰台一模.pdf,(本机仅有4800d0b858f0ede6_丰台高三一模政治试卷终版.txt是2024年)，需独立扫描2026丰台一模PDF,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026丰台一模/细则/2026丰台一模细则.pptx,26649804f1de31f5_2026丰台一模细则.txt,,,A-support,partial,Q18(2)必要条件假言推理+三段论大项不当扩大(硬规则§十八锁定);题面待回源
2026朝阳期中,S-2026朝阳期中,朝阳,2026,期中,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026朝阳期中/试卷/2025北京朝阳高三_上_期中政治_教师版.pdf,5a53b5c6863d7f95_2025北京朝阳高三_上_期中政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026朝阳期中/细则/2026朝阳期中细则.docx,885e694cf464c22b_2026朝阳期中细则.txt,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026朝阳期中/其他材料/2025.11朝阳期中政治评标.docx,885e694cf464c22b_2025.11朝阳期中政治评标.txt,A-formal,closed,Q20辩证思维多角度硬样本;Q21(2)创新思维多角度硬样本(超前/联想/逆向/三新/发散聚合);Q13选择题(思维抽象/类比/联想)
2026通州期末,S-2026通州期末,通州,2026,期末,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026通州期末/试卷/2026北京通州高三_上_期末政治_教师版.pdf,7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026通州期末/细则/2026通州期末细则.pptx,44537714bd68a7c1_2026通州期末细则.txt,,,A-formal,closed,Q11思维抽象与思维具体硬样本(永久);Q9创新思维选择题边界陷阱;Q5系统观念+辩证思维联动正例;Q8整体性辅助;Q19(2)充分vs必要条件假言推理(C-boundary)
2026顺义一模,S-2026顺义一模,顺义,2026,一模,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026顺义一模/试卷/2026顺义一模.pdf,8d19592ca0679f21_2026顺义一模.txt(仅答案表),,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026顺义一模/细则/2026顺义一模细则.pptx,de758e5e79500dd0_2026顺义一模细则.txt,,,A-formal,closed,Q19(2)科学思维三性硬样本(客观性预见性可检验性);Q19(1)三段论形式逻辑(C-boundary);Q19(3)国政经题(其他模块);Q21势的多角度
2026海淀期末,S-2026海淀期末,海淀,2026,期末,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026海淀期末/试卷/2026北京海淀高三_上_期末政治_教师版.pdf,ac3124113aec7062_2026北京海淀高三_上_期末政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026海淀期末/细则/2026海淀期末细则.pdf,7832041a93d37e1f_2026海淀期末细则.txt,,,A-formal,not_in_control_base,本套卷不在 GitHub 528 行 control base；细则齐全；扩展题源候选
2026西城期末,S-2026西城期末,西城,2026,期末,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026西城期末/试卷/2026北京西城高三_上_期末政治_教师版.pdf,efbc5507a38dbd4f_2026北京西城高三_上_期末政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026西城期末/细则/2026西城期末细则.pdf,(未找到独立 cached_text;9aecfff2e370dc98_西城高三期末评标.txt是pptx评标),,,A-formal,not_in_control_base,本套卷不在 control base；细则pdf存在但cached可能与pptx评标重叠；扩展题源候选
2026朝阳期末,S-2026朝阳期末,朝阳,2026,期末,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026朝阳期末/试卷/2026北京朝阳高三_上_期末政治.pdf,(无cached_text - 需检查),,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026朝阳期末/细则/2026朝阳期末细则.pdf,(无cached_text - 需检查),,,unknown,not_in_control_base,本套卷不在 control base；扩展题源候选；试卷与细则的cached是否存在需进一步扫描
2026丰台期末,S-2026丰台期末,丰台,2026,期末,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026丰台期末/试卷/2026北京丰台高三_上_期末政治.pdf,(待扫描),,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026丰台期末/细则/2026丰台期末细则.pdf,dbc93cbfd3a93eff_2026丰台期末细则.txt,,,A-formal,not_in_control_base,本套卷不在 control base；细则cached存在；扩展题源候选
2026海淀期中,S-2026海淀期中,海淀,2026,期中,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026海淀期中/试卷/2025北京海淀高三_上_期中政治_教师版.docx,11cac42f979196cd_2025北京海淀高三_上_期中政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026海淀期中/细则/2026海淀期中细则.pdf,(待扫描),,,A-formal,not_in_control_base,本套卷不在 control base；扩展题源候选
2026石景山期末,S-2026石景山期末,石景山,2026,期末,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区期末和期中/2026石景山期末/试卷/2026北京石景山高三_上_期末政治.pdf,22c2a9a9dc00eb28_2026北京石景山高三_上_期末政治.txt,,,(用户确认无可用评分细则),,,,excluded,closed,硬规则§§§: 2026石景山期末整模块排除；不进入主链或选择题陷阱库
2026石景山一模,S-2026石景山一模,石景山,2026,一模,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026石景山一模/试卷/2026北京石景山高三一模政治_教师版.pdf,0d4a5cd29c2e6961_2026北京石景山高三一模政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026石景山一模/细则/2026石景山一模细则.doc,78d97b669465d8a5_2026石景山一模细则.txt,,,A-support,not_in_control_base,本套卷不在 control base；扩展题源候选
2026延庆一模,S-2026延庆一模,延庆,2026,一模,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026延庆一模/试卷/2026北京延庆高三一模政治_教师版.pdf,cc91930411716013_2026北京延庆高三一模政治_教师版.txt,,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026延庆一模/细则/2026延庆一模细则.docx,2e0f67df1ab78a60_2026延庆一模细则.txt,,,A-formal,not_in_control_base,扩展题源候选
2026房山一模,S-2026房山一模,房山,2026,一模,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026房山一模/试卷/2026北京房山高三一模政治.pdf,(待扫描),,,C:/Users/Administrator/Desktop/2026各区模拟题/2026各区一模/2026房山一模/细则/2026房山一模细则.docx,0ca482adfc64b0d7_2026房山一模细则.txt,,,A-formal,not_in_control_base,扩展题源候选
