queue_id,heading,node,evidence_note,new_why_chars,new_answer_chars,new_why,new_answer
T0377,1. 2025海淀一模 第16题（主观题）,认识发展原理,矩阵 M0178/M0210/M0443：2025海淀一模 Q16 正式评分标准角度提示列明可从“实践与认识的关系”等角度作答；本条为该角度下的认识反复性、无限性链条，属于正式角度支撑而非逐点细则。,168,190,MBTI 题的关键不是背诵“认识论”，而是看见材料在反对把性格测试结果当作固定标签。人的性格表现会随实践经历、社会关系、自我反思和具体情境变化，测试只能提供某一阶段、某一侧面的认识。正式评分标准允许从实践与认识关系角度作答，因此本条应写成认识发展的链条：实践不断提出新事实，原有认识会被检验、修正和深化，不能用一次测试把动态的人固定化。,①认识具有反复性、无限性和上升性，对人的性格和自我理解也要在实践中不断深化。MBTI 等测试可以帮助人们初步观察某些倾向，但它只是一定条件下形成的阶段性认识，不是对人的全部规定。②现实交往、学习工作和自我反思会不断提供新经验，促使我们修正对自己和他人的判断。③因此，正确态度是把测试结果作为认识起点和交流参考，在持续实践中丰富、检验和完善自我认识，反对把人简单固化为静态字母标签。
T0033,11. 2025朝阳二模 第22题（主观题）,主观能动性 / 意识的能动作用,缓存文本 73c36c3077dced72_2025朝阳二模细则.txt 第297-352行：Q22 评分细则列明顶层设计体现意识能动作用，能够为实践探索提供科学理论指导，使实践活动更具目的性、计划性、自觉性。,170,199,朝阳二模 Q22 的材料把“顶层设计”与“实践探索”并列设问，细则明确把顶层设计落到意识的能动作用和科学理论指导。顶层设计不是空泛口号，而是对中国式现代化方向、目标、路径和制度安排的自觉谋划；它以正确认识和科学理论引导实践，使不同地区、不同领域的探索不至于盲目分散。因此本条要把“意识能动作用”写到目的性、计划性、自觉性和科学推进现代化上。,①意识具有能动作用，正确意识、科学理论能够指导人们有效开展实践。推进中国式现代化需要顶层设计，就是要在深刻把握国情、时代趋势和现代化规律的基础上，形成方向、目标、步骤和政策体系。②这样的顶层设计能够为实践探索提供方向和指引，使各地区各部门的行动更具目的性、计划性和自觉性，避免零散推进、重复试错和方向偏移。③同时，顶层设计还要在实践中接受检验并不断完善，才能把科学谋划转化为中国式现代化的现实成果。
T0423,11. 2025朝阳二模 第22题（主观题）,人民群众,缓存文本 73c36c3077dced72_2025朝阳二模细则.txt 第321-352行：Q22 评分细则写明顶层设计要把握人民群众共同愿望，实践探索要发挥人民群众主体作用，将顶层设计转化为各领域实际成果。,156,218,这条不能只写“以人民为中心”的口号。细则把“人民群众共同愿望”和“人民群众实践探索主体作用”放进同一得分链，说明顶层设计和实践探索的统一最终要落到人民主体上：顶层设计要回应人民愿望，实践探索要依靠人民创造，现代化成果也要由人民共享。材料要求谈理解，因此要把人民群众既作为目标来源、实践主体，又作为成果归属写完整。,①人民群众是社会历史的主体，是社会物质财富和精神财富的创造者，也是推动社会变革的决定力量。推进中国式现代化，顶层设计必须深刻把握人民群众的共同愿望，把人民对美好生活的需要转化为规划目标和政策安排。②实践探索更要依靠人民群众，各地区各行业人民在具体实践中发现问题、创造经验、贡献智慧和力量。③只有坚持人民主体地位，才能把顶层设计转化为教育、医疗、产业、治理等领域可感可及的现代化成果，使中国式现代化真正为了人民、依靠人民、成果由人民共享。
T0173,12. 2024东城一模 第18题第（3）问（主观题）,发展的观点 / 发展的普遍性,缓存文本 4b2073bcc9e26f62_2024东城一模细则.txt 第127-134行：2024东城一模 Q18(3) 阅卷/试题分析PPT列出传统产业与未来产业密不可分、相互促进，并给出辩证统一、对立统一、矛盾分析法等变通支撑；证据等级为评分分析PPT支撑。,186,229,东城一模 Q18(3) 的材料不是让学生把传统产业和未来产业割裂成“旧”和“新”。试题分析明确强调二者密不可分、相互促进，传统产业为未来产业提供基础和市场，未来产业又赋能传统产业升级。从发展的观点看，产业不是静态存量，而是在技术创新、结构优化和新质生产力培育中不断更新。因而本条应写出传统产业在改造提升中发展、未来产业在布局培育中成长，二者共同推动产业体系向更高形态发展。,①发展具有普遍性，事物都处在变化发展之中，产业形态也不是一成不变的。传统产业并不等于落后产业，它可以通过数字化、智能化、绿色化改造获得新的发展空间；未来产业也不是脱离现实基础凭空产生，而是在现有制造能力、市场需求和技术积累上孕育成长。②未来产业能够以新技术、新模式赋能传统产业转型升级，传统产业又为未来产业提供原材料、零部件、应用场景和市场支撑。③因此，发展新质生产力要用发展的眼光统筹二者，在改造提升传统产业和前瞻布局未来产业中推动现代化产业体系持续升级。
T0115,2. 2025丰台一模 第18题第（3）问（主观题）,联系的多样性,矩阵 M0107/M0176/M0205：2025丰台一模 Q18(3) 正式评分标准角度提示可从联系观、发展观、矛盾观、价值观等角度作答；本条使用联系观中的联系多样性支撑。,174,232,丰台一模“人与 AI 共生”的设问，不能只写 AI 有利有弊，而要把材料中的多重联系拆开：AI 与人的认知拓展、生产生活效率、就业结构、信息生态、伦理边界和未来治理都发生联系。正式评分标准允许联系观角度，因此本条应落到联系的多样性：既看直接联系，也看间接联系；既看当下便利，也看长远风险；既看技术功能，也看社会制度和价值规范，进而主动构建有利联系。,①联系具有多样性，事物之间的联系有直接和间接、眼前和长远、内部和外部等不同形式。看待人与 AI 的关系，既要看到 AI 拓展人的认知与活动边界、提高效率、辅助创新的积极联系，也要看到它可能带来的就业结构调整、信息茧房、算法偏见、隐私安全和责任伦理等复杂联系。②因此，不能把 AI 简单理解为纯粹工具或单一威胁，而要在多种联系中分析其作用条件和影响后果。③正确做法是完善规则、优化教育、提升人的判断力和创造力，主动构建 AI 服务人、促进人全面发展的可持续联系体系。
T0309,2. 2025海淀一模 第16题（主观题）,两点论与重点论,矩阵 M0178/M0210/M0443：2025海淀一模 Q16 正式评分标准角度提示列明可从“矛盾分析法、实践与认识的关系、价值观”等角度作答；本条为矛盾分析法下两点论与重点论支撑。,164,230,MBTI 题容易写成“有优点也有缺点”，但正式标准提示的是矛盾分析法，要求进一步处理主要方面和次要方面。MBTI 的积极作用在于提供自我观察语言、降低沟通成本；风险在于标签化、自我固化和群体刻板印象。两点论要求两个方面都看见，重点论要求根据使用目的和后果抓住主要方面：把它当参考工具可以有价值，把它当决定人的本质的标签就会出错。,①坚持两点论与重点论相统一，要求全面看问题，又善于把握矛盾的主要方面。对 MBTI 等性格测试，既要看到它能帮助人们表达性格倾向、增进交流、提供自我观察入口的积极作用，也要看到它可能造成标签化、固化自我、简化他人和强化群体偏见的消极影响。②在具体使用中，应把“辅助认识、促进沟通”作为合理价值，把“决定人格、替代真实了解”的倾向作为需要警惕的问题。③因此，正确态度不是全盘否定或盲目迷信，而是把测试作为参考，在真实实践和深入交往中具体分析、动态修正对人的认识。
T0433,21. 2025延庆一模 第21题（主观题）,人民群众,矩阵 M0392：2025延庆一模 Q21 正式细则列明可从人民群众、社会主义核心价值观、民族精神或文化自信等角度说明模范表彰凝聚中国式现代化力量。,165,226,延庆一模 Q21 的材料通过“人民卫士”“人民艺术家”“人民科学家”等模范称号，把不同岗位普通人与国家现代化事业连接起来。细则明确给出人民群众角度，说明答案不能只写榜样精神，而要写人民群众是社会历史主体：各行业劳动者在本职岗位创造物质财富、精神财富和社会价值，表彰模范就是把个体先进事迹转化为亿万人民共同奋斗的价值引领和实践动员。,①人民群众是社会历史的主体，是社会物质财富和精神财富的创造者，也是推动社会发展的决定力量。中国式现代化不是少数人的事业，而是亿万人民在不同岗位上共同奋斗的实践过程。②表彰“人民卫士”“人民艺术家”“人民科学家”等模范，肯定的是人民群众在守护国家、创造文化、推动科技、服务社会中的劳动创造和责任担当。③这种表彰能够把先进个人的奉献精神转化为面向全社会的价值引领，激发更多群众立足岗位、发挥本领、参与强国建设和民族复兴，从而凝聚推进中国式现代化的磅礴力量。
T0373,3. 2025昌平二模 第16题（主观题）,认识对实践的反作用,缓存文本 af3875177855a611_2025昌平二模细则.txt 第85-105行：Q16 细则/答案变通列明可从实践和认识角度作答，并写出“认识对实践的指导作用、继承和发扬优秀传统文化，弘扬民族精神，树立文化自信，指导实践”。,151,220,昌平二模书法题的材料强调“鉴字也鉴人”“书同人品”，不是单纯评价技法。细则列出实践和认识，并明确写到“认识对实践的指导作用”。这说明学生要把对书法价值的正确认识转化为鉴赏、创作和传承实践：认识到书法承载人格、精神和文化，才会在评价时超越技法，在创作时注重修身养德，在传承时把艺术训练与价值追求结合起来。,①认识对实践具有反作用，正确认识能够指导实践沿着正确方向发展。把“中国书法不仅仅是把字写好”理解清楚，就是认识到书法作品不仅呈现笔法、章法和技艺，也承载书家的品格、精神境界、历史记忆和文化价值。②这种正确认识会指导书法鉴赏不只看形式技巧，还要理解作品背后的家国情怀、理想信念和人格力量；也会指导书法创作和教育注重修身养德、文化传承和精神表达。③因此，只有用正确认识引导实践，才能推动书法艺术从技法训练走向人格涵养、文化自信和精神传承的统一。
T0290,3. 2025西城二模 第16题第（1）问（主观题）,矛盾的普遍性和特殊性,缓存文本 cfb0f19ef38aafd7_2025西城二模细则.txt 第8-29行：Q16(1) 正式答案及细则列明可从具体问题具体分析角度作答，并要求结合不同体型动物需求、攀爬台阶和蓄水池等材料解释。,163,220,西城二模废弃水井题的普遍要求是“保护野生动物、维护生态”，但材料真正能得分的地方在于工作人员没有停留在一般口号，而是分析不同体型动物、不同取水能力和村落遗址条件。正式细则把具体问题具体分析列为示例角度，说明本条要把矛盾普遍性和特殊性统一起来：生态保护是共同原则，不同物种需求是特殊条件，把普遍原则转化为差异化方案才有哲学智慧。,①矛盾具有普遍性和特殊性，普遍性寓于特殊性之中，并通过特殊性表现出来。保护野生动物、维护生物多样性是生态保护的普遍要求，但不同物种的体型、行动能力、取水方式和栖息需求并不相同。②管理处工作人员没有停留在一般保护口号上，而是结合村落遗址和废弃水井的具体条件，分析岩松鼠、红嘴蓝鹊等动物取水需要，设置攀爬台阶、蓄水池等差异化设施。③这样做把生态保护的普遍原则落实为适合不同动物的具体方案，使不利条件转化为有利条件，实现了共性指导下的个性化保护。
T0268,3. 2025西城二模 第16题（主观题）,矛盾的特殊性 / 具体问题具体分析,缓存文本 cfb0f19ef38aafd7_2025西城二模细则.txt 第24-29行：Q16(1) 正式细则示例列明具体问题具体分析，要求分析不同体型动物需求特点，营造攀爬台阶和蓄水池，化不利为有利。,154,219,这条当前答案太短，只说“根据需求设置设施”，还没有把材料中的特殊性层次展开。细则明确要求分析“村落遗址条件”和“不同体型动物需求特点”，这正是具体问题具体分析的落点：同样是废弃水井，对小型动物、鸟类和周边生态来说，矛盾特点不同；同样是生态保护，不能套用一种方案，而要根据具体对象设计不同通道、蓄水和安全措施。,①矛盾具有特殊性，要求坚持具体问题具体分析，这是正确解决矛盾的关键。废弃水井原本可能成为野生动物取水和脱困的风险点，但它所处的村落遗址、周边生态环境以及不同动物的体型和行动方式各不相同。②管理处工作人员从这些具体条件出发，分析不同动物取水、攀爬、停留和安全返回的需要，设置攀爬台阶、蓄水设施等针对性方案，而不是简单填埋或机械保护。③这种做法把不利条件转化为生态保护资源，说明只有抓住具体矛盾的特殊性，才能找到切合实际、有效可行的保护办法。
