suite_id,suite_name,question_no,question_type,module,entry_kind,evidence_level,source_path,evidence_excerpt,material_trigger,knowledge_point,answer_landing,status,risk_note
S040,2026东城一模,16,主观题,哲学,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\99e851c9338f0983_26东城一模细则.md,"矛盾的主次方面辩证关系要求我们抓主流，文艺作品的思想性、艺术性是矛盾的主要方面，情绪需求是次要方面","大众情绪有合理性，但材料同时指出瞬时情绪满足难以传递深刻内涵",矛盾主次方面/抓主流,"承认贴近情绪有价值，但优秀文艺本质要看思想性和艺术性，不能以次要方面代替事物本质",included,"高风险词已被细则点名"
S040,2026东城一模,16,主观题,哲学,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\99e851c9338f0983_26东城一模细则.md,"哲学：人民群众是社会历史的主体","贴近大众情绪、回应人民关切",人民群众是社会历史的主体,"优秀文艺要坚持以人民为中心，反映人民心声，不是迎合低层次情绪",included,
S040,2026东城一模,16,主观题,哲学,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\99e851c9338f0983_26东城一模细则.md,"哲学：……价选与价判、社会意识的反作用","时代情感、家国之情、劳动者之歌与瞬时情绪满足形成评价差异",价值判断与价值选择,"评价文艺要坚持正确价值导向，符合时代发展和人民根本利益",included,
S040,2026东城一模,16,主观题,文化,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\99e851c9338f0983_26东城一模细则.md,"文化：人民是文化发展的主体、优秀文化的作用、社会效益与经济效益的统一、中华民族精神、社会主义核心价值观等","广受喜爱、传播力、家国之情、烈士豪情、劳动者之歌",文化功能/民族精神/核心价值观,"优秀文艺要发挥文化功能，弘扬民族精神和核心价值观，创作无愧于时代和人民的作品",included,
S040,2026东城一模,16,主观题,文化,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\99e851c9338f0983_26东城一模细则.md,"坚守中华文化立场，立足当代中国现实，体现优秀传统文化创造性转化和创新性发展","以情铸魂、涵养根脉、立足当代中国现实",中华优秀传统文化创造性转化创新性发展,"文艺既要有文化根脉，又要立足当代现实表达",included,
S040,2026东城一模,20,主观题,哲学,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\16fa597a98fe48b9_20.md,"实践决定认识/认识反作用于实践/在实践中检验发展真理/认识上升性/发展观","森林覆盖率提升、两山理念、双碳目标、国际气候承诺",实践决定认识,"我国生态文明认识是在长期治理实践中形成和深化的",included,
S040,2026东城一模,20,主观题,哲学,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\16fa597a98fe48b9_20.md,"实践决定认识/认识反作用于实践/在实践中检验发展真理/认识上升性/发展观","两山理念深入人心后，生态文明建设发生历史性、转折性、全局性变化",认识反作用于实践,"正确认识指导生态治理实践，推动美丽中国建设",included,
S040,2026东城一模,20,主观题,哲学,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\16fa597a98fe48b9_20.md,"实践决定认识/认识反作用于实践/在实践中检验发展真理/认识上升性/发展观","从传统生态智慧到现代生态文明战略再到国际气候承诺",认识上升性/发展观点,"对生态文明规律的把握随实践发展不断丰富、上升",included,
S040,2026东城一模,20,主观题,哲学,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\16fa597a98fe48b9_20.md,"绿色发展理念/价值观——人与自然和谐共生","生态美、产业兴、百姓富的美丽画卷",人与自然和谐共生/绿色发展价值观,"价值选择要把生态价值、经济发展和人民生活统一起来",included,"写价值观，不扩大成所有价值观导向模板"
S040,2026东城一模,20,主观题,文化,material_to_rubric,formal-rubric,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\16fa597a98fe48b9_20.md,"发挥中华优秀传统文化的当代价值/中华优秀传统文化的核心思想理念","天人合一、道法自然孕育生态智慧",中华优秀传统文化当代价值,"传统生态智慧可以转化为当代生态文明建设的文化资源",included,
S040,2026东城一模,1,选择题,哲学,choice_chain,answer-key+C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\0dafc181e82eb031_2026北京东城高三一模政治_教师版.md,"1B；③只有一切从实际出发，实事求是，才能持续向新向优","经济成绩单与向新向优",一切从实际出发/实事求是,"正确项呼应该知识；不得写成主观题稳定给分链",included,"choice_chain_only"
S040,2026东城一模,2,选择题,文化,choice_chain,answer-key+C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\0dafc181e82eb031_2026北京东城高三一模政治_教师版.md,"2A；传统商业与新型消费场景深度融合；文化与经济的对立统一推动街区业态迭代","隆福寺街区老字号、非遗、科技、潮流市集融合",文化与经济相互交融,"正确项呼应该文化链；不得升级成主观题细则",included,"choice_chain_only"
S040,2026东城一模,4,选择题,文化,wrong_option,answer-key+C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\0dafc181e82eb031_2026北京东城高三一模政治_教师版.md,"4A；B项反映传统文化与现代表达之间的斗争性包含着同一性为错误项","《贺花神》AI影像与文物灵感融合",硬套斗争性/同一性,"选择题错项只能入错肢库，不能反推出本套主观题有矛盾给分链",included,"wrong_option_only"
S040,2026东城一模,5,选择题,哲学,choice_chain,answer-key+C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\0dafc181e82eb031_2026北京东城高三一模政治_教师版.md,"5B；通过分析综合海量数据获得中国人群脑结构的规律性认识","基于中国人群数据构建脑图表并用于临床诊断",实践基础上的规律性认识,"正确项呼应认识论；错项D混淆真理与谬误",included,"choice_chain_only"
S040,2026东城一模,6,选择题,哲学,wrong_option,answer-key+C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\0dafc181e82eb031_2026北京东城高三一模政治_教师版.md,"6D；A项将马形象与运动路线相联结，是对传统马形象的辩证否定为错误项","运动 App 画马活动",辩证否定硬套,"题干没有破立扬弃的给分依据，不能把A项错肢反向写成辩证否定触发",included,"wrong_option_only; high-risk term rejected"
