question_id,suite_id,stable_locator,原始题号,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_pattern,invalid_pattern_or_trap,same_type_question_ids,answer_key,explanation_status,blocked_status
Q-2024朝阳一模-1,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q1,1,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳一模-4,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q4,4,归纳推理与因果探求,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳一模-6,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q6,6,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳一模-16,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q16,16,归纳推理与因果探求,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳一模-20-1,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(1),20(1),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳一模-20-2,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(2),20(2),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳一模-21,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q21,21,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q1,1,假言推理,联言推理,,,,,,,not_extracted_yet,blocked_until_options_visual_check
Q-2024朝阳二模-6,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q6,6,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-7,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q7,7,其他复合推理,归纳推理与因果探求,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-16-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q16(1),16(1),逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-16-2,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q16(2),16(2),逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-17,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q17,17,归纳推理与因果探求,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-19-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),19(1),假言推理,联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-19-2,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2),19(2),假言推理,联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳二模-19-3,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(3),19(3),假言推理,联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-1,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q1,1,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-5,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q5,5,假言推理,逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-7,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q7,7,三段论,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-8,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q8,8,假言推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-9,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q9,9,归纳推理与因果探求,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-11,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q11,11,三段论,假言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-16,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q16,16,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-17,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q17,17,其他复合推理,归纳推理与因果探求;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-18,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q18,18,三段论,假言推理;归纳推理与因果探求;类比推理;换质换位;其他复合推理;归纳推理与因果探求;归纳推理与因果探求;类比推理;类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-19,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q19,19,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-20-1,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q20(1),20(1),其他复合推理,类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-20-2,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q20(2),20(2),其他复合推理,类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024朝阳期中-20-3,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q20(3),20(3),其他复合推理,类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2024海淀二模-4,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q4,4,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024海淀二模-6,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q6,6,换质换位,,,,,,,,not_extracted_yet,pending_pairing
Q-2024海淀二模-8,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q8,8,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024海淀二模-14,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q14,14,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024海淀二模-16,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q16,16,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024西城一模-11,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q11,11,其他复合推理,,,,,,,,not_extracted_yet,blocked_until_options_visual_check
Q-2024西城一模-13,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q13,13,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2024西城一模-19-1,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(1),19(1),归纳推理与因果探求,逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024西城一模-19-2,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(2),19(2),归纳推理与因果探求,逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024西城一模-19-3,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(3),19(3),归纳推理与因果探求,逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024西城一模-19-4,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(4),19(4),归纳推理与因果探求,逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024西城一模-19-5,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(5),19(5),归纳推理与因果探求,逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2024西城一模-19-6,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(6),19(6),归纳推理与因果探求,逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-7,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q7,7,假言推理,归纳推理与因果探求,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-8,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q8,8,假言推理,归纳推理与因果探求,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-9,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q9,9,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-13,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q13,13,三段论,三段论;周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-14,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q14,14,假言推理,周延判断;假言推理;选言推理;联言推理;周延判断;逻辑三律与概念规则;假言推理;选言推理;联言推理;逻辑三律与概念规则;周延判断;周延判断;逻辑三律与概念规则;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-15,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q15,15,假言推理,假言推理;周延判断;周延判断,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-18-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(1),18(1),三段论,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-18-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),18(2),三段论,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-21,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q21,21,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-7,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q7,7,假言推理,归纳推理与因果探求,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-8,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q8,8,假言推理,归纳推理与因果探求,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-9,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q9,9,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-13,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q13,13,三段论,三段论;周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-14,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q14,14,假言推理,周延判断;假言推理;选言推理;联言推理;周延判断;逻辑三律与概念规则;假言推理;选言推理;联言推理;逻辑三律与概念规则;周延判断;周延判断;逻辑三律与概念规则;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-15,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q15,15,假言推理,假言推理;周延判断;周延判断,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-18-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(1),18(1),三段论,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-18-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),18(2),三段论,,,,,,,,not_extracted_yet,pending_pairing
Q-2025东城期末-21,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q21,21,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-2,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q2,2,假言推理,联言推理;假言推理;选言推理;联言推理;周延判断,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-8,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q8,8,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-9,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q9,9,假言推理,归纳推理与因果探求;假言推理;选言推理;假言推理;选言推理;联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-10,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,10,假言推理,归纳推理与因果探求;类比推理;归纳推理与因果探求;类比推理;类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-16,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q16,16,其他复合推理,联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-18-1,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(1),18(1),假言推理,联言推理;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
