question_id,year,district,exam_stage,question_no,evidence_level,primary_batch,primary_node,node_names,promotion_status,effective_ask_text,ask_source,material_signals,rubric_rewards,rubric_atom_ids,first_student_action,full_score_sentence_pattern,common_wrong_path,classification_reason,guard_flags
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N07:意义价值题：从本案推出三层价值,core_candidate,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,ask_text,17.(8 分) [page 5] 第5页/共9页 《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减轻其赔偿责任，但是机动车使用人有故意或重大过 失的除外。 / 资料卡 好意同乘：指驾驶人基于善意互助或友情帮助，无偿 搭载他人或允许大人无偿搭乘的情谊行为。 / 甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。,法理依据5分：法院判决应以事实为依据，以法律为准绳，为必踩点1分。 / 法理依据：双方形成好意同乘，需明确权利义务；涉及侵权责任一般规定，2分。 / 法理依据：结合好意同乘事故减轻赔偿责任的条件和案件事实进行说明，2分。,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N07:意义价值题：从本案推出三层价值,core_candidate,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费",fallback_from_rubric_text,19.（7分） 社会主义市场经济本质上是法治经济。 / 民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 / 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法...",R_CC0019_2024_朝阳_一模_19_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,fallback_from_rubric_text
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N05:程序救济题：路径、证据、请求|N07:意义价值题：从本案推出三层价值,core_candidate,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,ask_text,19．（6 分）遗赠扶养协议纠纷案宣判。 / 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至寿终； / 曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为...,R_CC0045_2024_海淀_二模_19_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0061_2024_西城_一模_18,2024,西城,一模,18,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N01:格子题：一格一答|N02:评判裁判题：先判后证|N05:程序救济题：路径、证据、请求|N07:意义价值题：从本案推出三层价值,core_candidate,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,ask_text,18．（8分） 【基本案情】郭某与刘某是夫妻关系，刘某于2022年去世。 / 二人育有子女四人，现郭某年已九十，由小女儿照顾，郭某起诉要求另外三子支付赡养费，其中郭某每月有退休金五千余元，大儿子居住在外地，二儿子肢体残疾，三儿子表示郭某现有收入并不需要子女支付赡养费。 / 一审法院认为郭某尚不存在生活困难的情形，故对于郭某的请求未予支持。,（1）依据诉讼法规定的回避制度，当书记员有下列情形之一的，当事人有权申请其回避：是本案当事人或者当事人、诉讼代理人近亲属的；与本案有利害关系的；与本案当事人、诉讼代理人有其他关系（比如师生、同学、朋友等），可能影响对案件公正审理的。书记员接受当事人、诉讼代理人请客送礼，或者违反规定会见当事人、诉讼代理人的，当事人有权要求他们回避。考生可选... / （2）错误：辩护人。改为：诉讼代理人。（1分） / （3）成年子女对父母有赡养的义务。（1分）赡养父母，要求子女经济上供养父母、生活上照料父母、精神上慰藉父母，照顾父母的特殊需要，使父母幸福安度晚年。（2分，五选二） 郭某的三个儿子都是成年人，应履行精神上慰藉父亲的义务。二审法院向郭某的三个儿子发出《督促履行义务告知书》是保护郭某的合法权益，引导郭某的儿子孝老敬亲，（1分，多选一）传承中华...,R_CC0061_2024_西城_一模_18_01|R_CC0061_2024_西城_一模_18_02|R_CC0061_2024_西城_一模_18_03,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0063_2024_西城_二模_16,2024,西城,二模,16,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N05:程序救济题：路径、证据、请求|N07:意义价值题：从本案推出三层价值,core_candidate,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,ask_text,16．（8分） 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。 / 签收后，甲发现这些饼干不符合食品安全标准，随后又在两个月内三次购买同样的饼干，总数达200盒。 / 四次总计付款4176元。,16．（8分） 经营者应依法、诚信经营，保护消费者的合法权益。（2分，多选一）人民法院支持市民甲就首单购买行为适用食品安全法中的惩罚性赔偿请求，以此打击违法生产经营行为，维护了消费者的合法权益。（1分，材料分析） 民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益。（2分，二选一）市民...,R_CC0063_2024_西城_二模_16_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证,core_candidate,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定； • 改变公有部分用途的法律程序问题； • 涉及民法典对公共区域功能改变的规定； • 思路2.充电桩方案的具体内容涉及哪些权利？ • 如： • 公共区域设,fallback_from_rubric_text,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定； / • 改变公有部分用途的法律程序问题； / • 涉及民法典对公共区域功能改变的规定；,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定； • 改变公有部分用途的法律程序问题； • 涉及民法典对公共区域功能改变的规定； • 思路2.充电桩方案的具体内容涉及哪些权利？ • ...,R_CC0092_2025_东城_期末_19_1_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,fallback_from_rubric_text
CC0195_2025_西城_一模_20,2025,西城,一模,20,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N07:意义价值题：从本案推出三层价值,core_candidate,【细则】 公平角度：4分 发挥工会的作用/集体的力量 1分 可以确保双方协商一致、平等自愿，公平签订劳动合同（或结合订立劳动合同基本原则说明） 1分 ——更好地保护劳动者合法权益（或获得劳动报酬的权利）1分 ——促进体面劳动（尊重劳动/保护苦脏险累且工资水平不高的劳动者等/分配公平） 1分 效率角度：4分 促进企业依法规范用工（合理用工） 1分 激发劳动者积极性/保障收入 1分 ；建立和谐劳动关系 1分 推动生产效率的提高/培育良好商誉,derived_from_rubric_text,20．（8分）劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订 集体合同，可以确保双方协商一致，更加公平、平等自愿。 / 更好地保护劳动者合法权益，促进广大劳 动者特别是低薪劳动者群体实现体面劳动，实现社会公平。 / 促进企业依法规范用工，构建和谐劳动关 系，激发劳动者积极性，推动生产效率的提高，培育良好商誉，实现社会公平与经济效率的平衡。,20．（8分）劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订集体合同，可以确保双方协商一致，更加公平、平等自愿。更好地保护劳动者合法权益，促进广大劳动者特别是低薪劳动者群体实现体面劳动，实现社会公平。促进企业依法规范用工，构建和谐劳动关系，激发劳动者积极性，推动生产效率的提高，培育良好商誉，实现社会公平...,R_CC0195_2025_西城_一模_20_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,derived_from_rubric_text
CC0200_2025_西城_二模_18,2025,西城,二模,18,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N07:意义价值题：从本案推出三层价值,core_candidate,结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。,ask_text,18.（8 分） 17 岁的小刘背着家长、绕过平台监管打赏多名网络主播，金额高达45 万余元。 / 家长：我们发现之后，先跟主播沟通，有几位主播退了一部分钱，总计5 万余元。 / 后与平台客服沟通， 想要回其余40 万余元的打赏款，遭到拒绝。,18．（8分）小刘为限制民事行为能力人，其大额打赏行为，家长事先不知情、事后也不同意追认，交易行为无效。平台的审核措施不完善，未能尽到合理审查的义务，存在过错。小刘父母疏于监管，未能履行好监护职责，行为存在过错。小刘沉迷打赏，并通过欺骗手段规避监管，自身行为也有过错。综合各方过错程度，根据民法典157条规定，法院判定平台和小刘父母都应承担...,R_CC0200_2025_西城_二模_18_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证,core_candidate,20（2）裁判理由共4分。,derived_from_rubric_text,20（2）裁判理由共4分。 / ①法律规定1分，写出签订劳动合同用遵循的原则，写出诚实信用原则即可得1分； / /根据《劳动合同法》以欺诈手段订立的劳动合同无效或者部分无效。,20（2）裁判理由共4分。 / ①法律规定1分，写出签订劳动合同用遵循的原则，写出诚实信用原则即可得1分；/根据《劳动合同法》以欺诈手段订立的劳动合同无效或者部分无效。 / ②违反诚实信用原则/违反劳动者基本的职业道德/侵犯了甲公司知情权（1分）,R_CC0214_2025_门头沟_一模_20_2_01|R_CC0214_2025_门头沟_一模_20_2_02|R_CC0214_2025_门头沟_一模_20_2_03|R_CC0214_2025_门头沟_一模_20_2_04|R_CC0214_2025_门头沟_一模_20_2_05,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,derived_from_rubric_text
CC0317_2026_海淀_期末_18,2026,海淀,期末,18,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N07:意义价值题：从本案推出三层价值,core_candidate,18.（1）该合同条款⽆效。该合同条款是住房租赁企业为了重复使⽤⽽预先拟定，并在订⽴ 合同时未与对⽅协商的条款，属于格式条款。⺠法典规定采⽤格式条款订⽴合同的，提供格 式条款的⼀⽅应当遵循公平原则确定当事⼈之间的权利和义务。该合同条款约定合同期满后， 承租⽅不得与产权⼈私下建⽴合同关系，限制了承租⽅⾃由订⽴合同的权利，应被认定为⽆ 效。(6 分),fallback_from_rubric_text,18.(12 分) (1) 该合同条款无效。 / 该合同条款是住房租赁企业为了重复使用而预先拟定，并在订立合同时 未与对方协商的条款，属于格式条款。 / 民法典规定，采用格式条款订立合同的，提供格式条款 的一方应当遵循公平原则确定当事人之间的权利和义务。,18.（1）该合同条款⽆效。该合同条款是住房租赁企业为了重复使⽤⽽预先拟定，并在订⽴ 合同时未与对⽅协商的条款，属于格式条款。⺠法典规定采⽤格式条款订⽴合同的，提供格 式条款的⼀⽅应当遵循公平原则确定当事⼈之间的权利和义务。该合同条款约定合同期满后， 承租⽅不得与产权⼈私下建⽴合同关系，限制了承租⽅⾃由订⽴合同的权利，应被认定为⽆ 效。(...,R_CC0317_2026_海淀_期末_18_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,fallback_from_rubric_text
