item,gpt_recommendation,codex_decision,source_basis,action
1,"保留气候风险条目，补清正式细则位置","采纳","BATCH_005_SOURCE_PACKET.md:103-108 明确2024朝阳二模Q20共识中为什么完善全球气候治理1分","保留并细化细则位置"
2,"删除独立共同利益条目，并入全球气候治理体系","采纳","BATCH_005_SOURCE_PACKET.md:109 将共同利益列为如何完善全球气候治理角度1的替代表述，非独立采分层","删除独立理论条，合并进治理体系条"
3,"2025海淀一模外贸开放答案句补42、43两个万亿级台阶和贸易投资便利化","部分采纳","BATCH_005_SOURCE_PACKET.md:76 锁定42、43台阶；参考答案锁定贸易自由化便利化，阅卷提示可强调贸易投资便利化","答案句补42、43台阶，细则位置标注官方参考答案加阅卷提示"
4,"删除2025西城技术创新条目中的源外替代表述","采纳","BATCH_005_SOURCE_PACKET.md:35-40 锁定细则为技术创新、产品质量、竞争力，源包未锁定降低成本等替代表述","替换细则位置和答案句"
5,"把2026西城绿色低碳、碳市场、协同适应移入中国参与全球气候治理","采纳","BATCH_005_SOURCE_PACKET.md:16-18 与:22 明确这些是中国气候治理实践链，不是脱离气候治理的独立经济学术语","移动到中国桶并补足答案句"
6,"全球企业条目改为跨国公司等全球企业原词","采纳","BATCH_005_SOURCE_PACKET.md:111 明确原词为跨国公司等全球企业，尤其是工业领域企业","替换术语原文"
7,"平等类原则和开放类原则继续拆分","采纳","BATCH_005_SOURCE_PACKET.md:104-105 与:116 明确表格两空各1分，不与共识混成一条","保留两条"
8,"全球治理体系条目吸收共同利益，并按朝阳/西城题向写两句答案","采纳","BATCH_005_SOURCE_PACKET.md:15 与:109 支持跨题同核合并但需保留题向差异","替换术语、触发和答案句"
9,"中国智慧中国方案条目按海淀/西城/朝阳拆题向答案句","采纳","BATCH_005_SOURCE_PACKET.md:65 与:17 与:109 支持同核合并但材料事实不同","替换答案句为三条题向句"
10,"巴黎协定与NDC条目补向联合国提交、2015/2020/2025、维护多边进程","采纳","BATCH_005_SOURCE_PACKET.md:11 与:15 锁定这些事实","替换术语和答案句"
11,"更新术语数量为19条","采纳","删除独立共同利益条后，术语总数由20变为19","后续校验按19条执行"
