suite,question_no_guess,typology_guess,source_kind,source_id,hit_terms,snippet,next_action
2024朝阳期中,7,三段论,paper,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,判断,"4弘扬探月精神有利于增强中华儿女的民族自尊心、自信心和自豪感 A. 12 B. 13 C. 24 D. 34 7. 2024 年7 月,联合国教科文组织第46 届世界遗产大会通过决议,将“北京中轴线———中 国理想都城秩序的杰作”列入《世界遗产名录》。据此,小刘同学写出了以下四个判断 1“北京中轴线”是由世界遗产委员会确认的世界遗产 2“北京中轴线”是不可替代的文化遗产 3有些由世界遗产委员会确认的世界遗产是不可替代的文化遗产 4有些不可代替的文化遗产是由世界遗产委员会确认的世界遗产 从以上四个判断中选取三个,依次作为大前提、小前提、结论,下列选项中符合三段论 推理规则的是",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2024朝阳期中,7,三段论,paper,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,三段论;判断;前提;结论,"7. 2024 年7 月,联合国教科文组织第46 届世界遗产大会通过决议,将“北京中轴线———中 国理想都城秩序的杰作”列入《世界遗产名录》。据此,小刘同学写出了以下四个判断 1“北京中轴线”是由世界遗产委员会确认的世界遗产 2“北京中轴线”是不可替代的文化遗产 3有些由世界遗产委员会确认的世界遗产是不可替代的文化遗产 4有些不可代替的文化遗产是由世界遗产委员会确认的世界遗产 从以上四个判断中选取三个,依次作为大前提、小前提、结论,下列选项中符合三段论 推理规则的是 A. 1- 3- 4 B. 2- 1- 3 C. 3- 2- 4 D. 4- 2- 1",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2024朝阳期中,7,三段论,paper,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf,推理,"国理想都城秩序的杰作”列入《世界遗产名录》。据此,小刘同学写出了以下四个判断 1“北京中轴线”是由世界遗产委员会确认的世界遗产 2“北京中轴线”是不可替代的文化遗产 3有些由世界遗产委员会确认的世界遗产是不可替代的文化遗产 4有些不可代替的文化遗产是由世界遗产委员会确认的世界遗产 从以上四个判断中选取三个,依次作为大前提、小前提、结论,下列选项中符合三段论 推理规则的是 A. 1- 3- 4 B. 2- 1- 3 C. 3- 2- 4 D. 4- 2- 1 ===== PAGE 3 =====",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2025东城期末,13,三段论,paper,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,三段论;推理,"===== PAGE 4 ===== 第4页/共20页 13.2024 年11 月,国资委开设的“国资小新”网上店铺一口气上架了十多款“大国重器”和数款技术过硬 的央企民用产品,让大家感受到央企既“顶天立地”又能保障和改善民生的责任担当。下列三段论推理 违反相同逻辑规则的是( ) 1“祥云”AS700 是大国重器,有的大国重器是载人飞艇,有的载人飞艇是“祥云”AS700 2歼-20 飞行员手表有三盘六针,这款手表不是歼-20 飞行员手表,这款手表没有三盘六针 3碳纤维自行车适合山地骑行,山地车适合山地骑行,碳纤维自行车是山地车 4石墨烯围巾有智能温控系统,智能温控系统能自动调节温度,石墨烯围巾能自动调节温度 A.12",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2025东城期末,18,三段论,paper,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,大项,"18.(12 分)千年华夏飞天梦,廿载嫦娥揽月回。 自2004 年以来,在国家资金和政策的支持下,遥感通信等核心技术取得重大突破,中国探月工程步步 衔接、接续跨越、连战连捷。2024 年6 月25 日,嫦娥六号带回人类首份1935.3 克珍贵月球背面月壤, 这是我国建设航天强国、科技强国取得的又一标志性成果。总设计师胡浩感慨:“没有集中力量办大事 的优势,没有新型举国体制支撑,历时17 年的‘绕、落、回’规划就不可能完成。” 河北某民营企业承接了探月工程测控系统中的射电望远镜天线工程,浙江某民营企业承建了探月工程地 面应用系统的网络工程建设......二十届三中全会提出,完善民营企业参与国家重大项目建设长效机制, 支持有能力的民营企业牵头承担国家重大技术攻关任务,向民营企业进一步开放国家重大科研基础设施。 (1)结合材料,运用《经济与社会》知识,阐述我国是如何实现“嫦娥揽月回”的。 登月服的外观融合了历史传统和现代元素,优雅飘逸的“飞天”飘带造型和火箭升空尾焰造型,形成一 飞冲天的姿态,传递出中华民族开拓进取、勇毅前行的意志精神。航天员可以自如完成行走、攀爬、驾 车、科考等月面出舱活动作业。综合防护面料可有效防护月面热环境及",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2025东城期末,18,三段论,paper,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,大项,"电望远镜天线工程,浙江某民营企业承建了探月工程地面应用系统的网络工程建设......二十届三中全会 ===== PAGE 18 ===== 第18页/共20页 提出,完善民营企业参与国家重大项目建设长效机制,支持有能力的民营企业牵头承担国家重大技术攻 关任务,向民营企业进一步开放国家重大科研基础设施,可联系坚持两个毫不动摇,深化体制机制改革, 拓宽民间投资领域和发展渠道,调动民营企业积极性,有效利用各种所有制资源,推动探月工程发展。 (2)本题要求结合材料,运用《逻辑与思维》知识,说明登月服设计是如何体现创新思维的,属于体 现类试题。材料中,关键词:登月服的外观融合了历史传统和现代元素,优雅飘逸的‘飞天’飘带造型 和火箭升空尾焰造型,形成一飞冲天的姿态,传递出中华民族开拓进取、勇毅前行的意志精神,这是把 服装造型设计和火箭形象、传统文化联系起来,体现了联想思维;关键词:航天员可以自如完成行走、",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,7,三段论,paper,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf,大项,"===== PAGE 3 ===== 第3页/共9页 C. 有的纯净无辐射的独居石具有绿色提取前景 D. 部分生物成矿形成的矿物具有绿色提取前景 7. 某高中举办“科技+体育”运动会,设置四大项目:“AI 运动数据挑战赛”“AI 主题闯关”“跨年级智 能接力赛”“人机赛跑”。四位老师对比赛结果作出如下预测: 周老师:“人机赛跑”会达标。 吴老师:如果“AI 运动数据挑战赛”达标,那么“跨年级智能接力赛”就不会达标。 郑老师:如果“人机赛跑”未达标,那么“AI 主题闯关”也未达标。 王老师:“AI 运动数据挑战赛”和“跨年级智能接力赛”都会达标。 上述四人的预测仅有一个符合事实,以下哪项不可能为真( )",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026朝阳期中,1,三段论,paper,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,大项,"1. 中央企业是由党中央直接管理或委托管理的国有独资及控股企业。“十四五”以来,我国中央企业资产 总额从不到70 万亿元增长到超过90 万亿元,利润总额从1.9 万亿元增长到2.6 万亿元,年均增速分别达 到7.3%和8.3%,质量效率也有显著提升,“稳”的基础不断夯实,“进”的态势持续巩固,“好”的作用 有效发挥。继续保持“进”的态势,中央企业需要( ) 1增强改革活力和发展动力,提升核心竞争力 2深入推进战略性重组和专业化整合,提高资源配置效率 3吸引民营企业参与重大项目,发挥非公有制经济的主导作用 4制定产业政策,完善现代企业制度,促进产业结构不断优化升级 A. 12 B. 14 C. 23 D. 34 2. 消费对经济发展起着基础性作用。为加快补上消费需求短板,某地启动“新型消费基础设施升级工程”,",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026顺义一模,19,三段论,rubric_or_answer,002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,判断;推理,"19(1)“十五五”开局之年,我国将加快培育和发展未来产业,以现代化产业新优势把握未来发展主动权。 材料一 未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。 “十五五” 规划建议提出,推动量子科技、生物制造、氢能和核聚变能、脑机接口、具身智能、第六代移动通信等成为新的经济增长点,这些领域正是未来产业的典型代表。 据此,某同学得出以下推论: 所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。 量子科技是由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业。 量子科技是未来产业。 判断上述推理是否正确,并说明理由。(3分) 阅卷细则:判断正误:该推理是错误的(1分)。 演绎推理要确保得到真实的结论,必须具备两个条件: 一是作为推理根据的前提是真实的判断,材料中“未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。”不能必然推出“所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。”前提不是真实的判断(1分)。 二是推理结构正确,上述推理是一个三段论推理,符合三段论推理规则。(1分) 因此该推理错误。 ===== SLIDE 7 =====",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026顺义一模,19,三段论,rubric_or_answer,002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,判断;推理,"材料一 未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。 “十五五” 规划建议提出,推动量子科技、生物制造、氢能和核聚变能、脑机接口、具身智能、第六代移动通信等成为新的经济增长点,这些领域正是未来产业的典型代表。 据此,某同学得出以下推论: 所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。 量子科技是由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业。 量子科技是未来产业。 判断上述推理是否正确,并说明理由。(3分) 阅卷细则:判断正误:该推理是错误的(1分)。 演绎推理要确保得到真实的结论,必须具备两个条件: 一是作为推理根据的前提是真实的判断,材料中“未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。”不能必然推出“所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。”前提不是真实的判断(1分)。 二是推理结构正确,上述推理是一个三段论推理,符合三段论推理规则。(1分) 因此该推理错误。 ===== SLIDE 7 ===== 19(2)参考答案:",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
