"file","line","bucket","core","count"
"student_final","39","时代背景","和平与发展仍是时代主题","9"
"student_final","214","时代背景","百年变局与外部风险挑战","3"
"student_final","277","时代背景","气候变化给全人类带来巨大风险和挑战，气候治理已成为全球治理的重要议题之一","1"
"student_final","317","理论","维护国家利益是主权国家对外活动的出发点和落脚点","5"
"student_final","416","理论","国家间共同利益是国家合作的基础","4"
"student_final","498","理论","国际竞争的实质是综合国力较量","3"
"student_final","561","理论","正确义利观〔国家利益角度可选表述〕","1"
"student_final","602","经济全球化","处理好自力更生和对外开放的关系，参与经济全球化和国际分工","1"
"student_final","625","经济全球化","参与全球经济治理和规则制定，为企业出海营造国际环境","1"
"student_final","648","经济全球化","顺应经济全球化趋势，主动融入并推动深化","4"
"student_final","730","经济全球化","利用两个市场两种资源优化全球资源配置","8"
"student_final","888","经济全球化","数字贸易与数字经济跨境流通","4"
"student_final","970","经济全球化","提高开放型经济水平 / 建设高层次开放型经济","2"
"student_final","1014","经济全球化","推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展","7"
"student_final","1152","经济全球化","推动普惠包容的经济全球化 / 建设开放型世界经济 / 促进贸易自由化","1"
"student_final","1177","经济全球化","促进共同发展、维护持久和平 / 共同推进现代化","1"
"student_final","1202","经济全球化","经济安全 / 统筹安全与发展 / 多元稳定的经贸关系","1"
"student_final","1227","经济全球化","推进贸易和投资自由化便利化","11"
"student_final","1442","经济全球化","发挥比较优势并打造国际竞争新优势","2"
"student_final","1486","经济全球化","维护全球产业链供应链稳定畅通","5"
"student_final","1587","经济全球化","中国扩大高水平对外开放与制度型开放","7"
"student_final","1726","经济全球化","推动我国与周边国家的经济融合，促进共同发展 / 促进区域经济一体化","1"
"student_final","1751","经济全球化","坚持多边贸易、多边主义与全球经济治理体系改革","1"
"student_final","1776","经济全球化","提升发展中国家的代表性和发言权，打破规则制定垄断","1"
"student_final","1803","经济全球化","我国的未来产业有非常广阔的国际市场，为未来产业“走出去”提供了可能","1"
"student_final","1828","经济全球化","对接国际高标准经贸规则，参与国际标准和相关贸易规则制定，提升规则话语权","3"
"student_final","1891","经济全球化","以开放促进产业升级，为未来产业拓展国际空间，提升国际竞争力，筑牢安全基础","1"
"student_final","1916","经济全球化","开放与安全协同发力；动态平衡；系统协同中推动未来产业高质量发展","1"
"student_final","1941","经济全球化","优惠政策吸引高新技术企业入驻；降低企业税费成本；助力企业科技创新","1"
"student_final","1966","经济全球化","依托我国超大规模市场优势，为世界各国提供更加广阔的市场，促进国际合作，实现互利共赢","1"
"student_final","1991","经济全球化","充分运用国际规则，利用国际组织赋予的权利，对话磋商，积极维护自身权益","1"
"student_final","2016","经济全球化","加强技术创新、提高产品质量，增强竞争力","1"
"student_final","2041","经济全球化","实施出口市场多元化战略，减少对单一市场的依赖","1"
"student_final","2066","经济全球化","深度参与全球产业分工和合作；构建以国内大循环为主体、国内国际双循环相互促进的新发展格局","1"
"student_final","2091","经济全球化","以科学技术的发展推动建设创新型、开放型世界经济","1"
"student_final","2116","经济全球化","合作共赢；实现合作共赢；推动各国合作共赢","1"
"student_final","2141","经济全球化","通过技术交流与资源共享，带动当地经济、社会发展","1"
"student_final","2166","经济全球化","中国市场红利与全球经济包容性增长","1"
"student_final","2191","经济全球化","维护以世界贸易组织为核心的多边贸易体制","1"
"student_final","2216","经济全球化","推进普惠包容的经济全球化，推动构建更加开放、包容的全球经济格局","2"
"student_final","2260","经济全球化","促进资源优化配置；促进国际贸易；为世界新能源产业注入活力；让经济全球化更有活力","1"
"student_final","2285","经济全球化","破坏市场竞争；破坏市场秩序；不利于自身的发展；损害消费者的利益","1"
"student_final","2310","经济全球化","推动建设开放型世界经济；深化国际分工与合作","1"
"student_final","2335","经济全球化","促进全球范围内标准共通、技术共享，推动全球技术创新与绿色转型","1"
"student_final","2360","经济全球化","积极参与全球经济治理和规则制定，维护多边贸易体系","1"
"student_final","2385","经济全球化","互利共赢的开放战略","1"
"student_final","2410","经济全球化","全球化 / 贸易保护主义；开放型世界经济 / 世界经济共同繁荣 / 互利共赢 / 开放合作 / 共享成果","1"
"student_final","2449","政治多极化","共商共建共享的全球治理观","8"
"student_final","2607","政治多极化","推动国际关系民主化","6"
"student_final","2728","政治多极化","推动构建人类命运共同体","7"
"student_final","2863","政治多极化","相互尊重、公平正义、合作共赢的新型国际关系","3"
"student_final","2926","政治多极化","维护地区和平与稳定","1"
"student_final","2951","政治多极化","推动国际秩序和全球治理体系更加公正合理","7"
"student_final","3090","政治多极化","践行真正的多边主义","3"
"student_final","3157","政治多极化","开放；合作；共享；共赢；包容；求同存异；共商共建","1"
