question_id,suite_id,source_locator,question_type,module,status,answer_locator,rubric_locator,visual_locator,full_stem_status,full_options_status,student_permission,risk_note
Q-2024朝阳一模-20-1,S-2024朝阳一模,paper:030@L266-280; rubric:031@L343-353,主观题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_031,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,假言推理结构识别错误;前后件颠倒;化作不完全归纳
Q-2024朝阳一模-20-2,S-2024朝阳一模,paper:030@L278-280; rubric:031@L355-362,主观题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_031,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,"补完整推理时漏写""古代/当时""等时间表述会扣1分"
Q-2024朝阳一模-7,S-2024朝阳一模,031细则.pptx::Slide15_Q7=C,选择题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_C_from_031_pptx,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,"①迁移想象逆向不属逻辑思维而是创新思维(混用错);④""就能确保""绝对化错"
Q-2024朝阳一模-9,S-2024朝阳一模,031_Desktop_2024模拟题_2024朝阳一模_细则_细则.pptx::Slide17_Q9=D,选择题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_D_from_031_pptx,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,①具体政策制定不属此活动主旨;②引领社会治理过度
Q-2024朝阳二模-19-1,S-2024朝阳二模,paper:021@L353-367; rubric:022@L126-134,主观题,交叉,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_022,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,"①填错为整体性/质量互变会丢分;②类比变通""无变通""严格"
Q-2024朝阳二模-19-2,S-2024朝阳二模,paper:021@L371-372; rubric:022@L139-148,主观题,交叉,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_022,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,"错别字""连言判断""不给分;表述为""充分/必要条件联言判断""不给分"
Q-2024朝阳二模-6,S-2024朝阳二模,023_细则::Q6=C,选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_C_from_023_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,①商业航天与航天属种关系标定_选必三概念干扰;③以国家队为主底线思维表述错
Q-2024朝阳二模-7,S-2024朝阳二模,023_Desktop_2024模拟题_2024朝阳二模_细则_补充材料_细则.docx::Q7=D,选择题,交叉,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_D_from_023_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,A小项不当周延/小项扩大（娱乐工具在前提中不周延，结论中周延）;B归纳推理结论确定性夸大;C必要条件假言推理误用
Q-2024朝阳期中-11,S-2024朝阳期中,020细则.rtf答案表(Q11=C),选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_C_from_020_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,"①性质判断非关系判断;④""我店里全是好茶+从来不卖变质茶""非违反矛盾律(其实违反同一律)"
Q-2024朝阳期中-18,S-2024朝阳期中,paper:017@L224-232; rubric:018@L56-78,主观题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_018,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,楚王=以一例归纳全体;晏子=橘枳类比环境致变(均或然但晏子辩证驳论)
Q-2024朝阳期中-19,S-2024朝阳期中,paper:017@L233-260; rubric:018@L80-181,主观题,交叉,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_018,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,只把2思维写全但材料不匹配只1分;只1思维0分
Q-2024朝阳期中-7,S-2024朝阳期中,020细则.rtf答案表(Q7=B),选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_B_from_020_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,A①③④无效中项错位;C三个均为单称_中项断裂;D结论与前提关系错位
Q-2024朝阳期中-8,S-2024朝阳期中,020细则.rtf答案表(Q8=D),选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_D_from_020_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,①充分必要条件强化错;③否定原因推断错(必要条件能推否后但不能因果归因)
Q-2024朝阳期中-9,S-2024朝阳期中,020细则.rtf答案表(Q9=B),选择题,交叉,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_B_from_020_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,A演绎推理结构错;C求异法误用且必然性夸大;D假如式想象未发生_是科学实验
Q-2024海淀二模-17-1,S-2024海淀二模,paper:027@L202-224; rubric:028@L9-11,主观题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_028,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,只列知识无材料分析1分;混淆角度归属丢分
Q-2024海淀二模-17-2,S-2024海淀二模,paper:027@L225-226; rubric:028@L14-23,主观题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_028,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,"关系颠倒不给分(感性具体↔思维具体方向);用""实践决定认识""替代仅1分"
Q-2024海淀二模-6,S-2024海淀二模,028细则::Q6=C,选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_C_from_028_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,"A专项国债与特别国债同为国债下属_反对而非矛盾关系;B特别国债与超长期特别国债=属种关系而非种属;D换位""特别国债是助力经济增长的增量工具""换位为""有的助力经济增长的增量工具是特别国债""非全称"
Q-2024西城一模-11,S-2024西城一模,DOCX=/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx (python3 zipfile XML textbox extraction); 答案表025=025_Desktop_2024模拟题_西城一模_细则_细则.docx.txt line6 Q11=B; 026=026_Desktop_2024模拟题_西城一模_细则_补充材料_2024.4高三统一测试思想政治答案.docx.txt line6 Q11=B,选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_B_from_rubric_025_026,no_formal_rubric,DOCX_XML_TEXTBOX_RECOVERED,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT_YET_GPT_BLOCKED,"②将""个体→类别X""反转为""类别X→仅为这三个""（非法逆推）；④将获自一个语境的谓词（作为""路""的属性）迁移到另一语境（作为""舱段""的主语），犯了语境混淆错误"
Q-2024西城一模-13,S-2024西城一模,025_Desktop_2024模拟题_西城一模_细则_细则.docx::Q13=B;026补充材料同B,选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_B_from_025_rubric,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,A思维抽象描述错(联想≠抽象);C联想是表象间联系非判断;D或然推理误用_联想非推理
Q-2024西城一模-19-2,S-2024西城一模,paper:024@L114-115; rubric:025@L47-53,主观题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_025_026,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,颠倒种差与邻近属丢分;漏种差或邻近属丢分
Q-2024西城一模-19-3,S-2024西城一模,paper:024@L116; rubric:025@L54,主观题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_025_026,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,误填全同/交叉/不相容/反对均扣分
Q-2024西城一模-19-5,S-2024西城一模,paper:024@L121-122; rubric:025@L70-76,主观题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_025_026,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,"只罗列概念无材料分析丢分;漏""实践""基础扣分"
Q-2025东城期末-13,S-2025东城期末,012试卷::故选B(Q13),选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_B_from_012_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,②否定前提两否得结论错;④石墨烯围巾有智能温控+智能温控能调节=四概念错位
Q-2025东城期末-14,S-2025东城期末,012试卷::故选D(Q14),选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_D_from_012_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,"A中轴线与古代皇家宫苑建筑非属种(中轴线不被宫苑包含);B""位于""非传递关系(只在地理空间);C不是同一关系是属性反映"
Q-2025东城期末-15,S-2025东城期末,012试卷::故选B(Q15),选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_B_from_012_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,A只有...才...是必要条件_未必假;C即使...也...独立条件_未必假;D李去李则赵去北大=后件为真不能推前件_未必假
Q-2025东城期末-18-2,S-2025东城期末,paper:012@L199-203; rubric:012@L681-698(inline),主观题,交叉,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_012_inline,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,只列思维无材料分析丢分;混淆联想/发散/聚合归属丢分
Q-2025东城期末-5,S-2025东城期末,012试卷::故选C(Q5),选择题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_C_from_012_paper,paired_candidate,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,①自在联系不通过实践建立(实践建人为联系);③否定过去肯定现在=简单否定非辩证否定
Q-2025丰台期末-10,S-2025丰台期末,040试卷::Q10=B,选择题,交叉,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_B_from_040_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,②同地摔倒非演绎推理责任_错位;③闻一知十非思维抽象到具体_错位
Q-2025丰台期末-18-1,S-2025丰台期末,paper:040@L240-251; rubric:040@L569-571(inline),主观题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_040_inline,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,误判断类型(写充分而非必要)0分;漏保真条件丢分
Q-2025丰台期末-7,S-2025丰台期末,040试卷::Q7=C,选择题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_C_from_040_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,A集中关注当下绝对化;B超前思维就能创造幸福夸大且与漫画反义;D弄清意义是成功关键过度
Q-2025丰台期末-8,S-2025丰台期末,040试卷::Q8=D,选择题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_D_from_040_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,①想象作为思维基本单元(基本单元是概念非想象);③抽象思维错位_本诗用形象不抽象
Q-2025丰台期末-9,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::【答案】D;041细则::Q9=D详解链;queue自带=D详解,选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_D_from_040_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,A联言→特定其他支谬误;B不相容选言谬误;C必要充分条件混淆
Q-2025海淀二模-20,S-2025海淀二模,008(原卷renders/page_07)+009(细则TABLE3)+010(评标实录)+011(讲评PAGE43-44),主观题,思维,L4_LOCKED_FOR_FUSION,answer_LOCKED_FOR_FUSION,rubric_confirmed_A_formal_multi_source,VISUAL_CONFIRMED_LANE_B（LOCKED解除）,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT_YET_GPT_BLOCKED,禁止写成三点全必答；辩证否定≠否定一切；整体性须含联结/综合/系统优化不能只写整体
Q-2025海淀期末-17-1,S-2025海淀期末,paper:015@L103-106; rubric:015@L143-144(inline),主观题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_015_inline,formal_rubric_inline,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,误用辩证思维或创新思维替代客观性丢分
Q-2025海淀期末-18,S-2025海淀期末,paper:015@L110-118; rubric:015@L146-147(inline),主观题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_from_rubric_015_inline,formal_rubric_inline,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT,误用创新思维总称替代逆向/联想会扣分;混淆迁移类型扣分
Q-2025海淀期末-2,S-2025海淀期末,source_015=015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx.txt lines 14-18 (题干+选项); paper answer key C=②③,选择题,思维,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_C_from_paper_key,no_formal_rubric,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT_YET_GPT_BLOCKED,"①""扬弃""=辩证否定观（哲学与文化），是哲学诱惑项而非选必三；④立足成功经验开发更多形式，不构成明确思维方法，非答案"
Q-2025海淀期末-8,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Table7_Q8=D,选择题,推理,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,answer_confirmed_D_from_015_paper,rubric_confirmed,text_extraction_clear,excerpt_present,choice_options_or_subjective_prompt_present,NO_STUDENT_DRAFT,"A三段论中""小王饲养的狗""非""饲养动物""严格中项实际有效但结论已含;B中国与东亚_中国是东亚一部分但作为概念是种属关系成立(实际成立但答C选);C轻率概括违反归纳谨慎_应是""四概念""或属性混淆"
Q-2025西城二模-16-2,S-2025西城二模,037 lines 186-191; 038 lines 18-19,主观题,推理,L4_LOCKED_FOR_FUSION,无法确定一定有岩松鼠行动；充分条件假言判断后件真不能确定前件真,rubric_confirmed_A_formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT_YET_GPT_BLOCKED,后件真≠前件真；条件①(勺鸡雕鸮)与岩松鼠无关
Q-2025西城二模-16-3,S-2025西城二模,037 lines 192-193; 038 line 22,主观题,思维,L4_LOCKED_FOR_FUSION,调整种植结构等，运用创新思维改变创造条件、建立新的具体联系,rubric_confirmed_A_formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,excerpt_present,subjective_prompt_present,NO_STUDENT_DRAFT_YET_GPT_BLOCKED,不是推理题；A/B分类冲突由子问拆分解决
