rubric_atom_id,question_id,rubric_or_answer_phrase,evidence_type,evidence_level,plain_reward_description,related_material_atom_ids,what_expression_is_rewarded,what_judgment_student_must_make_before_writing,legal_knowledge_or_rule_if_explicit,value_expression_if_explicit,knowledge_material_value_type,can_be_written_without_material,source_locator,uncertainty
R_CC0150_2025_朝阳_二模_20_12,CC0150_2025_朝阳_二模_20,（1）从中国的发展需要角度看： 我国周边国家众多，开创周边工作新局面，是实现发展繁荣的重要基础，是维护国家安全的重点，是运筹外交全局的首要，是推动构建人类命运共同体的关键。 必要性①：周边国家众多/符合我国与周边国家的地理环境、文化发展的状况/国家形势出现深刻变化 重要性：②经济：实现发展繁荣的基础/提高我国开放型经济水平,marking_rubric,formal,（1）从中国的发展需要角度看： 我国周边国家众多，开创周边工作新局面，是实现发展繁荣的重要基础，是维护国家安全的重点，是运筹外交全局的首要，是推动构建人类命运共同体的关键。 必要性①：周边国家众多/符合我国与周边国家的地理环境、文化发展的状况/国家形势出现深刻变化 重要性：②经济：实现发展繁荣的基础/提高我国开放型经济水平,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,（1）从中国的发展需要角度看： 我国周边国家众多，开创周边工作新局面，是实现发展繁荣的重要基础，是维护国家安全的重点，是运筹外交全局的首要，是推动构建人类命运共同体的关键。 必要性①：周边国家众多/符合我国与周边国家的地理环境、文化发展的状况/国家形势出现深刻变化 重要性：②经济：实现发展繁荣的基础/提高我国开放型经济水平,判断法律关系/行为性质/责任承担或程序路径(回源细化),,维护,value,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_13,CC0150_2025_朝阳_二模_20,③安全：维护国家安全/为国家发展创造良好的外部环境,marking_rubric,formal,③安全：维护国家安全/为国家发展创造良好的外部环境,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,③安全：维护国家安全/为国家发展创造良好的外部环境,判断法律关系/行为性质/责任承担或程序路径(回源细化),,维护,value,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_14,CC0150_2025_朝阳_二模_20,④政治：运筹外交全局/推动构建人类命运共同体 （以上4个角度，必要性1分，重要性答出任意2个2分，共计3分）,marking_rubric,formal,④政治：运筹外交全局/推动构建人类命运共同体 （以上4个角度，必要性1分，重要性答出任意2个2分，共计3分）,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,④政治：运筹外交全局/推动构建人类命运共同体 （以上4个角度，必要性1分，重要性答出任意2个2分，共计3分）,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_15,CC0150_2025_朝阳_二模_20,（2）从区域的发展需要角度看：,marking_rubric,formal,（2）从区域的发展需要角度看：,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,（2）从区域的发展需要角度看：,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_16,CC0150_2025_朝阳_二模_20,①共同的国家利益是国际合作基础，中国与周边国家有着广泛共同利益/我国坚持独立自主的和平外交政策，维护世界和平，促进共同发展（前述写出任意一个词1分，共1分）,marking_rubric,formal,①共同的国家利益是国际合作基础，中国与周边国家有着广泛共同利益/我国坚持独立自主的和平外交政策，维护世界和平，促进共同发展（前述写出任意一个词1分，共1分）,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,①共同的国家利益是国际合作基础，中国与周边国家有着广泛共同利益/我国坚持独立自主的和平外交政策，维护世界和平，促进共同发展（前述写出任意一个词1分，共1分）,判断法律关系/行为性质/责任承担或程序路径(回源细化),,维护；促进,value,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_17,CC0150_2025_朝阳_二模_20,②经济角度：与周边国家开展贸易，有利于推动我国与周边国家的经济融合，促进共同发展/促进区域经济一体化/促进区域贸易和投资自由化便利化。 （前述写出任意一个词1分，共1分）,marking_rubric,formal,②经济角度：与周边国家开展贸易，有利于推动我国与周边国家的经济融合，促进共同发展/促进区域经济一体化/促进区域贸易和投资自由化便利化。 （前述写出任意一个词1分，共1分）,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,②经济角度：与周边国家开展贸易，有利于推动我国与周边国家的经济融合，促进共同发展/促进区域经济一体化/促进区域贸易和投资自由化便利化。 （前述写出任意一个词1分，共1分）,判断法律关系/行为性质/责任承担或程序路径(回源细化),,促进,value,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_18,CC0150_2025_朝阳_二模_20,③安全、政治角度：与周边国家创新区域合作机制，搭建合作平台，有利于维护地区和平与稳定/维护区域安全，推动构建周边国家命运共同体（1分）。 （前述写出任意1个词1分，共1分） （以上3个角度，共计3分）,marking_rubric,formal,③安全、政治角度：与周边国家创新区域合作机制，搭建合作平台，有利于维护地区和平与稳定/维护区域安全，推动构建周边国家命运共同体（1分）。 （前述写出任意1个词1分，共1分） （以上3个角度，共计3分）,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,③安全、政治角度：与周边国家创新区域合作机制，搭建合作平台，有利于维护地区和平与稳定/维护区域安全，推动构建周边国家命运共同体（1分）。 （前述写出任意1个词1分，共1分） （以上3个角度，共计3分）,判断法律关系/行为性质/责任承担或程序路径(回源细化),,维护,material+value,no,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_19,CC0150_2025_朝阳_二模_20,（3）从世界的发展需要角度看：,marking_rubric,formal,（3）从世界的发展需要角度看：,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,（3）从世界的发展需要角度看：,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_20,CC0150_2025_朝阳_二模_20,①携手周边国家推动建设以合作共赢为核心的新型国际关系，推动国际关系民主化，实现真正的多边主义，推动全球治理变革。（前述任意1个词1分）,marking_rubric,formal,①携手周边国家推动建设以合作共赢为核心的新型国际关系，推动国际关系民主化，实现真正的多边主义，推动全球治理变革。（前述任意1个词1分）,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,①携手周边国家推动建设以合作共赢为核心的新型国际关系，推动国际关系民主化，实现真正的多边主义，推动全球治理变革。（前述任意1个词1分）,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_21,CC0150_2025_朝阳_二模_20,②通过区域经济合作维护推动全球自由贸易/多边贸易/推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。（前述任意1个词1分） （共计2分） 备注：,marking_rubric,formal,②通过区域经济合作维护推动全球自由贸易/多边贸易/推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。（前述任意1个词1分） （共计2分） 备注：,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,②通过区域经济合作维护推动全球自由贸易/多边贸易/推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。（前述任意1个词1分） （共计2分） 备注：,判断法律关系/行为性质/责任承担或程序路径(回源细化),,维护,value,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_22,CC0150_2025_朝阳_二模_20,1.三个角度的答案语言学生可能从不同主体回答，同一个关键词，不重复给分。,marking_rubric,formal,1.三个角度的答案语言学生可能从不同主体回答，同一个关键词，不重复给分。,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,1.三个角度的答案语言学生可能从不同主体回答，同一个关键词，不重复给分。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_23,CC0150_2025_朝阳_二模_20,2.答题逻辑分1分，整体考虑学生的答题语言，规范，无知识错误，答题有层次，否则扣1分，不给满分。,marking_rubric,formal,2.答题逻辑分1分，整体考虑学生的答题语言，规范，无知识错误，答题有层次，否则扣1分，不给满分。,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,2.答题逻辑分1分，整体考虑学生的答题语言，规范，无知识错误，答题有层次，否则扣1分，不给满分。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,规范,value,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
R_CC0150_2025_朝阳_二模_20_24,CC0150_2025_朝阳_二模_20,3.整体把握学生答题语言，堆砌教材知识，没有问题意识，即使所有关键词答到，最多一半分4分。,marking_rubric,formal,3.整体把握学生答题语言，堆砌教材知识，没有问题意识，即使所有关键词答到，最多一半分4分。,M_CC0150_2025_朝阳_二模_20_01|M_CC0150_2025_朝阳_二模_20_02,3.整体把握学生答题语言，堆砌教材知识，没有问题意识，即使所有关键词答到，最多一半分4分。,判断法律关系/行为性质/责任承担或程序路径(回源细化),,,uncertain,uncertain,F0117:text | F0119:page 6 | F0119:page 9,heuristic_atom_split_from_text_layer; needs回源核细则原文 | excluded_v5_9_cross_module_xuanbiyi_not_law
