node_id,node_class,node_name,sentence_template,supporting_question_ids,supporting_rubric_atom_ids,usage_condition,do_not_use_when
FWV1_2_GATE,boundary_gate,边界先判,本工程不把此类题生成选必二核心满分句；只在边界附录记录。,CC0276_2026_房山_二模_17|RECOVER_2026_西城_二模_18_3,R_CC0276_2026_房山_二模_17_01|RECOVER_2026_西城_二模_18_3_R01|RECOVER_2026_西城_二模_18_3_R02|RECOVER_2026_西城_二模_18_3_R03,boundary/open only; not a core full-score template,Do not use as ordinary selected-compulsory-2 core answer.
FWV1_2_N01,core_node,表格一格一答,一格一答：先判格子功能，再填主体+行为+规则+意义。,CC0077_2025_东城_一模_19|CC0084_2025_东城_二模_19|CC0157_2025_朝阳_期末_20|CC0180_2025_海淀_期末_20|CC0325_2026_石景山_一模_18|RECOVER_2026_通州_一模_20|CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0137_2025_昌平_二模_20|RECOVER_2025_海淀_二模_18,R_CC0077_2025_东城_一模_19_02|R_CC0180_2025_海淀_期末_20_M17_06|R_CC0189_2025_石景山_一模_20_02|R_CC0189_2025_石景山_一模_20_03|R_CC0189_2025_石景山_一模_20_04|R_CC0213_2025_门头沟_一模_20_M17_03|R_CC0213_2025_门头沟_一模_20_M17_04|R_CC0213_2025_门头沟_一模_20_M17_07|R_CC0213_2025_门头沟_一模_20_M17_08|R_CC0214_2025_门头沟_一模_20_2_02|R_CC0214_2025_门头沟_一模_20_2_03|R_CC0214_2025_门头沟_一模_20_2_04|R_CC0137_2025_昌平_二模_20_05|R_CC0137_2025_昌平_二模_20_06|R_CC0137_2025_昌平_二模_20_07|R_RECOVER_2025_海淀_二模_18_02|R_RECOVER_2025_海淀_二模_18_03|R_RECOVER_2025_海淀_二模_18_08|R_CC0077_2025_东城_一模_19_03|R_CC0077_2025_东城_一模_19_04|R_CC0084_2025_东城_二模_19_02|R_CC0084_2025_东城_二模_19_03|R_CC0084_2025_东城_二模_19_04|R_CC0084_2025_东城_二模_19_05,完成下表/补充裁判理由/示例行,"必修三化风险：GPT: 高。表格题格子容量有限，空泛价值话常挤掉关键词。; Claude: 高——CC0084_11 明确""还是在说保护'双方的权利''公民的权利'""被扣；法考化风险：GPT: 中。要用准确术语，但不能超出格子任务。; Claude: 低；边界：GPT: 低。题目多为明确法律与生活或法律知识表格任务。; Claude: 低"
FWV1_2_N02,core_node,裁判锚句起手,人民法院以事实为根据、以法律为准绳，依据具体法律……,CC0002_2024_丰台_一模_17|CC0119_2025_丰台_期末_19|CC0251_2026_丰台_一模_20,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0119_2025_丰台_期末_19_M17_01|R_CC0251_2026_丰台_一模_20_01|PATCH_CC0251_R01A_COURT_ANCHOR,法院判决/裁判理由/调解结论,必修三化风险：GPT: 高。只写维护公平正义、促进社会和谐，不写法律规则和材料触发事实，无法拿满分。; Claude: 中等——若仅停在锚句而无后续法律规则定性会被卡在 1 分上限；法考化风险：GPT: 中。可以写构成要件，但必须服务高中评分点，不能扩展到法考式多层抗辩。; Claude: 低；边界：GPT: 低。三个题均有明确法律与生活或民法劳动法触发。; Claude: 低（属选必二裁判合法性表述）
FWV1_2_N03,core_node,评析先表态,先表态，再写法律依据，再写材料事实依据，最后复结论。,CC0305_2026_海淀_一模_18_3|CC0373_2026_顺义_一模_18,R_CC0305_2026_海淀_一模_18_3_P01|R_CC0373_2026_顺义_一模_18_P01|R_CC0373_2026_顺义_一模_18_P04,是否支持/是否有效/是否构成/能否得到法院支持,必修三化风险：GPT: 高。先写意义、后补规则，容易漏掉判决结论和请求层次。; Claude: 低；法考化风险：GPT: 中。细化请求和主体是必要的，过度展开无关责任形态会偏题。; Claude: 中——CC0373 多主体题易过度推理（如夫妻共同财产侵权法理延伸），需克制于教材范畴；边界：GPT: 低到中。CC0305 设问待 OCR 回补，但评分细则清晰指向选必二民事权利与消费者保护。; Claude: 低
FWV1_2_N04,core_node,私法案例四链,定性权利或行为 -> 援引规则 -> 嵌入材料事实 -> 落责任/结果。,CC0150_2025_朝阳_二模_20|CC0244_2026_东城_期末_18|RECOVER_2026_西城_二模_18_1|CC0238_2026_东城_二模_19|CC0364_2026_通州_期末_19_1|CC0143_2025_朝阳_一模_19|CC0317_2026_海淀_期末_18|RECOVER_2026_朝阳_期末_18_1,R_CC0150_2025_朝阳_二模_20_05|R_CC0150_2025_朝阳_二模_20_06|R_CC0150_2025_朝阳_二模_20_07|R_CC0150_2025_朝阳_二模_20_08|RECOVER_2026_西城_二模_18_1_R01|RECOVER_2026_西城_二模_18_1_R02|RECOVER_2026_西城_二模_18_1_R03|R_CC0238_2026_东城_二模_19_M17_01|R_CC0238_2026_东城_二模_19_M17_02|R_CC0238_2026_东城_二模_19_M17_03|R_CC0238_2026_东城_二模_19_M17_04|PATCH_CC0364_R01|PATCH_CC0364_R02|PATCH_CC0364_R03|PATCH_CC0364_R04|PATCH_CC0364_R05|PATCH_CC0364_R06|PATCH_CC0364_R07|PATCH_CC0143_CONTRACT_CHAIN_R01|PATCH_CC0143_CONSUMER_TRIPLE_COMP_R02|R_CC0143_2025_朝阳_一模_19_02|R_CC0143_2025_朝阳_一模_19_03|R_CC0143_2025_朝阳_一模_19_04|R_CC0143_2025_朝阳_一模_19_05|R_CC0143_2025_朝阳_一模_19_07|R_CC0143_2025_朝阳_一模_19_08|R_CC0143_2025_朝阳_一模_19_09|R_CC0150_2025_朝阳_二模_20_09|R_CC0150_2025_朝阳_二模_20_10|R_CC0150_2025_朝阳_二模_20_11|PATCH_CC0251_R01B_PUBLIC_PLACE_RULE|PATCH_CC0251_R01C_FACT_NO_FAULT|R_RECOVER_2026_朝阳_期末_18_1_01|R_CC0244_2026_东城_期末_18_03|R_CC0244_2026_东城_期末_18_05,分析案例/判决理由；材料是合同、侵权、相邻、消费欺诈、责任承担,"必修三化风险：GPT: 中。侵权题价值话可作收束，但责任类型错误会造成核心失分。; Claude: 低；法考化风险：GPT: 高。容易把高中要求扩成法考构成要件清单，或错套过错推定、无过错责任。; Claude: 中——CC0244_08 显式提醒""债权与物权不要混同，这道题不涉及物权变动的分析""；学生过度细化诉权细节属过度法考化；边界：GPT: 低。侵权责任是选必二核心。; Claude: 低"
FWV1_2_N05,core_node,知识产权竞争保护链,定性行为 -> 援引知识产权或反不正当竞争规则 -> 写法院手段 -> 收束创新和竞争秩序。,CC0131_2025_房山_一模_19|CC0206_2025_西城_期末_19|CC0229_2026_东城_一模_18|CC0283_2026_朝阳_一模_18|CC0319_2026_海淀_期末_19|CC0103_2025_丰台_一模_19,R_CC0131_2025_房山_一模_19_02|R_CC0131_2025_房山_一模_19_03|R_CC0131_2025_房山_一模_19_05|R_CC0131_2025_房山_一模_19_06|R_CC0206_2025_西城_期末_19_01|R_CC0229_2026_东城_一模_18_03|R_CC0229_2026_东城_一模_18_05|R_CC0229_2026_东城_一模_18_07|R_CC0283_2026_朝阳_一模_18_02|R_CC0283_2026_朝阳_一模_18_03|R_CC0283_2026_朝阳_一模_18_04|R_CC0283_2026_朝阳_一模_18_05|R_CC0319_2026_海淀_期末_19_01|R_CC0103_2025_丰台_一模_19_01,知识产权、不正当竞争、恶意诉讼、惩罚性赔偿、司法保护创新,必修三化风险：高，创新生态和营商环境必须落到具体主体与秩序；法考化风险：高，惩罚性赔偿和不正当竞争不能写成完整法考构成清单；边界：低到中，创新和营商环境表达需限定在司法保护与市场秩序
FWV1_2_N06A,core_node,法律边界识别与合规措施,风险事实 -> 法律边界 -> 合规措施，一项风险对应一项措施。,CC0092_2025_东城_期末_19_1|CC0277_2026_房山_二模_18,R_CC0092_2025_东城_期末_19_1_01|R_CC0277_2026_房山_二模_18_04|R_CC0277_2026_房山_二模_18_05|R_CC0277_2026_房山_二模_18_06,法律问题、法律边界、应对措施、合规建议。,不能写成普通协商仲裁诉讼，也不能空写科技向善。
FWV1_2_N06B,core_node,维权准备与诉讼请求,程序路径 + 证据准备 + 实体请求/责任承担。,CC0245_2026_东城_期末_18_2|CC0289_2026_朝阳_二模_18|RECOVER_2024_东城_二模_19_1|RECOVER_2026_延庆_一模_18_1,PATCH_CC0245_R01A_REMEDY_PATH|PATCH_CC0245_R01B_EVIDENCE_PREP|PATCH_CC0245_R01C_REASONABLE_REQUEST|R_CC0289_2026_朝阳_二模_18_04|R_CC0289_2026_朝阳_二模_18_06|R_CC0289_2026_朝阳_二模_18_08|RECOVER_2024_东城_二模_19_1_R01|RECOVER_2024_东城_二模_19_1_R02|RECOVER_2024_东城_二模_19_1_R03|RECOVER_2026_延庆_一模_18_1_R01|RECOVER_2026_延庆_一模_18_1_R02|RECOVER_2026_延庆_一模_18_1_R03,如何维权、需要做好哪些工作、诉讼请求、承担何种责任。,不能把上诉、行政诉讼、笼统维权写进民事纠纷。
FWV1_2_N06C,core_node,调解方案与合同诚信理由,调解结果 + 诚信原则/合同解除/证据意识 + 材料事实。,CC0125_2025_延庆_一模_19,R_CC0125_2025_延庆_一模_19_M17_01|R_CC0125_2025_延庆_一模_19_M17_02|R_CC0125_2025_延庆_一模_19_M17_03|R_CC0125_2025_延庆_一模_19_M17_04|R_CC0125_2025_延庆_一模_19_M17_05,调解方案、调解理由。,不能只写息事宁人，也不能把调解题写成法院判决书。
FWV1_2_N06D,core_node,公益诉讼与司法确认,主体合法性/公益利益 + 多元解纷 + 司法确认效力。,RECOVER_2026_门头沟_一模_18_1,RECOVER_2026_门头沟_一模_18_1_R01|RECOVER_2026_门头沟_一模_18_1_R02|RECOVER_2026_门头沟_一模_18_1_R03,公益诉讼、多元纠纷解决、司法确认意义。,不能直接套普通私权维权的停止侵害、赔偿损失模板。
