module,subsection,core_point,ordinal,source_label,title_tail,card_id,evidence_status,paper_found,rubric_found,card_path,什么时候写,设问,得分层次,卷面句,同题组,prompt_check,score_check,surface_check,qa_flags
时代背景,机遇,和平与发展仍是时代主题,8,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目要求分析中国特色大国外交更有作为的必要性，材料呈现“构建周边命运共同体—妥善管控矛盾分歧—让人民远离冲突和战争—共建安宁家园—培育战略互信”的关系链，要求从时代主题和中国外交的共同体目标说明主动作为的理由。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,和平与发展是当今时代的主题，中国携手周边国家共建和平家园、安宁家园，妥善管控矛盾分歧，扩大共同利益，有利于推动周边命运共同体建设和全球治理更加公正合理。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
时代背景,机遇,和平与发展仍是时代主题,9,2026海淀期中Q22(1),,2026_海淀_期中_Q22_1,BLOCKED_SOURCE_GAP,NO,NO,,题目问全球治理倡议为何能获得国际社会认同，实质是在追问倡议的正当性和时代基础；全球治理处于十字路口，说明回答必须先判断它顺应和平、发展、合作的世界大势，而不是只复述倡议内容。,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）,,全球治理倡议顺应和平与发展的时代潮流，符合世界各国人民的共同愿望，因此能够获得国际社会广泛认同。,（本题6分）,NO_MATCH,EMPTY,NO_MATCH,NO_CONFIRMED_CARD;PROMPT_NOT_IN_CARD
理论,合作,维护国家利益是主权国家对外活动的出发点和落脚点,3,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,题目追问“捍卫国家利益”为什么构成大国外交更有作为的理由，材料呈现“维护国家主权、安全、发展利益”的关系链，触发国家利益理论作为中国特色大国外交主动作为的重要依据。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,国家利益是国际关系的决定性因素，维护国家利益是主权国家对外活动的出发点和落脚点。中国必须坚定维护国家主权、安全、发展利益，因此中国特色大国外交要更有作为。,（本题8分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,共享经济全球化成果，促进世界经济共同繁荣,1,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,材料要求从中国特色大国外交的世界意义作答，经济维度不仅要写开放合作，还要写共享成果和共同繁荣。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,中国推动经济全球化成果共享，有利于让更多国家分享开放合作机遇，缩小发展差距，促进世界经济共同繁荣。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢方向发展,6,2025西城一模Q21,,2025_西城_一模_Q21,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q21.md,第（2）问要求举例说明中国提供的国际公共产品，若举“一带一路”，就要把它同国际经济合作机会和经济全球化正确方向连接起来。,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）,按设问分层：第(1)问6分；第(2)问2分。,共建“一带一路”为共建国家参与国际经济合作提供机遇，推动经济全球化向更加开放、包容、普惠、平衡、共赢的方向发展。,（本题8分）,EXACT,NO_MATCH,PARTIAL,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,建设开放型世界经济，扩大开放合作,1,2026朝阳期末Q20,,2026_朝阳_期末_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_朝阳_期末_Q20.md,材料写高水平对外开放、高质量共建“一带一路”、维护多边贸易体制，说明中国主动作为的经济落点是开放合作和开放型世界经济。,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。,8分；和平发展、政治、经济、我国国家利益四个角度各2分，每个角度按背景1分+目标1分处理。,中国坚持高水平对外开放、高质量共建“一带一路”，有利于建设开放型世界经济，促进开放合作、互利共赢和世界经济共同繁荣。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,利用两个市场两种资源优化全球资源配置,6,2026海淀一模Q20,中国标准走出国门撬动两个市场两种资源,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,"题面强调国际标准是全球产业界的""通用语言""，列出中国向ISO、IEC提交大量提案、在低碳能源和人工智能等领域牵头制定国际标准；标准走出国门把国内技术、产品、规则与国际市场、规则双向打通，设问问""意义""，必须从中国如何借标准联通调动跨境市场和资源切入。",结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,中国标准走出国门，有利于更好利用国内国际两个市场、两种资源，推动中国与世界在技术、产业、规则上深度互动、共享发展。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
经济全球化,国：成员国和相关国家发展,内外联通畅通国内国际双循环，提升国际循环质量,1,2025西城一模Q18,,2025_西城_一模_Q18,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2025_西城_一模_Q18.md,"设问问地区如何利用国内外资源""开拓海外市场""""提升国际循环质量""。要回答从国内市场延伸到国际市场的对外开放结构，必须用""两个市场两种资源／国际国内双循环""把国内端、国际端接成一条循环——只讲产业内部升级不能回答""国际循环质量提升""。",结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明特色产业链如何利用国内外资源开拓海外市场。,,地区利用特色资源优势打造特色产业链，借助便捷交通和高水平物流体系内外联通，畅通国际国内双循环，与其他国家合作共赢，使经济发展的内生动力与国际循环质量不断提升。,,NO_MATCH,EMPTY,NO_MATCH,PROMPT_NOT_IN_CARD
经济全球化,【判别标注】 本点回答“参与全球经济治理、完善经贸规则”的制度治理层；下一条“参与国际标准制定，提升国际规则话语权”回答标准和话语权层，两者不可合并成一个标题。,积极参与全球经济治理和经贸规则完善,3,2026海淀一模Q20,,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,中国标准走出国门题出现 ISO、IEC 提案和牵头制定国际标准，设问要求谈意义，要把中国从规则接受者转为规则共建者的角色变化写出来。,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,中国标准走出国门，体现我国主动参与国际标准供给和全球经济治理规则完善，有利于提升中国在全球经济治理中的参与度和贡献度。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
经济全球化,【判别标注】 本点回答“参与全球经济治理、完善经贸规则”的制度治理层；下一条“参与国际标准制定，提升国际规则话语权”回答标准和话语权层，两者不可合并成一个标题。,参与国际标准制定，提升国际规则话语权,2,2026海淀一模Q20,中国标准与全球经济治理参与,2026_海淀_一模_Q20,RAW_CARD_READY,YES,YES,/Users/wanglifei/GaokaoPolitics/beijing-politics-sync/reports/选必一_哲学宝典式重建_2026-05-16/27_from_zero_source_locked_rebuild_20260531/02_source_cards/raw_cards/2026_海淀_一模_Q20.md,"材料显示中国不只是被动接受国际标准，而是主动向ISO、IEC提交提案、参与并牵头制定多领域国际标准；设问问中国标准走出国门的意义，必须把中国从""标准接受者""转为""规则共建者""这一角色变化讲出来。",结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。,8分；角度1对我国3分，角度2对世界经济3分，角度3对全球治理2分。,我国主动向国际标准化组织贡献提案并牵头制定多领域国际标准，积极参与全球经济治理和规则制定。,（本题8分）,EXACT,NO_MATCH,NO_MATCH,SCORE_TEXT_NOT_IN_CARD
