题源,question_id,证据等级,设问入口,命中框架,材料信息,法律翻译,细则喜欢的话
2024朝阳二模 第17题,2024朝阳二模__Q17,正式给分口径,问理由/诉求/裁判理由,问裁决理由 + 平台用工三从属性 + 意义价值,平台派单并用制度奖惩王某,人格从属性,劳动者受平台管理，不能只看合同名称
2024朝阳二模 第17题,2024朝阳二模__Q17,正式给分口径,问理由/诉求/裁判理由,问裁决理由 + 平台用工三从属性 + 意义价值,平台掌握运输数据信息并单方制定结算标准,经济从属性,生产资料和收入规则受平台控制
2024朝阳二模 第17题,2024朝阳二模__Q17,正式给分口径,问理由/诉求/裁判理由,问裁决理由 + 平台用工三从属性 + 意义价值,运输服务属于甲公司业务组成，王某以平台名义服务,组织从属性,三性结合，认定事实劳动关系
2024海淀二模 第19题,2024海淀二模__Q19,正式给分口径,问理由/诉求/裁判理由,问社会价值 + 遗赠扶养协议 + 养老规则,居委会与曹某签订养老至寿终协议,遗赠扶养协议,协议符合法律规定则有效
2024海淀二模 第19题,2024海淀二模__Q19,正式给分口径,问理由/诉求/裁判理由,问社会价值 + 遗赠扶养协议 + 养老规则,居委会按约定长期照看并承担扶养义务,履行协议义务,履行扶养义务后可按协议取得遗产
2024海淀二模 第19题,2024海淀二模__Q19,正式给分口径,问理由/诉求/裁判理由,问社会价值 + 遗赠扶养协议 + 养老规则,子女与居委会发生继承争议,协议继承优先于直接均分,弘扬尊老助老，鼓励多元养老
2024西城一模 第18题,2024西城一模__Q18,正式给分口径,问评析,问认识/评析 + 赡养义务 + 法律促进道德,郭某年事已高，希望儿子多陪伴,赡养不仅是给钱,赡养包括经济供养、生活照料、精神慰藉
2024西城一模 第18题,2024西城一模__Q18,正式给分口径,问评析,问认识/评析 + 赡养义务 + 法律促进道德,法院未支持赡养费但发出告知书,实体请求与行为引导分开,用柔性司法保护老人合法权益
2024西城一模 第18题,2024西城一模__Q18,正式给分口径,问评析,问认识/评析 + 赡养义务 + 法律促进道德,三个儿子均为成年人,成年子女负有赡养父母义务,法律促进孝老敬亲和道德建设
2025东城一模 第17题,2025东城一模__Q17,正式给分口径,问意义/价值/作用,问法治作用 + 数字经济 + 立法执法司法,数据权属关系不清,立法补规则,推进数据产权立法，明确权利义务
