target_id,suite,qno,section_scope,tranche,reason,source_locator
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(1)
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(2)
Q-2024朝阳一模-21,S-2024朝阳一模,21,推理,Batch02_Tranche_A_reasoning_cross_formal,targeted Lane B verification for A-only subjective/high-number question,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q21
Q-2024朝阳一模-7,S-2024朝阳一模,7,思维,Batch02_Tranche_C_answer_pairing,field-level diff cleanup during fusion,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q7
Q-2024朝阳一模-9,S-2024朝阳一模,9,思维,Batch02_Tranche_C_answer_pairing,answer pairing / targeted verification if in-scope after canonical check,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q9
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q16(1)
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q16(2)
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),交叉,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1)
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),交叉,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2)
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),交叉,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(3)
Q-2024朝阳二模-6,S-2024朝阳二模,6,推理,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q6
Q-2024朝阳二模-7,S-2024朝阳二模,7,交叉,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q7
Q-2024朝阳期中-1,S-2024朝阳期中,1,推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q1
Q-2024朝阳期中-11,S-2024朝阳期中,11,推理,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q11
Q-2024朝阳期中-18,S-2024朝阳期中,18,推理,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q18
Q-2024朝阳期中-19,S-2024朝阳期中,19,交叉,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q19
Q-2024朝阳期中-5,S-2024朝阳期中,5,推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q5
Q-2024朝阳期中-7,S-2024朝阳期中,7,推理,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q7
Q-2024朝阳期中-8,S-2024朝阳期中,8,推理,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q8
Q-2024朝阳期中-9,S-2024朝阳期中,9,交叉,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q9
Q-2024海淀二模-14,S-2024海淀二模,14,推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q14
Q-2024海淀二模-16,S-2024海淀二模,16,推理,Batch02_Tranche_A_reasoning_cross_formal,targeted Lane B verification for A-only subjective/high-number question,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q16
Q-2024海淀二模-17-1,S-2024海淀二模,17(1),思维,Batch02_Tranche_C_answer_pairing,answer pairing / targeted verification if in-scope after canonical check,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(1)
Q-2024海淀二模-17-2,S-2024海淀二模,17(2),思维,Batch02_Tranche_C_answer_pairing,answer pairing / targeted verification if in-scope after canonical check,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(2)
Q-2024海淀二模-4,S-2024海淀二模,4,推理,Batch02_Tranche_A_reasoning_cross_formal,answer pairing / targeted verification if in-scope after canonical check,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q4
Q-2024海淀二模-6,S-2024海淀二模,6,推理,Batch02_Tranche_A_reasoning_cross_formal,field-level diff cleanup during fusion,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q6
