question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck
Q-2025东城期末-1,S-2025东城期末,1,选择题,excluded,excluded,答案D；十一届/十四届/二十届三中全会与改革开放→改革开放是坚持发展中国特色社会主义的必由之路，属必修一中特；非选必三思维。,no
Q-2025东城期末-2,S-2025东城期末,2,选择题,excluded,excluded,答案D；邓小平理论是中特理论体系的奠基之作，属必修一中特；非选必三思维。,no
Q-2025东城期末-3,S-2025东城期末,3,选择题,excluded,excluded,答案B；优秀人物事迹转化为推动社会发展的物质力量，属必修四文化作用；非选必三思维。,no
Q-2025东城期末-4,S-2025东城期末,4,选择题,excluded,excluded,答案A；汉字笔画对立统一彰显汉字之美+笔画蕴含精神向往，属必修四矛盾观+文化；非选必三思维。,no
Q-2025东城期末-5,S-2025东城期末,5,选择题,blocked,入正文,答案C(②④)；社区道路改造，②整体性+动态性、④矛盾分析法均为选必三辩证思维；①自在联系(联系观陷阱)、③辩证否定(辩证否定观陷阱)为典型混淆。可入选必三辩证思维 choice trap。,yes
Q-2025东城期末-6,S-2025东城期末,6,选择题,excluded,excluded,答案C；全国人大常委会立法权+科学民主立法+草案公开征求意见，属必修三政治与法治；非选必三思维。,no
Q-2025东城期末-7,S-2025东城期末,7,选择题,excluded,excluded,答案B(①④)；宏观调控+优化营商环境+鼓励技术研发，属必修二经济与社会传导路径；非选必三思维。,no
Q-2025东城期末-8,S-2025东城期末,8,选择题,excluded,excluded,答案B；外资准入新办法→拓宽外资投资渠道营造公平投资环境，属必修二经济与社会更高层次开放型经济；非选必三思维。,no
Q-2025东城期末-9,S-2025东城期末,9,选择题,excluded,excluded,答案A；金砖国家+和平发展共赢愿望，属选必一国政经和平与发展；非选必三思维。,no
Q-2025东城期末-10,S-2025东城期末,10,选择题,excluded,excluded,答案C；中国在联合国'全球发展倡议之友'小组+中国方案凝聚国际共识，属选必一国政经；非选必三思维。,no
Q-2025东城期末-11,S-2025东城期末,11,选择题,excluded,excluded,答案C(②④)；数据知识产权登记证书+举证难度降低+协同保护机制，属选必二法律与生活+政治与法治；非选必三思维。,no
Q-2025东城期末-12,S-2025东城期末,12,选择题,excluded,excluded,答案A；民法典合同/遗赠扶养/抵押质押，属选必二法律与生活；非选必三思维。,no
Q-2025东城期末-13,S-2025东城期末,13,选择题,blocked,入正文,答案B(①③)；三段论推理违反相同逻辑规则，①③共同犯中项不周延错误；②犯大项不当扩大；④犯四概念错误。可入选必三推理-三段论 choice trap。,yes
Q-2025东城期末-14,S-2025东城期末,14,选择题,blocked,入正文,答案D；性质判断及关系判断综合题。A属种关系/整体部分关系混淆；B'位于'反对称关系；C外延一致性混淆；D简单肯定判断谓项不周延(正解)。可入选必三判断章 choice trap。,yes
