patch_id,target_file,target_id,question_id,patch_type,current_value,suggested_value,reason,evidence_level_impact,source_locator,must_fix_before_reasoner
MP_0001,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0019_2024_朝阳_一模_19_01,CC0019_2024_朝阳_一模_19,source_check_needed,19.（7分） 社会主义市场经济本质上是法治经济。,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0014:text | F0239:text,yes
MP_0002,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0019_2024_朝阳_一模_19_02,CC0019_2024_朝阳_一模_19,source_check_needed,民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0014:text | F0239:text,yes
MP_0003,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0019_2024_朝阳_一模_19_03,CC0019_2024_朝阳_一模_19,source_check_needed,诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0014:text | F0239:text,yes
MP_0004,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0019_2024_朝阳_一模_19_04,CC0019_2024_朝阳_一模_19,source_check_needed,"司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。",重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0014:text | F0239:text,yes
MP_0005,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0019_2024_朝阳_一模_19_05,CC0019_2024_朝阳_一模_19,source_check_needed,诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0014:text | F0239:text,yes
MP_0006,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0019_2024_朝阳_一模_19_06,CC0019_2024_朝阳_一模_19,source_check_needed,这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0014:text | F0239:text,yes
MP_0007,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0092_2025_东城_期末_19_1_01,CC0092_2025_东城_期末_19_1,source_check_needed,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定；,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes
MP_0008,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0092_2025_东城_期末_19_1_02,CC0092_2025_东城_期末_19_1,source_check_needed,• 改变公有部分用途的法律程序问题；,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes
MP_0009,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0092_2025_东城_期末_19_1_03,CC0092_2025_东城_期末_19_1,source_check_needed,• 涉及民法典对公共区域功能改变的规定；,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes
MP_0010,merged_material_atoms_subjective_for_reasoners_claudecode_corrected.csv,M_CC0092_2025_东城_期末_19_1_04,CC0092_2025_东城_期末_19_1,source_check_needed,• 思路2.充电桩方案的具体内容涉及哪些权利？,重抽：从试卷案件材料原文重建 material atoms；当前 atom 来源于细则/答案文本,原 material_text 被细则/答案污染,no_level_change_if_re-extracted,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes
