suite_id,question,parent_question,old_book_module,new_book_module,old_status,new_status,rule_id,matched_terms,prompt_source,prompt
2024_东城_一模,5,,UNKNOWN_OR_MIXED,B3_POLITICS_RULE_OF_LAW,blocked,included,B3_EXPLICIT_POLITICS_PROMPT,城市治理,ocr-cache,"近年来,北京市坚持“慢行优先、公交优先、绿色优先”交通发展理念,大力倡导和推 进慢行系统发展,鼓励和支持市民更多采用“步行十自行车骑行”方式出行,同时,加 强交通秩序管理,规范车辆出行和停放。慢行系统建设 1突出城市治理的创新,推动城市功能转变 2优化重组公共交通系统,扩大了城市空间 3要有效杜绝随意执法,恰当行使自由裁量权 4要完善政策法规,推动路权分配向行人和非机动车倾斜 A. 12 B. 13 C.24 D.34"
2024_东城_一模,8,,UNKNOWN_OR_MIXED,XB3_EXCLUDED,blocked,module-boundary-excluded,XB3_LOGIC_PROMPT,"当且仅当,选科情况",ocr-cache,"某班主任欲了解四位同学的选科情况。现已得知: 1只有小徐选物理,小赵才选地理;2或者小李选政治,或者小王选政治; 3当且仅当小孙选政治,小李选政治;4如果小王选政治,那么小赵选地理。 随后,班主任又得知了某一信息,他据此必然得出“小李选政治”的结论。该信息是 A. 小孙未选政治 B. 小赵选地理 C. 小王选政治 D. 小徐未选物理"
2024_东城_二模,1,,UNKNOWN_OR_MIXED,B4_CULTURE,blocked,included,B4_CULTURE_PROMPT,"博物馆,公共文化服务,文化服务,文化内涵,大思政课,启智润心",ocr-cache,"“大思政课”我们要善用之,一定要跟现实结合起来。 思政课不仅应该在课堂上讲,也应该在社会生活中来讲。 把思政小课堂同社会大课堂结合起来。 —习近平 实践教学基地。 网页跳转,历史文化跃然眼前 指尖轻点,思政奥妙纷至沓来 虚拟展馆 数字展馆。 16区 200余个 实践教学基地 天行8 窈粉 北京市“大思政课”实践教学基地数字地图 前门议事厅、12345市民热线服务中心、北京国子监博物馆、北大红楼⋯⋯目前,在 北京市“大思政课”实践教学基地数字地图上,分布于全市16区的200余个实践教 学基地已全部点亮。这一举措 1联通过去与未来,丰富首都文化内涵 2实现数字赋能传统教育,提供差异化公共文化服务 3激活京华大地鲜活课堂,为“大思政课”注入源头活水 4强化实践资源供给,启智润心,引领学生成长与时代发展同频共振 A.12 B. 13 C.24 D.34"
2024_东城_二模,5,,UNKNOWN_OR_MIXED,B3_POLITICS_RULE_OF_LAW,blocked,included,B3_EXPLICIT_POLITICS_PROMPT,"居委会,政府部门、居委会",ocr-cache,"近期,与电动自行车相关的火灾事故时有发生,牵动人心。由于未设置电动自行车 统一充电设施,某小区居民将蓄电池带上楼充电或者拉“飞线”到楼下充电,造成严 重安全隐患。防范化解这一问题 1物业服务公司应严格规范罚款标准,依法惩治小区“飞线”充电行为 2政府部门、居委会和企业等多方协同,完善公共充电配套设施 3社区应行使社会管理职能,与电动自行车车主签订《小区规范充电协议》 4全体居民集体行使基层公共事务的管理权,加强对电动车充电的管理和巡查 A. 12 B. 13 C.24 D.34"
2024_丰台_一模,14,,UNKNOWN_OR_MIXED,B2_ECONOMICS,blocked,included,B2_EXPLICIT_ECONOMICS_PROMPT,物流,reference-answer,"中间品是指生产过程中用于生产其他商品和服务的产品,包括生产过程中的原材料、零部件、半成品 等。它是连接全球产业上下游的重要纽带。关于拓展中间品贸易的传导路径,下列理解正确的是 1引导中间品生产企业“走出去”→充分利用国内外资源→增强国内外联动效应 2加强数据驱动的市场分析 →减少中间品贸易竞争 →上下游产业协同发展 3推进区域合作 →促进贸易投资自由化便利化 →加速中间品贸易周转 4 完善国际物流基础设施建设 →优化库存管理 →提升中间品质量 A.12 B.13 C.24 D.34"
2024_丰台_二模,14,,UNKNOWN_OR_MIXED,XB1_EXCLUDED,blocked,module-boundary-excluded,XB1_INTERNATIONAL_PROMPT,"国际贸易,进出口贸易,多党制国家,关税,对外贸易,贸易自由化",ocr-cache,"某多党制国家即将举行大选,目前有四个主要政党竞争激烈。这些政觉分别代表了不 同的经济利益集团和社会阶层。假设该国经济高度依赖国际贸易,以下政党的主张最 有可能获得进出口贸易企业支持的是 A. 甲觉:主张提高最低工资标准,强化劳动保护法规,支持工会组织集体谈判 B. 乙觉:主张增加公共支出以促进国内基础设施建设,提高关税保护本国的产业 C. 丙觉:主张环境保护和可持续发展政策,提倡减少碳排放和支持绿色能源项目 D.丁党:主张降低关税,加强与他国的贸易合作,推动对外贸易自由化便利化"
2024_朝阳_期中,6,,UNKNOWN_OR_MIXED,B4_CULTURE,blocked,included,B4_CULTURE_PROMPT,探月精神,paper,"20 年来,我国的探月工程聚焦关键核心技术领域持续攻关,在科学发现、技术创新、工 程实践、成果转化、国际合作等方面取得丰硕成果,走出一条高质量、高效益的月球探测 之路,为我国航天事业发展、为人类探索宇宙空间作出了重大贡献。 下列说法正确的是 1探月工程成果展示了我国在创新科技发展规律上取得的显著成就 2我国的月球探测走出了一条兼顾质量和效益的中国特色发展之路 3关键核心技术领域的持续攻关决定了我国航天事业发展的性质和方向 4弘扬探月精神有利于增强中华儿女的民族自尊心、自信心和自豪感 A. 12 B. 13 C. 24 D. 34"
2024_海淀_一模,14,,UNKNOWN_OR_MIXED,XB1_EXCLUDED,blocked,module-boundary-excluded,XB1_INTERNATIONAL_PROMPT,美国总统大选,paper,"美国总统大选,无论是民主党还是共和党都将选举和选民议题作为政策出发点,去迎合选民, 追求当下利益的最大化,加剧了两党之间的激烈对抗,导致社会撕裂程度日益加深。这说明 1政党作为选民利益的代表,力求以民主方式保障选民利益 2两党之间根本利益的分歧,破坏了社会的凝聚力和稳定性 3在美国政党制度下,政党争取执政的主要手段是参加选举 4选举政治被两党政治所裹挟,使民主从目的沦为党争手段 A.12 B.13 C.24 D.34"
2024_海淀_二模,16,,UNKNOWN_OR_MIXED,B4_PHILOSOPHY_EXCLUDED,blocked,module-boundary-excluded,B4_PHILOSOPHY_PROMPT,"从哲学角度,哲学角度",paper,"(6分)以调频促同频,同频共振,同向同行。 在物理学中,频道又称信道,是信号在通信系统中传输的通道,频道不同,传输的信号就不一样。同频指的是两个或多个声波在频率上相同,从而产生共振现象。 人与人的“频道”不同,对事物的看法、判断就不一样。在人际关系和社交领域,同频通常指的是人们之间在思想、价值观、生活方式或行为上有共同点,能够相互理解和共鸣。因此,小到个人生活相处,大到国家社会发展,都需要“以调频促同频”。 结合材料,从哲学角度,谈谈为什么要“以调频促同频”。"
2024_海淀_二模,5,,UNKNOWN_OR_MIXED,XB3_EXCLUDED,blocked,module-boundary-excluded,XB3_LOGIC_PROMPT,"求异法,求同法,共变法,剩余法",paper,"清洗后在阳光下自然晒干的衣服上似乎有种格外好闻的气味。研究者为探究这一现象背后的原因,找来棉质新毛巾,用超纯水多次洗涤,然后将湿毛巾分别放在有阳光的室外、阳光被遮挡的室外以及室内环境中自然干燥。结果,在室外阳光下晒干的毛巾上发现一系列独特的“香气分子”,这些气味分子大多是含有5-9个碳原子的小分子醛与酮。这个实验中,研究者探求因果联系运用的方法是 A.求异法 B.求同法 C.共变法 D.剩余法"
