idx,original_node,final_node,title,refined_verdict,action_applied,removed_note_count,removed_notes
1,追求认识的客观性,追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,PASS_CORE_SUPPORTED,no_change,0,
2,追求认识的客观性,追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,P3_PROMPT_MINOR_DELTA,no_change,0,
3,追求认识的客观性,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,P2_PROMPT_RESTORE_EXACT,removed_audit_note_blocks;restored_subquestion_number_and_score_from_source,1,"【提示】""分段规划/分阶段目标""应归预见性条目（见下）；原细则赋分：科学思维三特征2分+客观性""从实际出发""1分+预见性""分段规划""1分+可检验性""实践检验""1分=5分。"
4,追求认识的客观性,追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,P1_NOTE_REPHRASE_FRAMEWORK,removed_audit_note_blocks;rejected_framework_expansion_note_kept_science_objectivity_under_user_framework,1,"【提示】原细则答案示例同时提了""追求认识的客观性 + 创新思维(思路新、方法新、探索性) + 整体性(分阶段实施)""三个角度，仅写客观性一个角度只得3分，建议补创新和整体性。"
5,追求认识的客观性,追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则赋分(6分)：逻辑错误(划分标准不一、选言判断遗漏)2分+建议(科学思维/逻辑思维规则/辩证思维 三角度任选两条，每条建议1分+知识1分)4分。
6,追求认识的客观性,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,PASS_CORE_SUPPORTED,no_change,0,
7,追求认识的客观性,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【阅卷红线】卷面具体方法必须写""问卷调查法/访谈法/抽样调查法/文献查找法""等具体名称，不可写""发散思维""""超前思维""等大词；2个方法各1分+2个理由各2分=6分。"
8,追求认识的客观性,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则21(1)按3角度赋分(9分)：①辩证思维(辩证否定/整体性/动态性/分析与综合 四选一)1+材料1+1=3分；②创新思维(联想/发散/超前 四选二)1+材料1+1=3分；③科学思维客观性or预见性(二选一)1+材料1+1=3分。完整答案需写三个角度。
9,追求认识的客观性,追求认识的客观性,9. 2025西城一模 第17题（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,"【提示】原细则按""客观性 + 辩证思维(整体性、联系、发展) + 创新思维""三个角度赋分(7分)，仅写一个角度最多3分，写两个角度5分，三个角度+至少一点深入才能拿到6-7分。"
10,追求认识的客观性,追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,P3_NOTE_VALIDITY_NOT_FULLY_BLOCKING_MOVE_TO_AUDIT,removed_audit_note_blocks,1,【提示】原细则按三个角度赋分(7分)：①科学思维特征(客观性)；②辩证思维(全面、发展观点)；③创新思维(三新或逆向思维)。仅写一个角度最多3分，三个角度+至少一点深入才能拿到6-7分。
