sample_id,suite,question,module_target,source_role,source_path,method,char_count,pattern_hit_count,status,text_file,hit_file
HS01,2026顺义一模,Q19(2),思维-科学思维,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,fitz_text_plus_pattern_page_render,9123,1,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS01__paper__试卷.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS01__paper__试卷.hits.json
HS01,2026顺义一模,Q19(2),思维-科学思维,rubric,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,python_pptx_text,4403,8,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS01__rubric__细则.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS01__rubric__细则.hits.json
HS02,2025海淀二模,Q20,思维-辩证思维,paper,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,fitz_text_plus_pattern_page_render,168,0,needs_visual_review,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS02__paper__试卷.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS02__paper__试卷.hits.json
HS02,2025海淀二模,Q20,思维-辩证思维,rubric,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,python_docx,2083,7,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS02__rubric__2025年海淀二模评标实录.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS02__rubric__2025年海淀二模评标实录.hits.json
HS03,2026朝阳期中,Q21(2),思维-创新思维,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,fitz_text_plus_pattern_page_render,8373,6,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS03__paper__试卷.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS03__paper__试卷.hits.json
HS03,2026朝阳期中,Q21(2),思维-创新思维,rubric,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/细则.docx,python_docx,4763,18,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS03__rubric__细则.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS03__rubric__细则.hits.json
HS03,2026朝阳期中,Q21(2),思维-创新思维,rubric_supplement,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,python_docx,4763,18,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS03__rubric_supplement__细则.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS03__rubric_supplement__细则.hits.json
HS04,2026通州期末,Q11,思维选择题-抽象到具体,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,fitz_text_plus_pattern_page_render,8735,2,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS04__paper__试卷.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS04__paper__试卷.hits.json
HS04,2026通州期末,Q11,思维选择题-抽象到具体,rubric,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,python_pptx_text,7244,3,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS04__rubric__细则.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS04__rubric__细则.hits.json
HS05,2026东城期末,Q17(2),推理/边界,paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,fitz_text_plus_pattern_page_render,8100,2,text_extracted,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS05__paper__试卷.txt,/Users/wanglifei/Desktop/北京高考政治/选必三逻辑与思维_四线从0重跑_2026-05-04/02_extraction/hard_samples/raw_text/HS05__paper__试卷.hits.json
