question_id,visible_title,district,year,exam_stage,question_no,subquestion_no,module,question_type,current_body_status,permission_status,source_locator_status,answer_locator_status,rubric_locator_status,reasoning_form_status,thinking_chain_status,decision,decision_reason
Q-2024朝阳一模-20-1,2024 朝阳一模第20题第(1)问,朝阳,2024,一模,20,1,推理,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024朝阳一模-20-2,2024 朝阳一模第20题第(2)问,朝阳,2024,一模,20,2,推理,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024朝阳一模-7,2024 朝阳一模第7题,朝阳,2024,一模,7,,思维,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024朝阳一模-9,2024 朝阳一模第9题,朝阳,2024,一模,9,,思维,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024朝阳二模-19-1,2024 朝阳二模第19题第(1)问,朝阳,2024,二模,19,1,交叉,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024朝阳二模-19-2,2024 朝阳二模第19题第(2)问,朝阳,2024,二模,19,2,交叉,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024朝阳二模-6,2024 朝阳二模第6题,朝阳,2024,二模,6,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2024朝阳二模-7,2024 朝阳二模第7题,朝阳,2024,二模,7,,交叉,选择题,index_only,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,index_only_needs_body_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P1_REPAIR_HIGH_VALUE_INDEX_CLUSTER
Q-2024朝阳期中-11,2024 朝阳期中第11题,朝阳,2024,期中,11,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2024朝阳期中-18,2024 朝阳期中第18题,朝阳,2024,期中,18,,推理,主观题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P4_RECHECK_SUBJECTIVE_REASONING_FORM
Q-2024朝阳期中-19,2024 朝阳期中第19题,朝阳,2024,期中,19,,交叉,主观题,index_only,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,index_only_needs_body_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2024朝阳期中-7,2024 朝阳期中第7题,朝阳,2024,期中,7,,推理,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024朝阳期中-8,2024 朝阳期中第8题,朝阳,2024,期中,8,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2024朝阳期中-9,2024 朝阳期中第9题,朝阳,2024,期中,9,,交叉,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024海淀二模-17-1,2024 海淀二模第17题第(1)问,海淀,2024,二模,17,1,思维,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,MUST_FIX_SOURCE_OR_SCOPE,must_fix_seed_scope_before_body,body_after_repair,"GPT Phase12 seed gate: MUST_FIX_SOURCE_OR_SCOPE; original asks science-only, source/rubric calibration required before正文"
Q-2024海淀二模-17-2,2024 海淀二模第17题第(2)问,海淀,2024,二模,17,2,思维,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024海淀二模-6,2024 海淀二模第6题,海淀,2024,二模,6,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2024西城一模-11,2024 西城一模第11题,西城,2024,一模,11,,推理,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P0_PROTECTED_HOLD_DO_NOT_EXPAND
