类别,年份·区县·题号,分值,缺的角度/考点,宝典现状,处理建议
A·漏角度,2025海淀期末 第18题,6分,逆向思维,#74收联想、#97收超前(超前还无官方依据),补“逆向思维”角度(官方答案明列逆向+联想)
A·漏角度,2026石景山一模 第17(2),6分,发散思维,#75收联想、#100收超前,补“发散思维”角度(细则列为合法建议)
A·漏角度,2026房山一模 第18(1),6分(漏4分),矛盾分析法、动态性/量变质变,#27仅收整体性(2分),补两条路径，或在#27注明同题另有两角度
A·漏角度,2026朝阳期中 第20题,8分,分析综合、量变质变、动态性,#48仅标矛盾分析法,补其余辩证思维角度，或在#48扩展说明
A·漏角度,2025东城期末 第18(2),4分,联想思维,#81发散聚合、#96超前,补“联想思维”角度(官方答案含联想)
A·漏角度,2024石景山一模 第19(3),4分,辩证否定观,#38仅收分析与综合,补“辩证否定观”角度(任选合法答案)
A·漏角度,2026东城一模 第19(4),5分,超前思维,#80仅收发散聚合,补“超前思维”角度(细则含此得分点)
A·待确认,2024朝阳期中 第19题,8分,逆向/联想/发散,#98仅收超前思维,确认逆向/联想/发散是否已在他章节收录，否则补
A·存疑,2024东城一模 第18(4),待核,可能为辩证思维(选必三),宝典仅收18(3),原卷双栏+扫描分辨率限，疑第2处选必三，待高清原卷核实
【B类】形式逻辑主观题——按宝典前言体例归“推理宝典/逻辑规则”姊妹篇，非本册遗漏（请核对姊妹篇是否已收）,,,,,
—,年份·区县·题号,分值,考点,—,宝典/姊妹篇现状
B,2026顺义一模 19(1),3分,演绎推理/三段论正误,,
B,2024丰台一模 19(1),2分,假言判断(构造真判断),,
B,2026西城一模 19(3),4分,三段论四概念/联言/假言同一律,,
B,2024朝阳一模 20(1)(2),9分,充分/必要条件假言推理,,
B,2024西城二模 18(1),8分,归纳推理+探求因果(共变/求异),,
B,2025西城二模 16(2),4分,充分条件假言推理,,
B,2026东城期末 17(2),约6分,矛盾律+充分/必要条件假言推理,,
B,2026海淀期末 20(1),4分,充分条件假言推理(肯定后件式错误),,
B,2025顺义一模 17(1),4分,假言判断+相容选言判断,,
B,2026西城期末 19(2),约4分,不完全归纳推理,,
B,2024海淀一模 18(2),4分,不完全归纳推理,,
B,2025海淀一模 21(1),2分,演绎推理(写一个演绎推理),,
B,2024丰台二模 18(1),5分,三段论补全,,
B,2025朝阳期末 19题,7分,矛盾律/排中律/三段论,,
B,2025丰台期末 18(1),约4分,必要条件假言+联言判断保真,,
B,2024朝阳期中 18题,8分,不完全归纳+类比推理评析,,
B,2025房山一模 16(2),4分,三段论编写,,
B,2026朝阳一模 17(1)前半,约2分,不完全归纳推理识别,,
B,2025朝阳二模 17题,5分,不完全归纳推理,,
B,2026东城二模 18题(识别部分),2分,类比推理识别(#104已注归推理线),,
B,2026丰台一模 18(2),6分,必要条件假言+三段论大项扩大,,
B,2024朝阳二模 19(1)②/19(2),2+5分,类比推理 / 联言判断保真,,
B,2025朝阳一模 17(1),5分,必要条件假言推理规则,,
B,2026通州期末 19(2),6分,充分+必要条件假言推理正误,,
B,2025东城二模 18(2),4分,充分条件假言推理+前提真假,,
B,2026朝阳二模 19(1),6分,下定义(种差+属概念)及规则,,
B,2025丰台二模 16(2),4分,三段论演绎推理,,
B,2026海淀二模 20(1),2分,三段论演绎推理,,
B,2024西城一模 19(2)(3),2+1分,定义构成/概念外延关系,,
B,2025石景山一模 19题②点,2分,归纳推理可靠性(算A或B待定),,
【存疑/体例待统一】,,,,,
综合题纳入标准不一：宝典对“综合运用所学”的开放大题(如2026丰台期末20、西城一模16#105、海淀二模21、顺义一模21、丰台一模22等)处理不一(部分纳入部分排除)。建议统一体例，并对纳入的综合题加“本书只就其中XX思维角度训练、非该题唯一答案”注。,,,,,
细则缺失影响核验：2026海淀期中、2025丰台期末、2026丰台期末、2024石景山一模、2025海淀期末等细则文件为空/缺，相关条目采分结构未能完全核验，建议补齐原始细则后复核。,,,,,
2025石景山一模19题“归纳推理可靠性”2分得分点：归本册(科学思维)还是姊妹篇(形式逻辑)需编者定夺。,,,,,
