suite,question,status,evidence_level,framework_nodes,student_title,prompt,material_trigger,why,answer,evidence
2026东城二模,第16题,正式并入,A_formal_rubric,实践与认识；联系观；发展观；矛盾特殊性；价值观；文化育人,京彩课堂：为什么“实景+任务+探究”会让思政课真正精彩,结合材料，运用《哲学与文化》知识，谈谈“京彩课堂”的精彩所在。,“京彩课堂”把中轴线、故宫等文化实景变成“实景+任务+探究”的学习实践，让学生在真实场景中体验、探究、验证和深化认识。,设问问“精彩所在”，细则把精彩落到实践育人：学生不是只背抽象理论，而是在真实文化场景中获得认识，再把认识回到育人实践。,可写实践是认识的来源、动力和检验标准，京彩课堂用真实场景和探究任务把抽象思政理论转化为直观感悟；也可扣住联系、发展、矛盾特殊性和价值观，说明课程把文化资源、学习任务和育人目标统一起来。,细则点名“实践与认识辩证关系角度看”，示例写“实践是认识的来源、发展动力及检验真理的唯一标准”，并列联系、发展、矛盾特殊性、价值观、文化育人等角度。
2026丰台二模,第16题,正式并入,A_formal_rubric,具体问题具体分析；规律与主观能动性；联系观/系统优化；价值观导向；两点论重点论,守护湿地：一题同时打到具体分析、规律能动、系统治理和生态价值观,结合材料，运用《哲学与文化》知识，谈谈你对“守护湿地，就是守护生态之美与文化根脉”的认识。,材料把湿地放在生态系统和文化根脉中整体看，从单纯治理局部水域转向统筹流域、生态、文化和人的价值追求。,这不是单纯环保题，而是要求说明为什么湿地治理既有生态意义又有文化意义。材料中的“生态之美”“文化根脉”“系统治理”分别触发规律、联系和价值观。,可写守护湿地要具体分析湿地生态和文化特点，尊重生态规律并发挥主观能动性；用系统观念统筹流域治理、生态修复和文化保护；坚持正确生态价值观，把生态保护和文化传承统一起来。,阅卷细则列出“矛盾特殊性/具体问题具体分析、尊重规律与主观能动性相结合、联系观点/系统优化、正确价值观的导向作用”；替代角度含“两点论与重点论相统一”。
2026朝阳二模,第16题,正式并入,A_formal_rubric,对立统一；辩证否定；发展观；实践基础；具体问题具体分析；价值观导向；文化双创,历史传承与现代创新：不是二选一，而是在对立统一中守正创新,结合材料，从哲学角度，说明在城市文化建设中怎样实现历史传承与现代创新的有机结合。,城市文化建设既要保护历史遗存、延续文脉，又要回应新时代市民文化需求、用现代方式激活公共文化空间。,题干直接给出“历史传承与现代创新”的关系。看到“有机结合”，不能只写继承或只写创新，而要写传承和创新在矛盾统一中相互支撑。,可写传承与创新是对立统一关系；坚持辩证否定，在保留城市文脉中注入时代内容；立足城市实践和群众需求具体施策，用正确价值观引领城市文化建设，实现优秀传统文化创造性转化、创新性发展。,细则表写“传承与创新的关系——对立统一/联系”，“继承——坚持辩证否定/发展的观点”，“创新——立足实践/回应群众需求/具体问题具体分析/一切从实际出发”，并列价值观导向作用。
2026房山二模,第16题,正式并入,A_formal_rubric,量变质变；规律与主观能动性；系统观念；矛盾对立统一；价值观导向；人民群众；民族精神；文化双创,中华工业文化：从精益求精的量变积累，读懂民族精神和现代工业浪漫,结合材料，运用《哲学与文化》知识，谈谈如何从中华工业文化读懂中华民族最感动人的浪漫。,材料从良渚玉器、西周青铜、《考工记》分工写到北斗原子钟和完整工业体系，反复呈现长期积累、极致工艺、系统协作和创新突破。,“最感动人的浪漫”不是空泛赞美，而是把工匠精神、工业系统、民族精神和实践创新串起来。细则明确要求多点作答，不能只放在文化双创下面。,可写长期精益求精的量变积累推动工艺和工业能力发生质的飞跃；劳动者尊重规律并发挥主观能动性，把“天工”转为日常；系统协作和矛盾统一推动制造成为艺术；正确价值观、工匠精神和民族精神支撑中华工业文化守正创新。,细则列出尊重客观规律与发挥主观能动性、系统观念、联系、发展、矛盾、人民群众、中华民族精神、价值观导向，并点名“量的积累促成质变”。
2026顺义二模,第16题,正式并入,A_formal_rubric,两点论与重点论；矛盾普遍性与特殊性；人民群众；社会存在与社会意识；价值观导向；实践基础；文化创作,新大众文艺：三组关系一起平衡，不能只写“文化创新”,结合材料，运用《哲学与文化》知识，谈谈对新大众文艺面对“尊重多样与弘扬主流、人民性与艺术性、社会效益与经济效益”之间寻找平衡点这一时代课题的思考。,新大众文艺由人民大众担当主体、主创、主角，同时面临多样与主流、人民性与艺术性、社会效益与经济效益三组关系。,材料不是只讲文艺形式新，而是在三组矛盾关系中找平衡。看到“既要……又要……”“平衡点”，应想到两点论与重点论、价值判断和人民主体。,可写新大众文艺要坚持两点论与重点论统一，既尊重多样又弘扬主流；坚持人民群众主体地位，扎根人民实践；用正确价值观引领创作，发挥先进社会意识的推动作用，统一社会效益和经济效益。,细则展开“两点论与重点论统一、人民群众是历史的创造者、社会存在与社会意识、价值观导向、实践观点”等作答路径。
2026朝阳二模,第21题,综合题哲学维度并入,A_formal_rubric_cross,系统优化；整体与部分；联系观；量变质变；对立统一,系统思维与战略定力：整体布局加长期坚持,综合运用所学，谈谈对系统思维和战略定力的认识。,材料把多个中国式现代化支柱作为整体推进，并强调方向坚定、目标执着、行动持久。,系统思维回答“怎么整体布局”，战略定力回答“怎么长期坚持”。二者结合，正好对应联系整体观和量变质变的持续积累。,可写推进中国式现代化要从整体出发统筹各方面任务，处理好部分与整体、当前与长远的关系；长期目标要通过阶段性任务持续积累，久久为功推动质变。,细则写“系统思维要求我们用联系、全面、整体的观点看问题”，战略定力体现方向坚定和行动持久，并点到量变质变、对立统一、联系观。
2026房山二模,第21题,综合题哲学维度并入,A_formal_rubric_cross,矛盾普遍性；联系观；发展观；科学思维方法,新征程就是新的长征：承认矛盾，在斗争和发展中前进,综合运用所学，谈谈对“新征程就是新的长征”的理解。,“新的长征”强调现代化道路仍会遇到风险挑战，需要保持历史主动，在解决问题中推进事业发展。,长征类设问不能只写精神口号，还要看到新征程中的困难、风险和斗争任务。这里触发矛盾普遍性、联系和发展观点。,可写新征程上矛盾具有普遍性，要敢于承认矛盾、分析矛盾、解决矛盾；在联系和发展中把握现代化建设任务，把长征精神转化为现实实践力量。,细则点到“矛盾普遍性，承认分析解决矛盾/伟大斗争”，并列“联系/发展、运用科学思维方法”。
2026顺义二模,第21题,综合题哲学维度并入,A_formal_rubric_cross,规律与主观能动性；实践与认识；联系观；发展观；全面观点,先见与远虑：尊重规律、主动谋划，再用实践检验和推进,综合运用所学，阐述“先见”与“远虑”的传统理政智慧为何能成为支撑中国式现代化稳步前行、护航民族伟大复兴行稳致远的深厚精神底气与重要实践指引。,“先见”“远虑”强调在复杂环境中预判趋势、守住底线、谋定后动、久久为功。,传统理政智慧能成为现代化实践指引，是因为它不是空泛经验，而是把尊重规律、主动谋划和实践检验统一起来。,可写推进现代化要尊重客观规律并发挥主观能动性，用实践发展认识、用认识指导实践，以联系、发展、全面观点谋定后动、久久为功。,细则写“必修4哲学、选必3科学思维”，并点名尊重客观规律与发挥主观能动性相统一、认识与实践的辩证发展、联系发展全面观点。
2026通州一模,第18题,正式并入,A_formal_rubric,硬采分：对立统一；辩证否定；文化双创；立足社会实践。替代/副点：发展观可替代辩证否定；联系观、规律与能动性等只作1分替代槽，不重复给分,隆福寺街区改造：“古朴”和“创新”怎样共生共荣,结合材料，运用《哲学与文化》知识，阐释隆福寺街区改造中“古朴”与“创新”是如何实现共生共荣的。,隆福寺没有大拆大建，而是“绣花式”保护和城市更新；一方面保留寺院格局、老字号、非遗技艺等历史记忆，另一方面引入数字科技、AI拍照亭、年轻消费业态和新生活方式。,看到“古朴”与“创新”并存、共生共荣，就不能把保护和更新看成互相排斥。材料要求说明二者怎样在保护中发展、在传承中创新。,可写古朴与创新是对立统一关系，隆福寺在保护古都肌理的同时融入现代科技，实现二者共生共荣；坚持辩证否定，既保留历史记忆，又注入时代元素；推动优秀传统文化创造性转化、创新性发展；立足社会实践、坚守文化根脉，让老街区焕发生机与活力。,通州评标细则写“矛盾对立统一、辩证否定观、双创，每点2分”，并列“立足社会实践1分”，替代角度含以人民为中心、立足时代、规律与主观能动性、联系观点。
2026通州一模,第21题,综合题哲学维度并入,A_formal_rubric_cross,主链：实践观点；具体问题具体分析；一切从实际出发；新发展理念。示例副点：价值观、系统思维/系统优化,中国式现代化是干出来的：实干怎样落到实践观点和系统治理,“中国式现代化是干出来的，伟大事业都成于实干。”结合材料，综合运用所学，谈谈你对这一观点的理解。,材料从党员干部务实为民、航天工程长期攻关、河长制压实责任、高铁建设改善民生等角度说明“实干”如何推动现代化。,设问核心是“干出来”，这直接触发实践观点；材料又不是单点行动，而是制度、科技、治理、民生多方面协同，适合用具体问题具体分析和系统思维收束。,可写中国式现代化不是空想蓝图，而是在党的领导下通过实践探索、接续奋斗推进的历史进程；要坚持具体问题具体分析、一切从实际出发，把制度优势转化为治理效能；坚持系统思维统筹协调，用实干推动科技攻关、生态治理和民生改善。,通州评标示例写“实践是认识的基础和目的”，并明确“可从党的初心使命、制度优势、具体问题具体分析、实践的观点、新发展理念等角度作答”，示例中还点到系统思维、系统优化。
