batch,order,question_id,reason,evidence_level,pass_status,action
第一批：10 道样章校准题,1,CC0077_2025_东城_一模_19,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PARTIAL_SOURCE_CHECK,写成样章并用零基础学生压测
第一批：10 道样章校准题,2,CC0143_2025_朝阳_一模_19,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PASS_CANDIDATE,写成样章并用零基础学生压测
第一批：10 道样章校准题,3,CC0229_2026_东城_一模_18,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PASS_CANDIDATE,写成样章并用零基础学生压测
第一批：10 道样章校准题,4,CC0277_2026_房山_二模_18,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PARTIAL_SOURCE_CHECK,写成样章并用零基础学生压测
第一批：10 道样章校准题,5,RECOVER_2026_门头沟_一模_18_1,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PASS_CANDIDATE,写成样章并用零基础学生压测
第一批：10 道样章校准题,6,CC0305_2026_海淀_一模_18_3,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PARTIAL_SOURCE_CHECK,写成样章并用零基础学生压测
第一批：10 道样章校准题,7,CC0063_2024_西城_二模_16,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PASS_CANDIDATE,写成样章并用零基础学生压测
第一批：10 道样章校准题,8,CC0251_2026_丰台_一模_20,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PASS_CANDIDATE,写成样章并用零基础学生压测
第一批：10 道样章校准题,9,CC0283_2026_朝阳_一模_18,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PASS_CANDIDATE,写成样章并用零基础学生压测
第一批：10 道样章校准题,10,CC0103_2025_丰台_一模_19,覆盖表格、裁判、责任、创新、程序、风险、价值七类动作卡，并先校准学生能否照着写。,formal,PASS_CANDIDATE,写成样章并用零基础学生压测
第二批：35 道核心可扩展题,,CC0002_2024_丰台_一模_17,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第四批：5 道低频 formal 容器题,,CC0011_2024_丰台_二模_17,低频 formal singleton，可教但暂不生成稳定核心套路。,formal,PARTIAL_LOW_FREQ_CONTAINER,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0019_2024_朝阳_一模_19,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0025_2024_朝阳_二模_17,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第五批 A：4 道 reference_only 锁死参考题,,CC0040_2024_海淀_一模_19,只可作写法参考，不能支撑核心节点。,reference_only,PARTIAL_REFERENCE_ONLY,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0045_2024_海淀_二模_19,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0054_2024_石景山_一模_17,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0061_2024_西城_一模_18,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0084_2025_东城_二模_19,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0092_2025_东城_期末_19_1,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0119_2025_丰台_期末_19,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0125_2025_延庆_一模_19,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0131_2025_房山_一模_19,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0137_2025_昌平_二模_20,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0150_2025_朝阳_二模_20,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0157_2025_朝阳_期末_20,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第五批 A：4 道 reference_only 锁死参考题,,CC0162_2025_海淀_一模_18,只可作写法参考，不能支撑核心节点。,reference_only,PARTIAL_REFERENCE_ONLY,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0180_2025_海淀_期末_20,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0181_2025_海淀_期末_21,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0189_2025_石景山_一模_20,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0195_2025_西城_一模_20,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0200_2025_西城_二模_18,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0206_2025_西城_期末_19,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0213_2025_门头沟_一模_20,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0214_2025_门头沟_一模_20_2,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0223_2025_顺义_一模_19,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0238_2026_东城_二模_19,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0244_2026_东城_期末_18,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0245_2026_东城_期末_18_2,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第四批：5 道低频 formal 容器题,,CC0254_2026_丰台_二模_18,低频 formal singleton，可教但暂不生成稳定核心套路。,formal,PARTIAL_LOW_FREQ_CONTAINER,按批次处理，不再一次性喂 65 道。
第五批 B：3 道边界/综合开放题,,CC0276_2026_房山_二模_17,formal 但边界/综合明显，需单列开放容器，不升核心私法节点。,formal,PARTIAL_BOUNDARY_OPEN,按批次处理，不再一次性喂 65 道。
第二批：35 道核心可扩展题,,CC0289_2026_朝阳_二模_18,可从 GPTPro v0 动作节点启动；仍需逐句对齐细则后才能写入宝典。,formal,PASS_CANDIDATE,按批次处理，不再一次性喂 65 道。
第五批 A：4 道 reference_only 锁死参考题,,CC0311_2026_海淀_二模_18_2,只可作写法参考，不能支撑核心节点。,reference_only,PARTIAL_REFERENCE_ONLY,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0317_2026_海淀_期末_18,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
第三批：18 道先回源补设问/页码/题干的题,,CC0318_2026_海淀_期末_18_2,节点可试跑，但设问层需要回源补正。,formal,PARTIAL_SOURCE_CHECK,按批次处理，不再一次性喂 65 道。
