suite,question,part,question_family,evidence_level,status,book_part,framework_node,disposition,blocker
2026顺义一模,19,(1),三段论推理判断/演绎前提真实+结构正确,A-formal,extracted,推理册,推理/演绎推理/三段论/前提真实与结构,入正文,
2026顺义一模,19,(2),科学思维三特征,A-formal,extracted,思维册,科学思维/客观性+预见性+可检验性,入正文,
2025海淀二模,20,,辩证思维复合题/共同富裕,A-formal,extracted,思维册,辩证思维/分析与综合+质量互变+辩证否定,入正文,
2026朝阳期中,20,,辩证思维复合题/机遇与挑战,A-formal,extracted,思维册,辩证思维/矛盾分析+分析与综合+质量互变+动态性,入正文,
2026朝阳期中,21,(2),创新思维复合题/人文经济,A-formal,extracted,思维册,创新思维/超前+联想+转换/逆向+三新+发散聚合,入正文,
2026通州期末,11,,思维抽象与思维具体 选择题陷阱(河-合-和),A-formal,extracted,思维册(选择题),思维抽象与思维具体/感性具体->思维抽象->思维具体,入正文(选择题陷阱),
2026通州期末,19,(2),充分条件假言推理+必要条件假言推理 双小问,A-formal,extracted,推理册,推理/假言推理/充分条件式+必要条件式,入正文,
2026东城期末,6,,三段论补大前提保真/中项周延规则,A-formal,extracted,推理册(选择题),推理/三段论/中项周延+大项不当扩大,入正文(选择题正例),
2026东城期末,7,,矛盾律真假表/矛盾关系+多人发言真假题,A-formal,extracted,推理册(选择题),推理/复合命题/矛盾律+矛盾关系真假判断,入正文(选择题正例),
2026东城期末,17,(2),形式逻辑三主张论证(矛盾律+充分条件假言+三段论中项不周),A-formal,extracted,推理册,推理/形式逻辑综合/矛盾律+充分条件假言推理+三段论中项不周,入正文(形式逻辑综合),边界:不入思维主链
2024海淀二模,17,(1),科学思维(原题单角度设问),A-formal,旧锁定SCIENCE_ONLY_SOURCE_SUPPORTED,思维册,科学思维/客观性+探索性+整体安排,待回源确认028/029细则,
2024朝阳一模,20,(1),充分条件假言推理,A-formal,索引,推理册,推理/假言推理/充分条件式,待回源,
2024朝阳一模,20,(2),必要条件假言推理,A-formal,索引,推理册,推理/假言推理/必要条件式,待回源,
2024朝阳二模,7,,三段论小项不当扩大,A-formal,索引,推理册(选择题),推理/三段论/小项不当扩大,待回源,
2025西城二模,16,(2),充分条件假言推理,A-formal,索引,推理册,推理/假言推理/充分条件式,待回源,
2025顺义一模,7,,三段论谬误名称纠错(大项不当扩大),A-formal,索引,推理册(选择题),推理/三段论/大项不当扩大+谬误名称纠错,待回源,
2026丰台一模,18,(2),必要条件假言推理+三段论大项扩大,A-formal,索引,推理册,推理/假言推理+三段论,待回源,
2025丰台期末,7,,选必三干扰项/哲学唯物论伪装边界,A-formal,索引,边界(选择题),选必三干扰项/边界陷阱,待回源,
2026通州期末,9,,数字化治理 vs 创新思维/系统思维 选择题陷阱,A-formal,extracted,思维册(选择题边界),边界:数字化治理 vs 选必三方法,待回源,
2026石景山期末,,,,excluded,excluded,N/A,N/A,排除,用户已确认无可用细则
