"blocker_id","scope","question_id","severity","source_log","finding","required_action","status"
"B2026ERMO-001","all_2026_ermo","Q0113-Q0140","P0","all slice logs; 05_gptpro_review/CHROME_EXTENSION_BLOCK_2026-05-25.md","GPT Pro V63 gate is superseded by the V64 framework-reorder packet; kept as historical blocker context.","Use B2026ERMO-015 as the current V64 GPT Pro / Claude external-review gate.","superseded_by_v64"
"B2026ERMO-002","reasoning_structure","Q0119/Q0124/Q0125/Q0130","P1","03_claudecode_lane/logs/claudecode_2026_ermo_chaoyang_stdout.log;03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log","Necessary-condition same-form aggregation is scattered across sections.","Decide merge vs cross-link and patch reasoning body/index.","patched_pending_external_review"
"B2026ERMO-003","reasoning_structure","Q0121","P1","03_claudecode_lane/logs/claudecode_2026_ermo_chaoyang_stdout.log","Definition method rows are split between parsing and constructive-evaluation sections.","Create one definition-method cluster or explicit cross-links.","patched_pending_external_review"
"B2026ERMO-004","thinking_body","Q0136","P1","03_claudecode_lane/logs/claudecode_2026_ermo_shunyi_body_supplement_stdout.log","Thinking section 71 is present but overtiered for an A-support choice row with inference-only traps.","Demote to subordinate informant entry or add explicit A-support and non-main-chain warning.","patched_pending_external_review"
"B2026ERMO-005","choice_trap_source_lock","Q0122","P1","03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log","CT0054 D-option trap lacks backing in GAP022 prose.","Add source-lock backing or trim CT0054 D trap.","patched_pending_external_review"
"B2026ERMO-006","boundary_body","Q0123","P1","03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log","Reasoning section 56 can make the correct option read as an elective-3 positive sample despite being a B-choice trap row.","Add explicit Bixiu4/correct-option boundary flag in section 56.","patched_pending_external_review"
"B2026ERMO-007","schema_convention","Q0137","P1","03_claudecode_lane/logs/claudecode_2026_ermo_shunyi_body_supplement_stdout.log","book_part is ambiguous for B-choice-signal rows: module of correct answer vs module of trap.","Write a global convention and annotate Q0137 accordingly.","patched_pending_external_review"
"B2026ERMO-008","choice_trap_ledger","Q0139","P1","03_claudecode_lane/logs/claudecode_2026_ermo_shunyi_body_supplement_stdout.log","Consistency vs determinacy discrimination is captured in body but not as a dedicated CT row.","Add CHOICE_TRAP_LEDGER row for 一致性要求 vs 确定性要求.","patched_pending_external_review"
"B2026ERMO-009","schema_boundary","Q0140","P1","03_claudecode_lane/logs/claudecode_2026_ermo_shunyi_body_supplement_stdout.log","Comprehensive-question boundary is narrated in body but not persisted in ledger schema/annotation.","Add boundary_flag or stable annotation for MT0065.","patched_pending_external_review"
"B2026ERMO-010","reasoning_structure","Q0117","P2","03_claudecode_lane/logs/claudecode_2026_ermo_dongcheng_stdout.log","Analogy-reasoning sections are fragmented across multiple sub-modes.","Audit as one chapter and add cross-links without flattening Q0117's governance sub-mode.","patched_pending_external_review"
"B2026ERMO-011","ledger_annotation","Q0135","P2","03_claudecode_lane/logs/claudecode_2026_ermo_shijingshan_stdout.log","MT0062 does not explicitly preserve formal-rubric alternate angles: quality change and dialectical negation.","Add alternate-angle note without replacing main method.","patched_pending_external_review"
"B2026ERMO-012","evidence_provenance","Q0125","P2","03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log","Q0125 depends on recovered DOCX table evidence; text extract alone is insufficient.","Highlight DOCX table provenance in external review packet and source-lock note if needed.","patched_pending_external_review"
"B2026ERMO-013","boundary_rule","Q0129/Q0140","P2","03_claudecode_lane/logs/claudecode_2026_ermo_fangshan_stdout.log","房山 Q21 boundary vs 顺义 Q21 entry depends on explicit '选必3科学思维' wording threshold.","Write the threshold as a suite-closure rule before external review.","patched_pending_external_review"
"B2026ERMO-014","reasoning_structure","Q0126/Q0128/Q0134","P2","03_claudecode_lane/logs/claudecode_2026_ermo_haidian_stdout.log;03_claudecode_lane/logs/claudecode_2026_ermo_shijingshan_stdout.log","Incomplete induction, syllogism, and identity-law same-form clusters need cross-index audit.","Patch indexes or chapter map after high-priority blockers.","patched_pending_external_review"
"B2026ERMO-015","external_review_gate","GPTPRO_V64/CLAUDE_V62","P0","10_packets/GPTPRO_REVIEW_PACKET_V64.md;10_packets/CLAUDE_REVIEW_PACKET_V62.md","V64 framework-first student draft gate is superseded by V65, which adds the reasoning type-reordered draft.","Use B2026ERMO-016 as the current V65 GPT Pro / Claude external-review gate.","superseded_by_v65"
