question,bucket,core,atom_id,scoring_position,evidence_level,status,source_boundary,source_refs
2026通州期末 Q20,时代背景,和平与发展仍是时代主题,ATOM-B02,通州评分细则第2点2分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_pptx_user_notebook_six_point_verified,2026通州期末_Q20_SRC_35ef9424281a
2026通州期末 Q20,政治多极化,共商共建共享的全球治理观,ATOM-B01,评分细则第1点1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_ppt,2026通州期末_Q20_SRC_35ef9424281a
2026通州期末 Q20,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,ATOM-B04,评分细则第4点任一点1分共2分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_ppt,2026通州期末_Q20_SRC_35ef9424281a
2026通州期末 Q20,中国,坚持正确义利观，在发展合作中义利相兼、互利共赢,ATOM-B05,通州评分细则第4点可选组,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx_or_ppt,2026通州期末_Q20_SRC_35ef9424281a
2026通州期末 Q20,中国,推动构建人类命运共同体,ATOM-B06,通州评分细则第5点1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx_or_ppt,2026通州期末_Q20_SRC_35ef9424281a;2026朝阳期中_Q17_SRC_763b7470b96b;2024东城一模_Q16_SRC_1f17f2c91d92
2026通州期末 Q20,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,ATOM-B07,评分细则第6点1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_ppt,2026通州期末_Q20_SRC_35ef9424281a
2026通州期末 Q20,联合国,《联合国宪章》宗旨和原则,ATOM-B03,评分细则第3点1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_ppt,2026通州期末_Q20_SRC_35ef9424281a
2025海淀期中 Q21(2),时代背景,和平与发展仍是时代主题,ATOM-B02,海淀图片表格细则世界之变2分,user_confirmed_image_scoring_material,candidate_with_fixes,mixed_scoring_sources_labeled,2025海淀期中_Q21_SRC_cda046c2d36d
2025海淀期中 Q21(2),理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,ATOM-B16,内嵌图片image8变4分-中国之变实力1分,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d
2025海淀期中 Q21(2),政治多极化,世界多极化深入发展与平等有序的世界多极化,ATOM-B15,内嵌图片image8变4分-世界之变2分,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d
2025海淀期中 Q21(2),中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,ATOM-B18,内嵌图片image8不变第1项1分,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d
2025海淀期中 Q21(2),中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,ATOM-B19,内嵌图片image8不变第2组基本立场2分,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d
2025海淀期中 Q21(2),中国,中国特色大国外交、独立自主和平外交政策与周边命运共同体,ATOM-B20,内嵌图片image8不变第2组宗旨目标准则,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d
2025海淀期中 Q21(2),中国,推动构建人类命运共同体,ATOM-B17,内嵌图片image8变4分-中国之变思想1分,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q21_SRC_cda046c2d36d
2026朝阳期中 Q17,理论,处理好中国发展和世界发展的关系,ATOM-B13,第三层总说1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,2026朝阳期中_Q17_SRC_763b7470b96b
2026朝阳期中 Q17,理论,处理好发展和安全的关系；统筹发展和安全,ATOM-B11,第二层总说1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,2026朝阳期中_Q17_SRC_763b7470b96b
2026朝阳期中 Q17,理论,处理好发展和安全的关系；统筹发展和安全,ATOM-B12,第二层分说1,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,2026朝阳期中_Q17_SRC_763b7470b96b
2026朝阳期中 Q17,理论,处理好自力更生和对外开放的关系,ATOM-B08,第一层总说1分,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,2026朝阳期中_Q17_SRC_763b7470b96b
2026朝阳期中 Q17,理论,核心技术自主可控；把握创新主动权,ATOM-B09,第一层分说1,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,2026朝阳期中_Q17_SRC_763b7470b96b
2026朝阳期中 Q17,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-B10,第一层分说2,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,2026朝阳期中_Q17_SRC_763b7470b96b
2026朝阳期中 Q17,中国,坚持正确义利观，在发展合作中义利相兼、互利共赢,ATOM-B05,朝阳期中第三层分说2,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx_or_ppt,2026朝阳期中_Q17_SRC_763b7470b96b
2026朝阳期中 Q17,中国,推动构建人类命运共同体,ATOM-B06,朝阳期中第三层分说2,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx_or_ppt,2026通州期末_Q20_SRC_35ef9424281a;2026朝阳期中_Q17_SRC_763b7470b96b;2024东城一模_Q16_SRC_1f17f2c91d92
2025海淀期中 Q16(2),经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-B14,内嵌图片image2第3点贸易摩擦2分,user_confirmed_image_scoring_material,candidate_with_fixes,embedded_docx_image_verified,2025海淀期中_Q16_SRC_cda046c2d36d
2024东城一模 Q20,经济全球化,充分利用国内国际两个市场、两种资源，增强国内国际循环联动,ATOM-B24,试题分析PPT slide64第4点,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_scoring_info,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad
2024东城一模 Q20,经济全球化,建设开放型世界经济，参与全球经济治理和规则制定,ATOM-B23,试题分析PPT slide64第3点,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_scoring_info,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad
2024东城一模 Q20,经济全球化,提升贸易投资合作质量和水平,ATOM-B25,试题分析PPT slide64第4点,P2_teaching_or_lecture,candidate_with_fixes,teaching_analysis_ppt_with_scoring_info,2024东城一模_Q20_SRC_1f17f2c91d92;2024东城一模_Q20_SRC_a1c55f582bad
2026朝阳一模 Q20,时代背景,和平与发展仍是时代主题,ATOM-C11,朝阳第20题第③点1分,P0_formal_scoring_rule,candidate_with_fixes,mixed_formal_docx_pptx,2026朝阳一模_Q20_SRC_ebbe85a1ee6f
2026朝阳一模 Q20,理论,当前国际竞争的实质是以经济和科技实力为基础的综合国力较量,ATOM-C01,第20题第①点2分(1+1)必答点,P0_formal_scoring_rule,candidate_with_fixes,formal_scoring_docx,2026朝阳一模_Q20_SRC_ebbe85a1ee6f;2026朝阳一模_Q20_SRC_fd08ca4014c0
