suite_name,suite_id_old,inventory_status,stage,priority_bucket,source_path,source_path_type,file_count,paper_like_files,rubric_like_files,main_cache_manifest_hits,second_mock_extract_hits,v8_scope_action,notes
2024海淀一模,S001,old_56_existing,2024各区一模,1-1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模,standalone_dir,3,2,2,13,0,rework_under_strict_gate,
2024西城一模,S002,old_56_existing,2024各区一模,1-2,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模,standalone_dir,5,4,3,13,0,rework_under_strict_gate,
2024东城一模,S003,old_56_existing,2024各区一模,1-3,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模,standalone_dir,3,2,2,13,0,rework_under_strict_gate,
2024朝阳一模,S004,old_56_existing,2024各区一模,1-4,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模,standalone_dir,4,3,3,16,0,rework_under_strict_gate,
2024丰台一模,S005,old_56_existing,2024各区一模,1-5,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模,standalone_dir,3,2,2,13,0,rework_under_strict_gate,
2024石景山一模,S006,old_56_existing,2024各区一模,1-9,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模,standalone_dir,2,1,1,6,0,rework_under_strict_gate,
2024门头沟一模,S007,old_56_existing,2024各区一模,1-9,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__其他材料__202404各区一模试题分类_按模块.md,old_roster_supplement_or_cache,,,,0,0,rework_under_strict_gate,Formal source-list row absent from standalone suite bundles; use classification bundle plus saved external answer PDF; subjective remains evidence-boundary candidate.
2024海淀二模,S008,old_56_existing,2024各区二模,2-1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模,standalone_dir,4,3,2,16,0,rework_under_strict_gate,
2024西城二模,S009,old_56_existing,2024各区二模,2-2,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模,standalone_dir,6,3,4,19,0,rework_under_strict_gate,
2024东城二模,S010,old_56_existing,2024各区二模,2-3,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模,standalone_dir,13,2,12,61,0,rework_under_strict_gate,
2024朝阳二模,S011,old_56_existing,2024各区二模,2-4,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模,standalone_dir,3,2,2,13,0,rework_under_strict_gate,
2024丰台二模,S012,old_56_existing,2024各区二模,2-5,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2024顺义思政二模,S013,old_56_existing,2024各区二模,2-9,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2024海淀期中,S014,old_56_existing,2024各区期中,3-1,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2024朝阳期中,S015,old_56_existing,2024各区期中,3-4,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中,standalone_dir,5,4,3,19,0,rework_under_strict_gate,
2025海淀一模,S016,old_56_existing,2025各区一模,1-1,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模,standalone_dir,3,1,1,13,0,rework_under_strict_gate,
2025西城一模,S017,old_56_existing,2025各区一模,1-2,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025东城一模,S018,old_56_existing,2025各区一模,1-3,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025朝阳一模,S019,old_56_existing,2025各区一模,1-4,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模,standalone_dir,6,2,5,21,0,rework_under_strict_gate,
2025丰台一模,S020,old_56_existing,2025各区一模,1-5,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025延庆一模,S021,old_56_existing,2025各区一模,1-9,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025房山一模,S022,old_56_existing,2025各区一模,1-9,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025石景山一模,S023,old_56_existing,2025各区一模,1-9,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025门头沟一模,S024,old_56_existing,2025各区一模,1-9,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025顺义一模,S025,old_56_existing,2025各区一模,1-9,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025海淀二模,S026,old_56_existing,2025各区二模,2-1,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模,standalone_dir,4,1,3,16,0,rework_under_strict_gate,
2025西城二模,S027,old_56_existing,2025各区二模,2-2,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025西城二模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025东城二模,S028,old_56_existing,2025各区二模,2-3,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025朝阳二模,S029,old_56_existing,2025各区二模,2-4,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模,standalone_dir,3,1,1,13,0,rework_under_strict_gate,
2025丰台二模,S030,old_56_existing,2025各区二模,2-5,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模,standalone_dir,9,1,8,59,0,rework_under_strict_gate,
2025昌平二模,S031,old_56_existing,2025各区二模,2-9,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025昌平二模,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025海淀期中,S032,old_56_existing,2025各区期末,3-1,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期中,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025海淀期末,S033,old_56_existing,2025各区期末,4-1,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025海淀期末,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025西城期末,S034,old_56_existing,2025各区期末,4-2,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025西城期末,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2025东城期末,S035,old_56_existing,2025各区期末,4-3,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末,standalone_dir,3,1,2,13,0,rework_under_strict_gate,
2025朝阳期末,S036,old_56_existing,2025各区期末,4-4,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025朝阳期末,standalone_dir,3,1,1,12,0,rework_under_strict_gate,
2025丰台期末,S037,old_56_existing,2025各区期末,4-5,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末,standalone_dir,2,1,1,10,0,rework_under_strict_gate,
2026海淀一模,S038,old_56_existing,2026各区一模,1-1,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模,standalone_dir,4,3,1,13,0,rework_under_strict_gate,
2026西城一模,S039,old_56_existing,2026各区一模,1-2,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模,standalone_dir,6,4,2,13,0,rework_under_strict_gate,
2026东城一模,S040,old_56_existing,2026各区一模,1-3,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模,standalone_dir,24,3,20,55,0,rework_under_strict_gate,
2026朝阳一模,S041,old_56_existing,2026各区一模,1-4,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模,standalone_dir,5,4,3,13,0,rework_under_strict_gate,
2026丰台一模,S042,old_56_existing,2026各区一模,1-5,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模,standalone_dir,4,2,1,10,0,rework_under_strict_gate,
2026延庆一模,S043,old_56_existing,2026各区一模,1-9,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模,standalone_dir,4,2,2,10,0,rework_under_strict_gate,
2026房山一模,S044,old_56_existing,2026各区一模,1-9,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模,standalone_dir,4,2,2,10,0,rework_under_strict_gate,
2026石景山一模,S045,old_56_existing,2026各区一模,1-9,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模,standalone_dir,4,2,2,10,0,rework_under_strict_gate,
2026门头沟一模,S046,old_56_existing,2026各区一模,1-9,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模,standalone_dir,4,3,2,10,0,rework_under_strict_gate,
2026顺义一模,S047,old_56_existing,2026各区一模,1-9,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模,standalone_dir,4,1,2,14,0,rework_under_strict_gate,
2026海淀期中,S048,old_56_existing,2026各区期末和期中,3-1,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026海淀期中,standalone_dir,4,2,2,9,0,rework_under_strict_gate,
2026海淀期末,S049,old_56_existing,2026各区期末和期中,3-1,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026海淀期末,standalone_dir,4,3,1,10,0,rework_under_strict_gate,
2026西城期末,S050,old_56_existing,2026各区期末和期中,3-2,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末,standalone_dir,6,2,4,12,0,rework_under_strict_gate,
2026东城期末,S051,old_56_existing,2026各区期末和期中,3-3,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026东城期末,standalone_dir,4,2,1,10,0,rework_under_strict_gate,
2026朝阳期中,S052,old_56_existing,2026各区期末和期中,3-4,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期中,standalone_dir,6,5,4,13,0,rework_under_strict_gate,
2026朝阳期末,S053,old_56_existing,2026各区期末和期中,3-4,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026朝阳期末,standalone_dir,4,2,2,9,0,rework_under_strict_gate,
2026丰台期末,S054,old_56_existing,2026各区期末和期中,3-5,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026丰台期末,standalone_dir,4,2,2,10,0,rework_under_strict_gate,
2026石景山期末,S055,old_56_existing,2026各区期末和期中,3-9,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026石景山期末,standalone_dir,2,2,0,3,0,rework_under_strict_gate,
2026通州期末,S056,old_56_existing,2026各区期末和期中,3-9,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末,standalone_dir,4,3,2,10,0,rework_under_strict_gate,
2026东城二模,S057,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026东城二模,standalone_dir,8,1,7,0,16,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
2026丰台二模,S058,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模,standalone_dir,3,2,2,0,6,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
2026房山二模,S059,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026房山二模,standalone_dir,3,1,2,0,6,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
2026朝阳二模,S060,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026朝阳二模,standalone_dir,2,2,1,0,4,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
2026海淀二模,S061,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026海淀二模,standalone_dir,2,2,1,0,4,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
2026石景山二模,S062,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026石景山二模,standalone_dir,2,2,1,0,4,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
2026西城二模,S063,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026西城二模,standalone_dir,2,1,1,0,4,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
2026通州一模,S064,new_after_old_56,2026各区一模,new-2026-first-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026通州一模,standalone_dir,2,1,1,0,0,must_preprocess_then_full_v8_review,新增旧 roster 未覆盖套卷
2026顺义二模,S065,new_after_old_56,2026各区二模,new-2026-second-mock,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026顺义二模,standalone_dir,2,0,1,0,4,use_second_mock_backfill_and_full_v8_review,新增 2026 二模
