旧条目#,旧优先级,旧方法,旧题目,旧问题摘要,当前命中条目,处置结论
1,—,追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,旧审核未列实质问题,#1 追求认识的客观性 1. 2026顺义一模 第19题第（2）问（主观题）,当前同方法条目保留
2,中,追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,设问/题号/分值：⚠️ 设问漏标分值“（6分）”。；分类·同题组·角度：⚠️ 本题(顺义二模18(1))“结论一”属形式逻辑(矛盾律/思维一致性)，本条只收科学思维客观性，宜注明结论一另属逻辑规则线。,#2 追求认识的客观性 2. 2026顺义二模 第18题第（1）问（主观题）,当前同方法条目已复核/修订
3,中,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,阐释质量：中　落点“建立在现实依据之上”未说明材料提供了哪些现实依据，轻微空泛。,#3 追求认识的客观性 3. 2025丰台一模 第18题第（1）问（主观题）,当前同方法条目已复核/修订
4,高,追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,设问/题号/分值：❌ 分值错误：【设问说明】写“原题9分”，经核原题为7分（第17题整题11分=(1)7分+(2)4分）。须改为7分。,#4 追求认识的客观性 4. 2024海淀二模 第17题第（1）问（主观题）,当前同方法条目已复核/修订
5,低,追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,设问/题号/分值：⚠️ 题号“第（2）问”与原卷不符：2026海淀一模第17题“指出逻辑错误+提建议”为一体设问，原卷无“第(2)问”；建议统一标注为“第17题(建议部分)”。,#5 追求认识的客观性 5. 2026海淀一模 第17题（建议部分）（主观题）；#23 结果具有可检验性 5. 2026海淀一模 第17题（建议部分）（主观题）；#43 分析与综合 7. 2026海淀一模 第17题（建议部分）（主观题）；#89 发散思维与聚合思维 5. 2026海淀一模 第17题（建议部分）（主观题）,旧条目已换位/重构，当前题源仍在文档中
6,中,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,分类·同题组·角度：⚠️ 同题采分合并：2025石景山一模19题细则将“客观性+可检验性”合为同一个2分采分点，本条(#6客观性)与#21(可检验性)分列两条，宜加注“同题二者合计2分，非各得2分”。；阐释质量：中　落点方向散乱，客观性与可检验性混写，学生方向不明。,#6 追求认识的客观性 6. 2025石景山一模 第19题（主观题）,当前同方法条目已复核/修订
7,—,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,旧审核未列实质问题,#7 追求认识的客观性 7. 2024丰台一模 第19题第（2）问（主观题）,当前同方法条目保留
8,—,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,旧审核未列实质问题,#8 追求认识的客观性 8. 2025门头沟一模 第21题第（1）问（主观题）,当前同方法条目保留
9,—,追求认识的客观性,9. 2025西城一模 第17题（主观题）,旧审核未列实质问题,#9 追求认识的客观性 9. 2025西城一模 第17题（主观题）,当前同方法条目保留
10,—,追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,旧审核未列实质问题,#10 追求认识的客观性 10. 2026西城二模 第18题第（4）问（主观题）,当前同方法条目保留
11,—,追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,旧审核未列实质问题,#11 追求认识的客观性 11. 2026海淀二模 第18题第（1）问（主观题）,当前同方法条目保留
12,中,追求认识的客观性,12. 2026丰台期末 第20题（主观题）,阐释质量：中　仅以材料标签词替换通用表述，信息密度偏低。,#12 追求认识的客观性 12. 2026丰台期末 第20题（主观题）,当前同方法条目已复核/修订
