entry_no,module,node,entry_title,material_trigger_current,prompt_current,why_current,answer_current,source_paper_path,source_rubric_path,question_prompt_source,rubric_source_summary,prompt_copy_verdict,rubric_understanding_verdict,node_verdict,action,notes
1,一、科学思维,追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,具身机器人产品不是一次定型，而是把样机放进养老服务真实场景，通过多轮应用测试、老人和护理人员反馈、运行数据记录和迭代优化，再回到照护场景继续检验功能是否适配、服务是否有效。,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,可检验性要求结论能在实践中被验证或修正。材料里的“应用测试、用户反馈、迭代优化”不是普通研发流程描写，而是把研发设想放回真实使用场景中检验：老人用起来是否方便，护理人员是否减负，功能是否稳定，都要由实践给出回答。这个“研发判断—实践检验—修正完善”的闭环，直接锁定可检验性。,该企业把具身机器人样机放进养老服务真实场景，通过多轮应用测试收集老人和护理人员对使用便利、照护效果、功能适配、安全性和持续运行情况的反馈，并据此迭代优化产品；如果功能不能适应真实护理流程，就要被修正或淘汰，使研发设想、功能设计和服务效果不断接受实践检验与修正，体现科学思维结果具有可检验性。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,科学思维追求认识的客观性；企业从老人真实生活场景与实际需求出发，深入调研、蹲点观察，立足实际设计产品功能。另有预见性、可检验性两点。,patched_exact_from_source,supported_by_formal_rubric,supported_scientific_objectivity,patched_material_prompt_why_answer,删除“先设想机器人概念再找应用场景”等源文未明写的对比，改回老人真实生活习惯与三大核心需求。
2,一、科学思维,追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,车企初期声称 AI 自动驾驶系统全程正常，事故原因是前方车辆突然变道；后续交通部门认定事故主要原因是系统未及时识别前方车辆变道、未做出有效制动反应。企业辩称系统在特定光线条件下存在感知延迟，属于技术待优化点。,结合材料，运用《逻辑与思维》知识，请你对 AI 分析的观点进行点评。（6分）,评价结论二时，关键看企业有没有如实反映事故中的客观事实。车企先把责任推给前方车辆突然变道，后来又说系统在特定光线条件下存在感知延迟，说明最初说法回避了自动驾驶系统未及时识别、未有效制动等真实缺陷。材料把“说法”和“事实”摆在一起，正是科学思维客观性的触发点：认识应从实际出发，如实反映客观对象。,结论二正确。科学思维追求认识客观性，应从实际出发，如实反映客观对象；车企初期把事故原因归结为前方车辆突然变道，却回避系统未及时识别、未有效制动和感知延迟等缺陷，不符合科学思维追求认识客观性的要求。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,（1）结合材料，运用《逻辑与思维》知识，请你对 AI 分析的观点进行点评。（6分）,结论二“企业没有坚持实事求是”正确；科学思维追求认识客观性，必须从实际出发，如实反映客观对象；车企初期刻意回避系统缺陷。,verified_by_original_pdf_render,supported_by_formal_rubric,supported_scientific_objectivity,patched_material_and_answer_exactness,试卷为扫描件，已渲染原PDF第9页视觉核对；把“前车/承认”改为源文“前方车辆/企业辩称系统在特定光线条件下存在感知延迟”。
3,一、科学思维,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,我国发布《新一代人工智能发展规划》，明确基本原则和“三步走”战略目标，并从国家层面对 AI 重塑中国教育进行战略布局，推动判断建立在人工智能发展实际和未来趋势之上。,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,客观性看的是政策判断从哪里来。材料没有把人工智能写成抽象热词，而是写出国家规划、基本原则、分阶段目标和 AI 教育战略布局，说明国家部署不是先定口号再找理由，而是在把握人工智能发展实际和教育变革需要的基础上形成目标和路径。学生看到“规划、基本原则、三步走目标、教育战略布局”共同支撑部署，就应想到科学思维追求认识客观性。,我国从人工智能发展实际和教育实践需要出发，发布发展规划，明确基本原则、阶段目标和重点任务，使人工智能发展部署建立在现实依据之上，而不是脱离实际空喊智能化，体现科学思维追求认识客观性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。,科学思维追求认识的客观性、结果的预见性和可检验性；我国从实际出发，准确预判人工智能发展趋势，提前部署，指明方向，分段规划，并在实践中检验发展成果。,source_exact,supported_after_removing_overreach,supported_scientific_objectivity,patched_material_why_answer,原材料未明写“产业基础、应用场景”；已改为规划、基本原则、三步走目标和AI教育战略布局。
4,一、科学思维,追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,时间利用调查主要采集居民在特定时间内的活动信息，反映个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等时间投入，目标是全面、真实、准确了解我国居民时间利用情况。,（1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）,科学思维首先要看认识是否尊重客观实际。材料反复强调“全面、真实、准确了解”，调查对象又落到个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等真实生活内容，说明这次调查不是凭经验猜测居民生活，也不是为了证明预设结论，而是通过真实数据和真实活动把居民时间利用状况呈现出来。看到“真实数据对应真实生活”，就应对应追求认识客观性。,此次调查以全面、真实、准确了解居民时间利用情况为目标，通过采集居民在特定时间内的活动信息，反映个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等时间投入，为改善民生福祉、科学制定社会民生政策提供详实、准确的统计信息支撑，体现科学思维追求认识客观性。,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,（1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）,时间利用调查是为了全面、真实、准确了解我国居民时间利用情况，追求认识客观性；另含创新思维角度和辩证思维整体性角度。,source_exact_space_normalized,supported_by_formal_rubric,supported_scientific_objectivity,patched_material_and_answer_exactness,源题使用“个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动”等分类；已删去未在当前题面片段出现的睡眠/工作/家务等具体化表述。
5,一、科学思维,追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,调研改进可以从扩大样本对象、修正问卷选项、增加访谈观察、补充数据比对、追问因果链条等多个方向展开，但题目限定提出两条具体可行的建议，说明最后必须从多种可能中筛选、聚焦和落实。,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,围绕调研缺陷提出改进，需要先打开方向再收束方案。发散思维帮助学生先打开改进方向：样本是否充分、选项是否完整、资料是否多元、原因排查是否清楚；聚合思维再把这些方向收束为能执行、能验证的两条建议。看到“提出两条具体可行建议”，就可以对应发散思维与聚合思维。,可先运用发散思维，从扩大样本对象、优化问卷选项、增加访谈观察、补充数据比对、追问原因链条等方向寻找改进路径，尽量打开发现真实问题的可能；再运用聚合思维，围绕调研目的、可操作性和检验效果筛选出两条最能解决原方案缺陷、最便于实施和验证的具体建议，使改进方案既有多方向思考，又能收束成可执行的调研行动。,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,逻辑错误：划分标准不一；选言判断遗漏其他有选择价值的情况。建议可从科学思维、逻辑规则、辩证思维、创新思维等角度；科学思维客观性示例要求从实际出发，了解真实存在的问题和需求，再据此设计选项。,patched_exact_from_source,supported_by_formal_rubric,supported_scientific_objectivity,patched_prompt_material_why_answer,原设问不是“提出两条建议”，而是先指出逻辑错误再为调研科学性提建议；已改回完整设问，并把材料触发限定到划分标准不一/选言遗漏。
6,一、科学思维,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,获奖建议不是从口号出发，而是从社会生活中的具体问题进入，通过文献查阅、问卷调研、访谈和实验数据把问题事实、公众需求和改进可能性逐步弄清楚。,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,“科学建议”不是凭热情喊口号。材料把建议的起点放在真实社会问题和多种资料收集上，说明学生不是先有结论再找例子，而是让认识接受事实约束，再提出公共建议。看到文献、问卷、访谈、实验数据共同支撑建议，就应想到科学思维追求认识客观性。,获奖同学坚持科学思维追求认识客观性，从真实社会问题、公共生活需求和亲身观察出发，通过文献查阅、问卷调研、访谈和实验数据了解情况，分析问题成因、影响范围和改进可能，使公共建议建立在事实、资料和证据之上；公共参与的热情经过客观研究转化为有根据的治理方案，而不是停留在主观猜测。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,获奖建议在实践中产生又接受实践检验，有些建议转化为惠及民生的具体措施，体现科学思维追求认识客观性、结果具有可检验性；另可答归纳推理和创新思维。,patched_score_from_source,supported_by_formal_rubric,supported_scientific_objectivity,patched_prompt_score_only,当前客观性条目有细则支撑；但该题还应在可检验性、归纳推理、创新思维等后续节点分别核验。
7,一、科学思维,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,模拟政协提案围绕商品包装垃圾分类标识展开，既要查找法律条文、城市垃圾分类标准和常见商品外包装印刷标识情况，又要通过具体研究方法继续获得真实资料。,在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。（6分）,题目让补研究方法，核心不是罗列方法名，而是解释这些方法怎样帮助提案接近真实问题。法律条文、城市标准、219 件商品样本和常见外包装标识情况都是客观资料；如果没有继续收集资料，提案就只能停留在“标识要清楚”的主观愿望上。学生看到这些具体调查对象，就应想到科学思维要从实际出发、如实把握对象。,可采用问卷调查、访谈或抽样调查等具体研究方法，有计划、系统地收集与垃圾分类标识相关的数据或资料；也可对不同类别商品外包装进行样本记录和比较，分析商品内包装、外包装以及具体分类类别的标注情况。这样能让模拟政协提案依据真实资料判断标识问题，而不是凭主观感觉提出建议，体现科学思维追求认识客观性。,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,（2）在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。（6分）,可从头脑风暴法、问卷调查法、访谈法等角度作答；理由可写科学思维追求客观性、预见性，通过有计划系统收集数据资料并分析综合比较归纳作出判断和预测。,source_exact,supported_after_removing_overreach,supported_scientific_objectivity,patched_material_and_answer_overreach,删除“商家执行、实际误投”等原题未明写内容，改回219件商品、法律条文、城市标准和外包装标识情况。
8,一、科学思维,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,门头沟转型不是凭空选择“智谷”口号，而是面对千年煤城历史、煤矿关停现实、生态涵养功能、山地资源、产业基础和绿色转型要求等具体区情。,（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,转型智慧首先不是“换一个新名词”，而是从区情出发。千年煤城、资源约束、生态功能、山地资源和产业基础共同限定了门头沟能走什么路，说明转型判断要以客观实际为依据；看到旧基础、现实约束和新方向同时出现，就应先触发科学思维客观性。,门头沟坚持科学思维追求认识客观性，立足千年煤城历史、煤矿关停现实、生态涵养要求、山地资源、产业基础和首都功能定位认识区情，先把区域发展条件和约束弄清楚，再在真实客观条件中寻找“京西智谷”、绿色产业和山地文旅等转型路径，使产业选择服从区域实际、生态要求和绿色发展方向。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,（1）运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,细则写遵循科学思维的客观性和预见性，立足实际或遵循客观规律并结合材料。,patched_subquestion_marker_from_source,supported_by_formal_rubric,supported_scientific_objectivity,patched_prompt_marker_only,客观性节点可收；预见性复挂需在对应节点另行核验。
9,一、科学思维,追求认识的客观性,9. 2025西城一模 第17题（主观题）,温榆生态心不是套用普通公园模板，而是根据清河、温榆河交汇处的水流、深潭浅滩、鱼虫水鸟栖息和粮田保留等自然条件设计建设方式。,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,看到“生态”二字后，还要继续判断方案是不是服从客观条件。生态心建设的起点是当地水系、生物和土地条件，建设者没有把普通公园模板硬套到这里，也没有把人的游览便利放在第一位，而是让方案服从清河、温榆河交汇处的自然肌理和生物栖息需要。材料动作是“从客观生态条件出发确定建设方式”，所以触发科学思维客观性。,温榆生态心从清河与温榆河交汇、水流形态、深潭浅滩、生物栖息、河心岛和粮田保留等客观条件出发规划建设，把当地自然肌理和生态恢复需要作为方案依据；建设中减少游乐设施、园径、路灯等人为干预，使方案服从真实生态实际，而不是套用普通公园模板、只追求人为景观效果，体现科学思维追求认识客观性。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,可从追求认识的客观性、运用辩证思维方法、具有创新意识等角度作答；客观性角度强调从当地客观自然条件出发，遵循自然规律。,patched_score_from_source,supported_by_formal_rubric,supported_scientific_objectivity,patched_prompt_score_only,客观性条目支持；辩证/创新角度如正文另收，需单独回源。
10,一、科学思维,追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,AI 幻觉来自训练数据和算法设计等技术因素，生成内容可能包含偏见、错误和隐蔽价值立场；人机协同时，学生不能把机器输出直接当作事实本身。,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,人机协同时，材料首先提醒学生不要把 AI 输出当成事实本身。AI 幻觉、训练数据偏差、算法错误和隐蔽价值立场，都说明机器生成内容可能偏离客观对象；提升思维品质不是换一个更会说话的工具，而是让判断重新接受事实、证据和多渠道验证的约束。看到“机器输出可能失真，人的认识必须回到事实核验”，就应对应科学思维追求认识客观性。,面对 AI 生成内容，应坚持科学思维追求认识客观性，从实际出发，尊重客观事实与证据，对重要信息进行多渠道交叉验证，注重推理论证的严谨性和实践检验的必要性；还要主动识别训练数据偏差、算法错误、幻觉内容和隐蔽价值立场，保持人的独立判断，不把机器输出直接等同于客观事实，才能避免被虚假信息误导，提升人机协同中的思维品质。,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,细则页图显示角度1为追求认识的客观性：从实际出发，把握和遵循客观规律，尊重事实与证据，注重推理论证严谨性与实践检验必要性，通过多渠道交叉验证，避免虚假信息误导。另有辩证思维、创新思维角度。,patched_subquestion_and_score_from_source,supported_by_rendered_rubric_page,supported_scientific_objectivity,patched_prompt_and_answer_rubric_terms,细则PDF无文本层，已渲染page_10目视核对；客观性角度可收，但本题多角度复挂需后续继续核验。
