suite_id,哲学主观题数(同题多原理记1),主观入学生条目数,选择入学生条目数,module-boundary-excluded,状态
2026_海淀_一模,1,5,0,,included
2026_西城_一模,2,9,0,,included
2026_东城_一模,3,9,0,,included
2026_朝阳_一模,2,9,0,,included
2026_丰台_一模,2,7,0,,included
2026_石景山_一模,2,6,0,,included
2026_房山_一模,2,5,0,,included
2026_延庆_一模,2,8,0,,included
2026_门头沟_一模,2,6,0,,included
2026_顺义_一模,2,8,0,,included
2026_海淀_期末,2,8,0,,included
2026_海淀_期中,0,0,0,,module-boundary-excluded
2026_西城_期末,2,7,0,,included
2026_东城_期末,2,3,0,,included
2026_朝阳_期末,2,2,0,,included
2026_朝阳_期中,1,5,1,,included
2026_丰台_期末,1,4,0,,included
2026_通州_期末,1,6,0,,included
2025_海淀_一模,2,5,0,,included
2025_西城_一模,2,6,0,,included
2025_东城_一模,3,8,1,,included
2025_朝阳_一模,2,6,1,,included
2025_丰台_一模,2,5,2,,included
2025_石景山_一模,2,3,2,,included
2025_房山_一模,2,5,2,,included
2025_延庆_一模,2,4,1,,included
2025_门头沟_一模,2,6,2,,included
2025_顺义_一模,2,6,1,,included
2025_海淀_二模,1,3,2,,included
2025_西城_二模,2,4,3,,included
2025_东城_二模,2,7,1,,included
2025_朝阳_二模,2,5,2,,included
2025_丰台_二模,2,3,2,,included
2025_昌平_二模,2,4,3,,included
2025_海淀_期末,2,11,4,,included
2025_海淀_期中,0,0,0,,module-boundary-excluded
2025_西城_期末,1,4,4,,included
2025_东城_期末,1,1,1,,included
2025_朝阳_期末,2,11,1,,included
2025_丰台_期末,2,7,2,,included
2024_海淀_一模,1,4,3,,included
2024_西城_一模,1,5,3,,included
2024_东城_一模,3,5,2,,included
2024_朝阳_一模,1,2,2,,included
2024_丰台_一模,2,7,1,,included
2024_石景山_一模,1,3,2,,included
2024_海淀_二模,1,3,2,,included
2024_西城_二模,1,2,4,,included
2024_东城_二模,1,5,1,,included
2024_朝阳_二模,1,4,3,,included
2024_丰台_二模,2,5,0,,included
2024_顺义_二模,2,6,4,,included
2024_海淀_期中,0,0,0,,module-boundary-excluded
2024_朝阳_期中,2,9,0,,included
