source_suite,question_no,blocked_node,repair_node,resolution,evidence_level,evidence_path,action,note
2026海淀二模,Q16,联系的普遍性 / 联系的观点（总）,联系的普遍性 / 联系的观点（总）,resolved_by_source_repair,lecture_scoring_support,"99_logs/weak_gate_sources/renders/haidian_lecture/page_015.png;99_logs/weak_gate_sources/renders/haidian_lecture/page_016.png",keep_rewritten_entry,"讲评页明确列出实践与认识、矛盾对立统一、联系、整体部分等知识；本轮按联系节点重写为材料触发链。"
2026海淀二模,Q16,实践是认识的基础,实践是认识的基础,resolved_by_source_repair,lecture_scoring_support,"99_logs/weak_gate_sources/renders/haidian_lecture/page_015.png;99_logs/weak_gate_sources/renders/haidian_lecture/page_016.png",keep_rewritten_entry,"讲评页将有字之书/无字之书对应理论认识/社会实践，明确实践与认识关系；本轮拆出实践基础。"
2026海淀二模,Q16,实践是认识的基础,认识对实践的反作用,resolved_by_source_repair,lecture_scoring_support,"99_logs/weak_gate_sources/renders/haidian_lecture/page_015.png;99_logs/weak_gate_sources/renders/haidian_lecture/page_016.png",add_companion_entry,"同一证据同时支持认识反作用，原 blocked 行只纳入实践基础不足；本轮补出伴随节点。"
2026海淀二模,Q16,联系的普遍性 / 联系的观点（总）,矛盾就是对立统一,resolved_by_source_repair,lecture_scoring_support,"99_logs/weak_gate_sources/renders/haidian_lecture/page_015.png;99_logs/weak_gate_sources/renders/haidian_lecture/page_016.png",add_companion_entry,"讲评页以有字之书与无字之书的区别、依存、贯通作对立统一分析；本轮补出矛盾节点。"
2026西城二模,Q16,矛盾的普遍性和特殊性,矛盾的普遍性和特殊性,resolved_by_source_repair,formal_evaluation_pdf_render,"99_logs/weak_gate_sources/renders/xicheng_rubric/page_001.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_002.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_003.png",keep_rewritten_entry,"评标 PDF 渲染页明确列哲学观点：矛盾普遍性寓于特殊性，特殊性包含普遍性。"
2026西城二模,Q16,实践是认识的基础,实践是认识的基础,resolved_by_source_repair,formal_evaluation_pdf_render,"99_logs/weak_gate_sources/renders/xicheng_rubric/page_001.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_002.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_003.png",keep_rewritten_entry,"评标 PDF 渲染页列实践层面与实践决定认识/来源/动力/标准，可作为本轮回源证据。"
2026西城二模,Q16,实践是认识的基础,价值观的导向作用,resolved_by_source_repair,formal_evaluation_pdf_render,"99_logs/weak_gate_sources/renders/xicheng_rubric/page_001.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_002.png;99_logs/weak_gate_sources/renders/xicheng_rubric/page_003.png",add_companion_entry,"评标 PDF 渲染页另列价值观导向作用；原弱证据清单未拆出此节点，本轮补入。"
2026顺义二模,Q16,实践是认识的基础,实践是认识的基础,resolved_by_source_repair,formal_marking_doc_text,99_logs/weak_gate_sources/26顺义二模评标.txt,keep_rewritten_entry,"评标 doc 明确可从实践观点作答，并在思路二中说明群众实践活动是新大众文艺创作源泉。"
2026顺义二模,Q16,价值观的导向作用,价值观的导向作用,resolved_by_source_repair,formal_marking_doc_text,99_logs/weak_gate_sources/26顺义二模评标.txt,keep_rewritten_entry,"评标 doc 明确列价值观，并说明价值观对认识世界和改造世界活动具有导向作用。"
2026顺义二模,Q16,矛盾就是对立统一,两点论与重点论,resolved_by_source_repair,formal_marking_doc_text,99_logs/weak_gate_sources/26顺义二模评标.txt,replace_node,"原弱证据将矛盾泛写成对立统一；评标 doc 更具体支持矛盾普遍性特殊性、两点论重点论统一与主流价值。"
2026顺义二模,Q16,实践是认识的基础,人民群众,resolved_by_source_repair,formal_marking_doc_text,99_logs/weak_gate_sources/26顺义二模评标.txt,add_companion_entry,"评标 doc 明确人民群众是历史创造者、文化创造主体；本轮补出人民群众节点。"
2026顺义二模,Q16,矛盾就是对立统一,辩证否定 / 守正创新,resolved_by_source_repair,formal_marking_doc_text,99_logs/weak_gate_sources/26顺义二模评标.txt,add_companion_entry,"评标 doc 明确守正创新、继承传统推陈出新、创造性转化创新性发展；本轮补入辩证否定/守正创新。"
2026石景山二模,Q17(3),联系的普遍性 / 联系的观点（总）,联系的普遍性 / 联系的观点（总）,resolved_by_source_repair,formal_rubric_optional_angle,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt,keep_with_optional_angle_note,"细则明确可从联系、矛盾、实践与认识关系等角度回答；只能标可选角度，不能写成逐点累计细则。"
2026石景山二模,Q17(3),矛盾就是对立统一,矛盾就是对立统一,resolved_by_source_repair,formal_rubric_optional_angle,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt,keep_with_optional_angle_note,"同上，矛盾角度为正式细则允许角度。"
2026石景山二模,Q17(3),实践是认识的基础,实践是认识的基础,resolved_by_source_repair,formal_rubric_optional_angle,99_logs/weak_gate_sources/石景山区高三政治第二次模拟考试答案评分细则(1).txt,keep_with_optional_angle_note,"同上，实践与认识关系为正式细则允许角度；学生版须保留证据边界。"
