node_id,book,framework_parent,framework_node,required_status,body_count,index_count,blocked_count,representative_entries,hard_sample_status,notes
TH01,thinking,科学思维,客观性,covered,3,0,0,T-2026-SHUNYI-1MO-Q19-2-A;T-2024-HAIDIAN-2MO-Q17-1-A;T-2026-XICHENG-2MO-Q18-4,hard_sample_present,2026顺义一模Q19(2)与2024海淀二模Q17(1)双硬样本支撑
TH02,thinking,科学思维,预见性,covered,1,0,0,T-2026-SHUNYI-1MO-Q19-2-B,hard_sample_present,硬样本含此节点单独 entry
TH03,thinking,科学思维,可检验性,covered,2,0,0,T-2026-SHUNYI-1MO-Q19-2-C;RM-2026-SHUNYI-1MO-Q19-1,hard_sample_present,Q19(2)主挂+Q19(1)推理证据
TH04,thinking,科学思维,探索性与方法更新,covered,1,0,0,T-2024-HAIDIAN-2MO-Q17-1-B,hard_sample_present,硬样本科学思维内部三节点之一
TH05,thinking,科学思维,整体安排,covered,1,0,0,T-2024-HAIDIAN-2MO-Q17-1-C,hard_sample_present,硬样本科学思维内部三节点之三
TH06,thinking,辩证思维,整体性,covered,2,0,0,T-2025-HAIDIAN-2MO-Q20-B;T-2026-DONGCHENG-1MO-Q19-4,hard_sample_present,海淀二模Q20硬样本+东城一模系统观念
TH07,thinking,辩证思维,动态性,covered,2,0,0,T-2025-HAIDIAN-2MO-Q20-C;T-2024-CHAOYANG-2MO-Q19-1,hard_sample_present,
TH08,thinking,辩证思维,分析与综合,covered,3,0,0,T-2025-HAIDIAN-2MO-Q20-A;T-2026-HAIDIAN-2MO-Q18-1;T-2024-HAIDIAN-1MO-Q17-2,hard_sample_present,V23修正后门头沟转型不再作分析综合主挂
TH09,thinking,辩证思维,质量互变,covered,1,0,0,T-2025-HAIDIAN-2MO-Q20-C,hard_sample_present,与动态性合写为同一硬样本节点
TH10,thinking,辩证思维,辩证否定,covered,3,0,0,T-2025-HAIDIAN-2MO-Q20-D;T-2024-DONGCHENG-1MO-Q18-3;T-2026-HOUSHAN-2MO-Q18-2,hard_sample_present,
