suite,year,phase,source_dir,file_count,paper_files,rubric_files,answer_files,cache_hits,accepted_base_mentions,base_status,next_action
2024东城一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模,3,1,1,1,3,8,base_mentions_found,question_level_audit_required
2024丰台一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模,3,2,1,1,3,6,base_mentions_found,question_level_audit_required
2024朝阳一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模,4,2,2,1,4,5,base_mentions_found,question_level_audit_required
2024海淀一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模,3,1,1,1,3,10,base_mentions_found,question_level_audit_required
2024石景山一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模,2,1,0,1,2,4,base_mentions_found,question_level_audit_required
2024西城一模,2024,一模,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模,5,1,2,2,3,11,base_mentions_found,question_level_audit_required
2025东城一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模,2,1,1,0,2,10,base_mentions_found,question_level_audit_required
2025丰台一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模,2,1,1,0,2,10,base_mentions_found,question_level_audit_required
2025延庆一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模,2,1,1,0,2,9,base_mentions_found,question_level_audit_required
2025房山一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模,2,1,1,0,2,9,base_mentions_found,question_level_audit_required
2025朝阳一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模,6,2,5,0,6,7,base_mentions_found,question_level_audit_required
2025海淀一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模,3,1,1,0,3,8,base_mentions_found,question_level_audit_required
2025石景山一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模,2,1,1,0,2,7,base_mentions_found,question_level_audit_required
2025西城一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模,2,1,1,0,2,11,base_mentions_found,question_level_audit_required
2025门头沟一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模,2,1,1,0,2,10,base_mentions_found,question_level_audit_required
2025顺义一模,2025,一模,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模,2,1,1,0,2,9,base_mentions_found,question_level_audit_required
2026东城一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模,24,2,4,0,12,11,base_mentions_found,question_level_audit_required
2026丰台一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026丰台一模,4,0,1,0,2,10,base_mentions_found,question_level_audit_required
2026延庆一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026延庆一模,4,2,2,0,2,11,base_mentions_found,question_level_audit_required
2026房山一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026房山一模,4,0,2,0,2,9,base_mentions_found,question_level_audit_required
2026朝阳一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026朝阳一模,5,2,3,0,3,9,base_mentions_found,question_level_audit_required
2026海淀一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026海淀一模,4,2,2,0,2,6,base_mentions_found,question_level_audit_required
2026石景山一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026石景山一模,4,2,2,0,2,8,base_mentions_found,question_level_audit_required
2026西城一模,2026,一模,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026西城一模,6,2,2,0,3,12,base_mentions_found,question_level_audit_required
