question_id,patch_scope,patch_action,source_locator,reason
CC0019_2024_朝阳_一模_19,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0015:paper page 7 lines 249-265; rendered/text source recovered after Cowork.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0092_2025_东城_期末_19_1,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0130:paper page 6 lines 199-227.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0131_2025_房山_一模_19,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0081:paper page 6 lines 227-236.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0180_2025_海淀_期末_20,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0139:paper text around Q20 and attached table.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0195_2025_西城_一模_20,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0094:paper page 7 lines 276-283.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0214_2025_门头沟_一模_20_2,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0096:paper pages 7-8 lines 305-344.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0245_2026_东城_期末_18_2,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0206:paper page 6 lines 234-241.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0276_2026_房山_二模_17,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0191:rendered paper page 6.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0277_2026_房山_二模_18,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0191:rendered paper page 7.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0317_2026_海淀_期末_18,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0217:rendered paper page 6.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0318_2026_海淀_期末_18_2,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0217:rendered paper page 6.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0319_2026_海淀_期末_19,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0217:rendered paper page 7.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0353_2026_西城_期末_17,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0221/F0399:rendered paper page 6; answer reference page 11.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0011_2024_丰台_二模_17,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0048:rendered paper page 5; F0047/F0270:rubric text.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0119_2025_丰台_期末_19,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0132:paper page 7 lines 255-280; F0131:rubric slides 45-47.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0251_2026_丰台_一模_20,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0157:rendered paper page 9; F0156:rubric slide 51.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0254_2026_丰台_二模_18,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0188:paper page 7 lines 308-336; F0187:rubric slides 29-34.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0283_2026_朝阳_一模_18,question_row,rebuilt full_question_text/material_text/ask_text from paper source,F0163:paper page 6 lines 269-295; F0162/F0373:rubric text.,"Cowork found material leak, answer-as-material, empty ask, or source-level contamination."
CC0077_2025_东城_一模_19,question_row,filled ask_text,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4,Cowork found empty ask_text while material row was otherwise usable.
CC0084_2025_东城_二模_19,question_row,filled ask_text,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3,Cowork found empty ask_text while material row was otherwise usable.
CC0157_2025_朝阳_期末_20,question_row,filled ask_text,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20,Cowork found empty ask_text while material row was otherwise usable.
