suite,question,module_scope,status,codex_entry,claudecode_entry,fusion_status,evidence_status,notes
2026顺义一模,19(2),思维-科学思维,student_doc_included,THINK-001,thinking_candidate_matrix,merged,scoring_verified,"客观性/预见性/可检验性"
2026朝阳期中,21(2),思维-创新思维,student_doc_included,THINK-002,thinking_candidate_matrix,merged,scoring_verified,"联想/逆向/发散聚合/超前"
2024朝阳期中,19,思维-创新思维,student_doc_included,THINK-003,thinking_candidate_matrix,merged,scoring_verified,"首发经济; 发散聚合/联想/逆向/超前"
2025昌平二模,19,思维-创新思维,student_doc_included,THINK-004,thinking_candidate_matrix,merged,scoring_verified,"沉浸式演艺; 逆向/联想/发散聚合"
2024西城一模,19(5),思维-超前思维,student_doc_included,THINK-005,thinking_candidate_matrix,merged,answer_verified,"调查研究/矛盾分析/推理和想象"
2024海淀二模,17(2),思维-认识发展历程,student_doc_included,THINK-006,thinking_candidate_matrix,merged,scoring_verified,"感性具体-思维抽象-思维具体"
2026通州期末,11,思维-选择题陷阱,student_doc_included,THINK-007,thinking_candidate_matrix,merged,answer_verified,"正确选C; 四选项保留"
2026海淀期末,20(2),思维-超前思维,student_doc_included,THINK-008,thinking_candidate_matrix,merged,scoring_verified,"城市书房; 超前思维"
2025海淀二模,20,思维-辩证思维,student_doc_included,THINK-009,thinking_candidate_matrix,merged,scoring_verified,"共享发展; 整体性/质量互变/辩证否定"
2024东城一模,相关题,思维-辩证否定与超前思维,student_doc_included,THINK-010,thinking_candidate_matrix,merged,scoring_verified,"传统产业与未来产业"
2024朝阳二模,19(1),思维-动态性,student_doc_included,THINK-011,thinking_candidate_matrix,merged,scoring_verified,"生生之宇宙观"
2024朝阳期中,18,推理-归纳与类比,student_doc_included,REASON-001,reasoning_type_matrix,merged,scoring_verified,"不完全归纳/类比"
2025朝阳一模,17(1),推理-必要条件假言推理,student_doc_included,REASON-002,reasoning_type_matrix,merged,scoring_verified,"必要条件误用"
2025顺义一模,17,推理-假言与选言综合,student_doc_included,REASON-003,reasoning_type_matrix,merged,scoring_verified,"充分条件/必要条件/相容选言"
2025顺义一模,7,推理-三段论错误,student_doc_included,REASON-004,reasoning_type_matrix,merged,answer_verified,"四概念/中项不周延/大小项扩大"
2025昌平二模,13,推理-三段论组合,student_doc_included,REASON-005,reasoning_type_matrix,merged,answer_verified,"正确组合②-①-③"
2026海淀期末,20(1),推理-充分条件假言推理,student_doc_included,REASON-006,reasoning_type_matrix,merged,scoring_verified,"肯定后件错误"
2026通州期末,19(2),推理-假言推理辨析,student_doc_included,REASON-007,reasoning_type_matrix,merged,scoring_verified,"推理①正确; 推理②错误"
2024朝阳二模,19(2),推理-联言判断,student_doc_included,REASON-008,reasoning_type_matrix,merged,scoring_verified,"联言判断保真条件"
2024东城一模,相关题,推理-类比与求异法,student_doc_included,REASON-009,reasoning_type_matrix,merged,scoring_verified,"北极熊毛衣材料"
