suite_id,year,district,stage,question_no,answer,overview_sentence,wrong_option_sentences,question_excerpt,answer_source,notes
2024_朝阳_二模_003,2024,朝阳,二模,11,,"在020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是中，正确答案尚未从可靠答案表自动锁定；本题暂不判定具体错项，因为选择题预处理必须先确认客观答案，不能把普通材料推断冒充答案。",答案未锁定，需回原卷可靠客观答案表确认后再补写错项句。,"11. 小李父母名下有一套房产,其母 2018 年去世,未立遗嘱。 小李的外祖父母 2020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是 ①小李父亲拥有的房产份额按照遗嘱全部由小李继承 ②小李无需取得其舅舅的同意,就可以取得该房产的全部产权 ③小李母亲去世后,其名下房产份额依法定继承规定,一般应当均等分配 ④小李外祖父母去世后,小李以第二顺序继承人身份可继承相应房产份额 A. ①② B. ①③ C. ②④ D. ③④",/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,未自动锁定可靠答案
2024_朝阳_二模_003,2024,朝阳,二模,12,,"在赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是中，正确答案尚未从可靠答案表自动锁定；本题暂不判定具体错项，因为选择题预处理必须先确认客观答案，不能把普通材料推断冒充答案。",答案未锁定，需回原卷可靠客观答案表确认后再补写错项句。,"12. 刘某和张某在某场地进行羽毛球比赛。 比赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是 A. 本次诉讼中,刘某和张某都有委托辩护人、申请回避和上诉的权利 B. 自诉人刘某可就张某的行为向法院提起诉讼,追究张某的刑事责任 C. 刘某提起的诉讼属于解决平等主体之间的民事权利和义务纠纷的民事诉讼 D. 刘某不服二审裁判,可以请求启动审判监督程序或向上一级法院提出上诉",/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,未自动锁定可靠答案
2024_海淀_一模_005,2024,海淀,一模,10,D,在作，经过培训或者调整工作岗位，仍不能胜任工作的； （三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经 用人单位与劳动者协商，未能就变更劳动合同内容达成协议的中，应当公司解除与张某的劳动合同，侵害了张某的合法权益 高三年级（思想政治） 第 4 页（共 8 页）；本题主要错在把法律关系、责任条件或程序边界说偏，因为选必二判断必须同时看主体、行为、权利义务和法定条件。,A项不对在劳动关系中的法定义务、合同变更或程序边界不准，因为该说法“补充协议是对劳动合同的变更，所以没有法律约束力”需要回到题面事实和具体法律规则复核。；B项不对在法律关系、责任条件或材料边界判断不准，因为该说法“如张某经培训仍不能业绩达标，公司可立即解除合同”需要回到题面事实和具体法律规则复核。；C项不对在纠纷解决程序或法律效力判断不准，因为该说法“张某若申请劳动仲裁，裁决一经作出即发生法律效力”需要回到题面事实和具体法律规则复核。,10．销售员张某在某公司工作三年后，公司与其签订补充协议，约定每月销售额低于 3 万元无工 资；连续两个月销售额低于 3 万元，公司将予以辞退。后来，公司以张某连续三个月业绩未 达标为由，拒绝支付其当月工资，并发出解除劳动合同通知。依据下列法律条款可推知 中华人民共和国劳动合同法 第四十条 有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或 者额外支付劳动者一个月工资后，可以解除劳动合同： （一） …… （二）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的； （三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经 用人单位与劳动者协商，未能就变更劳动合同内容达成协议的。 A．补充协议是对劳动合同的变更，所以没有法律约束力 B．如张某经培训仍不能业绩达标，公司可立即解除合同 C．张某若申请劳动仲裁，裁决一经作出即发生法律效力 D．公司解除与张某的劳动合同，侵害了张某的合法权益 高三年级（思想政治） 第 4 页（共 8 页）,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,
2024_海淀_一模_005,2024,海淀,一模,11,C,在蔡某等人在一小区的空地上踢足球。为了抢球，龚某侧身跃起的时候将蔡某压倒在地， 致其右手受伤，蔡某遂提起民事诉讼，要求赔偿损失，法院判决驳回其诉讼请求。下列对本案 的推断中，正确的是中，应当②判决结果体现民法公平原则，合理确定双方权利和义务、③庭审过程中，审判长询问双方是否同意调解，如果同意则合议庭主持调解；本题主要错在①表述绝对化或条件缺失、④法律关系、责任条件或材料边界判断不准，因为选必二判断必须同时看主体、行为、权利义务和法定条件。,A项不对在包含错误判断①（表述绝对化或条件缺失），漏掉正确判断③，因为该组合没有同时扣准题面事实和具体法律规则。；B项不对在包含错误判断①（表述绝对化或条件缺失）、④（法律关系、责任条件或材料边界判断不准），漏掉正确判断③、②，因为该组合没有同时扣准题面事实和具体法律规则。；D项不对在包含错误判断④（法律关系、责任条件或材料边界判断不准），漏掉正确判断②，因为该组合没有同时扣准题面事实和具体法律规则。,11．龚某与蔡某等人在一小区的空地上踢足球。为了抢球，龚某侧身跃起的时候将蔡某压倒在地， 致其右手受伤，蔡某遂提起民事诉讼，要求赔偿损失，法院判决驳回其诉讼请求。下列对本案 的推断中，正确的是 ①蔡某受伤是因不可抗力引起的，龚某无需承担赔偿责任 ②判决结果体现民法公平原则，合理确定双方权利和义务 ③庭审过程中，审判长询问双方是否同意调解，如果同意则合议庭主持调解 ④如果蔡某不服法院判决结果，可以在判决后十日内申请启动审判监督程序 A．①② B．①④ C．②③ D．③④,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,
2024_石景山_一模_011,2024,石景山,一模,11,,在疗时间而将商家诉至法院，请求 判决商家承担价款的三倍赔偿责任，以及自己看牙的医疗费损失。法院最终判决商 家赔偿其三倍价款，驳回了赵某要求商家赔偿医疗费用的诉讼请求。以下理解正确的是中，正确答案尚未从可靠答案表自动锁定；本题暂不判定具体错项，因为选择题预处理必须先确认客观答案，不能把普通材料推断冒充答案。,答案未锁定，需回原卷可靠客观答案表确认后再补写错项句。,11．买家赵某连续多年在某牙膏旗舰店购买了多支“专业蛀牙修复”牙膏，因最终未达到商家宣传疗效反而导致自己错失口腔疾病最佳治疗时间而将商家诉至法院，请求 判决商家承担价款的三倍赔偿责任，以及自己看牙的医疗费损失。法院最终判决商 家赔偿其三倍价款，驳回了赵某要求商家赔偿医疗费用的诉讼请求。以下理解正确的是 ①商家虚假宣传行为侵犯了赵某作为消费者的知情权、自主选择权及安全消费权利 ②由于涉案双方之间存在买卖合同关系，商家应当承担三倍惩罚性赔偿的违约责任 ③牙膏不属于医疗器械、药品的范围，商家构成欺诈行为，应承担惩罚性赔偿责任 ④赵某如不能证明其牙病的发生与涉案产品间存在因果关系需承担举证不能的责任 A．①② B．①④ C．②③ D．③④,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,未自动锁定可靠答案
2024_西城_一模_012,2024,西城,一模,6,C,在。王某又向钱某借了20万元，承诺半年后还款。结果，半年后王某并没有还款。钱某不满，在得知王某名下有机动车后，将王某诉至人民法院，要求将王某名下的机动车折价赔偿给他。以下认识正确的是中，应当②本案涉及担保物权，对应的是机动车的交换价值、④赵某实际占有王某作为担保物的机动车，享有质权，可依法优先受偿 A．；本题主要错在①权利类型或物权效力判断不准、③权利类型或物权效力判断不准，因为选必二判断必须同时看主体、行为、权利义务和法定条件。,A项不对在包含错误判断①（权利类型或物权效力判断不准），漏掉正确判断④，因为该组合没有同时扣准题面事实和具体法律规则。；B项不对在包含错误判断①（权利类型或物权效力判断不准）、③（权利类型或物权效力判断不准），漏掉正确判断②、④，因为该组合没有同时扣准题面事实和具体法律规则。；D项不对在包含错误判断③（权利类型或物权效力判断不准），漏掉正确判断②，因为该组合没有同时扣准题面事实和具体法律规则。,6． 王某向赵某借了50万元，并将自己唯一的机动车交予赵某作为质押。王某又向钱某借了20万元，承诺半年后还款。结果，半年后王某并没有还款。钱某不满，在得知王某名下有机动车后，将王某诉至人民法院，要求将王某名下的机动车折价赔偿给他。以下认识正确的是 ①本案涉及债权关系，客体是王某名下的机动车 ②本案涉及担保物权，对应的是机动车的交换价值 ③王某将机动车交予赵某，赵某则拥有了该机动车的所有权 ④赵某实际占有王某作为担保物的机动车，享有质权，可依法优先受偿 A．①② B．①③ C．②④ D．③④,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,
2024_西城_一模_012,2024,西城,一模,7,A,在布的《食用农产品市场销售质量安全监督管理办法》规定，销售生鲜食用农产品，不得使用对食用农产品的真实色泽等感官性状造成明显改变的照明等设施误导消费者对商品的感官认知。下列观点正确的是中，应当①经营者应依法、诚信经营，保障消费者的合法权益、②消费者发现经营者利用“生鲜灯”等照明设施误导自己，可依法维权；本题主要错在③法律关系、责任条件或材料边界判断不准、④消费者权利定位或经营者义务判断不准，因为选必二判断必须同时看主体、行为、权利义务和法定条件。,B项不对在包含错误判断④（消费者权利定位或经营者义务判断不准），漏掉正确判断②，因为该组合没有同时扣准题面事实和具体法律规则。；C项不对在包含错误判断③（法律关系、责任条件或材料边界判断不准），漏掉正确判断①，因为该组合没有同时扣准题面事实和具体法律规则。；D项不对在包含错误判断③（法律关系、责任条件或材料边界判断不准）、④（消费者权利定位或经营者义务判断不准），漏掉正确判断①、②，因为该组合没有同时扣准题面事实和具体法律规则。,7． 蔬菜照绿光加正白光、鲜肉照红光加冷白光、海鲜照蓝光加冷白光……打灯销售生鲜农产品的现象很普遍，这种灯行业内叫“生鲜灯”。“生鲜灯”照射下的食品格外诱人。国家市场监管总局修订发布的《食用农产品市场销售质量安全监督管理办法》规定，销售生鲜食用农产品，不得使用对食用农产品的真实色泽等感官性状造成明显改变的照明等设施误导消费者对商品的感官认知。下列观点正确的是 ①经营者应依法、诚信经营，保障消费者的合法权益 ②消费者发现经营者利用“生鲜灯”等照明设施误导自己，可依法维权 ③经营者使用“生鲜灯”销售产品属于不正当竞争，是搭他人商业信誉的便车 ④经营者利用与消费者信息不对称的优势，侵害了消费者的自主选择权 A．①② B．①④ C．②③ D．③④,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,
2024_西城_二模_013,2024,西城,二模,13,C,在在人民调解方式的探索与深化方面，追求“小事不出村，大事不出镇，矛盾不上交”的“枫桥经验”是典型代表。我们要坚持好、发展好新时代“枫桥经验”，是因为它中，应当②是党领导下解决纠纷行之有效的基层社会治理机制和方法、③依靠人民群众正确处理人民内部矛盾；本题主要错在①法律关系、责任条件或材料边界判断不准、④纠纷解决程序或法律效力判断不准，因为选必二判断必须同时看主体、行为、权利义务和法定条件。,A项不对在包含错误判断①（法律关系、责任条件或材料边界判断不准），漏掉正确判断②，因为该组合没有同时扣准题面事实和具体法律规则。；B项不对在包含错误判断①（法律关系、责任条件或材料边界判断不准）、④（纠纷解决程序或法律效力判断不准），漏掉正确判断③、②，因为该组合没有同时扣准题面事实和具体法律规则。；D项不对在包含错误判断④（纠纷解决程序或法律效力判断不准），漏掉正确判断③，因为该组合没有同时扣准题面事实和具体法律规则。,13．在人民调解方式的探索与深化方面，追求“小事不出村，大事不出镇，矛盾不上交”的“枫桥经验”是典型代表。我们要坚持好、发展好新时代“枫桥经验”，是因为它 ①尊重当事人的权利，只收取最基本的费用 ②是党领导下解决纠纷行之有效的基层社会治理机制和方法 ③依靠人民群众正确处理人民内部矛盾 ④由人民法院主持调解，可使当事人达成调解协议 A．①③ B．①④ C．②③ D．②④,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,
2024_顺义_二模_014,2024,顺义,二模,10,B,在广。合同约定平均每日可增加营销额数百元，吴某支付推广费用2万余元。合作期间，引流带货效果与在签订协议时对方承诺的相差甚远，吴某总共只赚了200元。由此引起合同纠纷。以下分析正确的是中，应当传媒公司违背诚信经营，因未完全履行合同需承担违约责任；本题主要错在把法律关系、责任条件或程序边界说偏，因为选必二判断必须同时看主体、行为、权利义务和法定条件。,A项不对在法律关系、责任条件或材料边界判断不准，因为该说法“订立合同就能规范市场主体的交易行为，维护民事权利”需要回到题面事实和具体法律规则复核。；C项不对在纠纷解决程序或法律效力判断不准，因为该说法“吴某可以申请仲裁，对仲裁不服可提起诉讼解决合同纠纷”需要回到题面事实和具体法律规则复核。；D项不对在法律关系、责任条件或材料边界判断不准，因为该说法“传媒公司履行合同义务不符合约定，应该向吴某公开道歉”需要回到题面事实和具体法律规则复核。,10.近年来，越来越多的商家通过直播带货吸引消费者。经营者吴某与某文化传媒公司合作，约定由该公司负责吴某所经营店铺在某平台上的运营与推广。合同约定平均每日可增加营销额数百元，吴某支付推广费用2万余元。合作期间，引流带货效果与在签订协议时对方承诺的相差甚远，吴某总共只赚了200元。由此引起合同纠纷。以下分析正确的是 A.订立合同就能规范市场主体的交易行为，维护民事权利 B.传媒公司违背诚信经营，因未完全履行合同需承担违约责任 C.吴某可以申请仲裁，对仲裁不服可提起诉讼解决合同纠纷 D.传媒公司履行合同义务不符合约定，应该向吴某公开道歉,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
2024_顺义_二模_014,2024,顺义,二模,11,A,在了这起事件。E公司就此诉至法院，主张某报业公司、小卫的行为构成共同侵权，要求立即删除案涉内容，公开赔礼道歉并赔偿经济损失。一审法院判决驳回了E公司的全部诉讼请求。对此，认识正确的是中，应当①小卫匿名差评，积极行使了批评监督权，没有逾越法律红线、③某报业公司作为新闻媒体，为公共利益如实报道，不承担民事责任；本题主要错在②法律关系、责任条件或材料边界判断不准、④法律关系、责任条件或材料边界判断不准，因为选必二判断必须同时看主体、行为、权利义务和法定条件。,B项不对在包含错误判断④（法律关系、责任条件或材料边界判断不准），漏掉正确判断③，因为该组合没有同时扣准题面事实和具体法律规则。；C项不对在包含错误判断②（法律关系、责任条件或材料边界判断不准），漏掉正确判断①，因为该组合没有同时扣准题面事实和具体法律规则。；D项不对在包含错误判断②（法律关系、责任条件或材料边界判断不准）、④（法律关系、责任条件或材料边界判断不准），漏掉正确判断①、③，因为该组合没有同时扣准题面事实和具体法律规则。,11.小卫购买并学习了E公司的课程后，对此课程不满意，在某网站匿名评价。之后小卫向某报业公司投稿，某报业公司调查后如实报道了这起事件。E公司就此诉至法院，主张某报业公司、小卫的行为构成共同侵权，要求立即删除案涉内容，公开赔礼道歉并赔偿经济损失。一审法院判决驳回了E公司的全部诉讼请求。对此，认识正确的是 ①小卫匿名差评，积极行使了批评监督权，没有逾越法律红线 ②本判决为终审判决，E公司不得提起上诉 ③某报业公司作为新闻媒体，为公共利益如实报道，不承担民事责任 ④该案件适用举证责任倒置原则，故小卫需承担举证责任 A.①③ B.①④ C.②③ D.②④,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,
