canonical_node,source_suite,question_no,inserted_heading
价值观的导向作用,2026东城二模,Q16,24. 2026东城二模 第16题（主观题）
价值观的导向作用,2026朝阳二模,Q16,25. 2026朝阳二模 第16题（主观题）
价值观的导向作用,2026丰台二模,Q16,26. 2026丰台二模 第16题（主观题）
价值观的导向作用,2026顺义二模,Q16,27. 2026顺义二模 第16题（主观题）
人民群众,2026顺义二模,Q16,25. 2026顺义二模 第16题（主观题）
实践是认识的基础,2026东城二模,Q16,23. 2026东城二模 第16题（主观题）
实践是认识的基础,2026西城二模,Q16,24. 2026西城二模 第16题（主观题）
实践是认识的基础,2026顺义二模,Q16,25. 2026顺义二模 第16题（主观题）
实践与认识（总）,2026海淀二模,Q16,27. 2026海淀二模 第16题（主观题）
实践与认识（总）,2026石景山二模,Q17(3),28. 2026石景山二模 第17(3)题（主观题）
两点论与重点论,2026顺义二模,Q16,10. 2026顺义二模 第16题（主观题）
主要矛盾和次要矛盾,2025海淀一模,Q22,3. 2025海淀一模 第22题（主观题）
矛盾的普遍性和特殊性,2026西城二模,Q16,15. 2026西城二模 第16题（主观题）
矛盾的特殊性 / 具体问题具体分析,2026东城二模,Q16,24. 2026东城二模 第16题（主观题）
矛盾的特殊性 / 具体问题具体分析,2026朝阳二模,Q16,25. 2026朝阳二模 第16题（主观题）
矛盾的特殊性 / 具体问题具体分析,2026丰台二模,Q16,26. 2026丰台二模 第16题（主观题）
矛盾就是对立统一,2026朝阳二模,Q16,33. 2026朝阳二模 第16题（主观题）
矛盾就是对立统一,2026通州一模,Q18,34. 2026通州一模 第18题（主观题）
矛盾就是对立统一,2026石景山二模,Q17(3),35. 2026石景山二模 第17(3)题（主观题）
辩证否定 / 守正创新,2026东城二模,Q16,17. 2026东城二模 第16题（主观题）
辩证否定 / 守正创新,2026朝阳二模,Q16,18. 2026朝阳二模 第16题（主观题）
辩证否定 / 守正创新,2026通州一模,Q18,19. 2026通州一模 第18题（主观题）
辩证否定 / 守正创新,2026顺义二模,Q16,20. 2026顺义二模 第16题（主观题）
量变与质变 / 适度原则,2026朝阳二模,Q21,15. 2026朝阳二模 第21题（主观题）
量变与质变 / 适度原则,2026房山二模,Q16,16. 2026房山二模 第16题（主观题）
发展的观点 / 发展的普遍性,2026丰台二模,Q16,28. 2026丰台二模 第16题（主观题）
系统观念 / 系统优化,2026东城二模,Q16,19. 2026东城二模 第16题（主观题）
系统观念 / 系统优化,2026朝阳二模,Q21,20. 2026朝阳二模 第21题（主观题）
系统观念 / 系统优化,2026丰台二模,Q16,21. 2026丰台二模 第16题（主观题）
系统观念 / 系统优化,2026房山二模,Q16,22. 2026房山二模 第16题（主观题）
系统观念 / 系统优化,2025海淀一模,Q22,23. 2025海淀一模 第22题（主观题）
联系的普遍性 / 联系的观点（总）,2026海淀二模,Q16,29. 2026海淀二模 第16题（主观题）
联系的普遍性 / 联系的观点（总）,2026石景山二模,Q17(3),30. 2026石景山二模 第17(3)题（主观题）
尊重客观规律与发挥主观能动性相结合,2026丰台二模,Q16,19. 2026丰台二模 第16题（主观题）
尊重客观规律与发挥主观能动性相结合,2026房山二模,Q16,20. 2026房山二模 第16题（主观题）
物质决定意识,2026东城二模,Q16,6. 2026东城二模 第16题（主观题）
价值观的导向作用,2026朝阳二模,Q1,28. 2026朝阳二模 第1题（选择题）
实践是认识的基础,2026朝阳二模,Q3,26. 2026朝阳二模 第3题（选择题）
社会存在与社会意识,2026朝阳二模,Q3,12. 2026朝阳二模 第3题（选择题）
联系的多样性,2026朝阳二模,Q4,7. 2026朝阳二模 第4题（选择题）
系统观念 / 系统优化,2026朝阳二模,Q4,24. 2026朝阳二模 第4题（选择题）
系统观念 / 系统优化,2026石景山二模,Q1,25. 2026石景山二模 第1题（选择题）
矛盾就是对立统一,2026石景山二模,Q2,36. 2026石景山二模 第2题（选择题）
整体与部分,2026石景山二模,Q3,16. 2026石景山二模 第3题（选择题）
矛盾的特殊性 / 具体问题具体分析,2026石景山二模,Q3,27. 2026石景山二模 第3题（选择题）
实践是认识的基础,2026石景山二模,Q9,27. 2026石景山二模 第9题（选择题）
人民群众,2026石景山二模,Q9,26. 2026石景山二模 第9题（选择题）
一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026朝阳一模,Q1,18. 2026朝阳一模 第1题（选择题）
实践与认识（总）,2026朝阳一模,Q1,29. 2026朝阳一模 第1题（选择题）
价值观的导向作用,2026朝阳一模,Q2,29. 2026朝阳一模 第2题（选择题）
辩证否定 / 守正创新,2026朝阳一模,Q3,21. 2026朝阳一模 第3题（选择题）
社会存在与社会意识,2026海淀二模,Q2,13. 2026海淀二模 第2题（选择题）
主观能动性 / 意识的能动作用,2026海淀二模,Q3,26. 2026海淀二模 第3题（选择题）
联系的客观性,2026海淀二模,Q4,3. 2026海淀二模 第4题（选择题）
一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2024丰台一模,Q8,19. 2024丰台一模 第8题（选择题）
系统观念 / 系统优化,2024丰台一模,Q8,26. 2024丰台一模 第8题（选择题）
人民群众,2025东城一模,Q1,27. 2025东城一模 第1题（选择题）
根据固有联系建立新的具体联系,2025东城一模,Q4,8. 2025东城一模 第4题（选择题）
矛盾就是对立统一,2025东城一模,Q5,37. 2025东城一模 第5题（选择题）
发展的观点 / 发展的普遍性,2025东城一模,Q16,29. 2025东城一模 第16题（主观题）
辩证否定 / 守正创新,2025丰台一模,Q15,22. 2025丰台一模 第15题（选择题）
一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2025丰台一模,Q18(1),20. 2025丰台一模 第18题第（1）问（主观题）
尊重客观规律与发挥主观能动性相结合,2025海淀一模,Q2,21. 2025海淀一模 第2题（选择题）
矛盾就是对立统一,2025海淀一模,Q5,38. 2025海淀一模 第5题（选择题）
联系的普遍性 / 联系的观点（总）,2026西城二模,Q3,31. 2026西城二模 第3题（选择题）
系统观念 / 系统优化,2026西城二模,Q4,27. 2026西城二模 第4题（选择题）
价值观的导向作用,2026西城二模,Q16,30. 2026西城二模 第16题（主观题）
一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026西城二模,Q20,21. 2026西城二模 第20题（主观题）
人民群众,2026西城二模,Q20,26. 2026西城二模 第20题（主观题）
发展的观点 / 发展的普遍性,2026西城二模,Q20,30. 2026西城二模 第20题（主观题）
一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026房山一模,Q16(2),10. 2026房山一模 第16题第（2）问（主观题）
尊重客观规律与发挥主观能动性相结合,2026房山一模,Q16(2),16. 2026房山一模 第16题第（2）问（主观题）
联系的普遍性 / 联系的观点（总）,2026房山一模,Q16(2),18. 2026房山一模 第16题第（2）问（主观题）
矛盾的普遍性和特殊性,2026房山一模,Q16(2),10. 2026房山一模 第16题第（2）问（主观题）
整体与部分,2026房山一模,Q16(2),17. 2026房山一模 第16题第（2）问（主观题）
系统观念 / 系统优化,2026房山一模,Q18(1),17. 2026房山一模 第18题第（1）问（主观题）
量变与质变 / 适度原则,2026房山一模,Q18(1),11. 2026房山一模 第18题第（1）问（主观题）
矛盾的特殊性 / 具体问题具体分析,2026房山一模,Q18(1),15. 2026房山一模 第18题第（1）问（主观题）
两点论与重点论,2026房山一模,Q18(1),11. 2026房山一模 第18题第（1）问（主观题）
系统观念 / 系统优化,2026房山一模,Q20,13. 2026房山一模 第20题（主观题）
实践与认识（总）,2026房山一模,Q20,16. 2026房山一模 第20题（主观题）
矛盾就是对立统一,2026房山一模,Q20,39. 2026房山一模 第20题（主观题）
一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,2026门头沟一模,Q4,17. 2026门头沟一模 第4题（选择题）
辩证否定 / 守正创新,2026门头沟一模,Q5,16. 2026门头沟一模 第5题（选择题）
实践是认识的基础,2026门头沟一模,Q7,28. 2026门头沟一模 第7题（选择题）
联系的普遍性 / 联系的观点（总）,2026门头沟一模,Q16,16. 2026门头沟一模 第16题（主观题）
