canonical_question_id,suite_id,original_qno,question_type,rubric_pairing_status,can_enter_fusion,can_enter_student_draft,notes
Q-2024朝阳一模-1,S-2024朝阳一模,1,选择题,paired_candidate,no,no,
Q-2024朝阳一模-10,S-2024朝阳一模,10,选择题,paired_candidate,no,no,
Q-2024朝阳一模-11,S-2024朝阳一模,11,选择题,paired_candidate,no,no,
Q-2024朝阳一模-12,S-2024朝阳一模,12,选择题,paired_candidate,no,no,
Q-2024朝阳一模-13,S-2024朝阳一模,13,选择题,paired_candidate,no,no,
Q-2024朝阳一模-14,S-2024朝阳一模,14,选择题,paired_candidate,no,no,
Q-2024朝阳一模-15,S-2024朝阳一模,15,选择题,paired_candidate,no,no,
Q-2024朝阳一模-16,S-2024朝阳一模,16,主观题,paired_candidate,no,no,
Q-2024朝阳一模-17,S-2024朝阳一模,17,主观题,paired_candidate,no,no,
Q-2024朝阳一模-18-1,S-2024朝阳一模,18(1),主观题,paired_candidate,no,no,
Q-2024朝阳一模-18-2,S-2024朝阳一模,18(2),主观题,paired_candidate,no,no,
Q-2024朝阳一模-19,S-2024朝阳一模,19,主观题,paired_candidate,no,no,
Q-2024朝阳一模-2,S-2024朝阳一模,2,选择题,paired_candidate,no,no,
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),主观题,paired_candidate,no,no,
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),主观题,paired_candidate,no,no,
Q-2024朝阳一模-21,S-2024朝阳一模,21,主观题,paired_candidate,no,no,
Q-2024朝阳一模-3,S-2024朝阳一模,3,选择题,paired_candidate,no,no,
Q-2024朝阳一模-4,S-2024朝阳一模,4,选择题,paired_candidate,no,no,
Q-2024朝阳一模-5,S-2024朝阳一模,5,选择题,paired_candidate,no,no,
Q-2024朝阳一模-6,S-2024朝阳一模,6,选择题,paired_candidate,no,no,
Q-2024朝阳一模-7,S-2024朝阳一模,7,选择题,paired_candidate,no,no,
Q-2024朝阳一模-8,S-2024朝阳一模,8,选择题,paired_candidate,no,no,
Q-2024朝阳一模-9,S-2024朝阳一模,9,选择题,paired_candidate,no,no,
Q-2024朝阳二模-1,S-2024朝阳二模,1,选择题,paired_candidate,no,no,
Q-2024朝阳二模-10,S-2024朝阳二模,10,选择题,paired_candidate,no,no,
Q-2024朝阳二模-11,S-2024朝阳二模,11,选择题,paired_candidate,no,no,
Q-2024朝阳二模-12,S-2024朝阳二模,12,选择题,paired_candidate,no,no,
Q-2024朝阳二模-13,S-2024朝阳二模,13,选择题,paired_candidate,no,no,
Q-2024朝阳二模-14,S-2024朝阳二模,14,选择题,paired_candidate,no,no,
Q-2024朝阳二模-15,S-2024朝阳二模,15,选择题,paired_candidate,no,no,
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),主观题,paired_candidate,no,no,
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),主观题,paired_candidate,no,no,
Q-2024朝阳二模-17,S-2024朝阳二模,17,主观题,paired_candidate,no,no,
Q-2024朝阳二模-18,S-2024朝阳二模,18,主观题,paired_candidate,no,no,
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),主观题,paired_candidate,no,no,
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),主观题,paired_candidate,no,no,
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),主观题,paired_candidate,no,no,
Q-2024朝阳二模-2,S-2024朝阳二模,2,选择题,paired_candidate,no,no,
Q-2024朝阳二模-20,S-2024朝阳二模,20,主观题,paired_candidate,no,no,
Q-2024朝阳二模-3,S-2024朝阳二模,3,选择题,paired_candidate,no,no,
Q-2024朝阳二模-4,S-2024朝阳二模,4,选择题,paired_candidate,no,no,
Q-2024朝阳二模-5,S-2024朝阳二模,5,选择题,paired_candidate,no,no,
Q-2024朝阳二模-6,S-2024朝阳二模,6,选择题,paired_candidate,no,no,
Q-2024朝阳二模-7,S-2024朝阳二模,7,选择题,paired_candidate,no,no,
Q-2024朝阳二模-8,S-2024朝阳二模,8,选择题,paired_candidate,no,no,
Q-2024朝阳二模-9,S-2024朝阳二模,9,选择题,paired_candidate,no,no,
Q-2024朝阳期中-1,S-2024朝阳期中,1,选择题,paired_candidate,no,no,
Q-2024朝阳期中-10,S-2024朝阳期中,10,选择题,paired_candidate,no,no,
Q-2024朝阳期中-11,S-2024朝阳期中,11,选择题,paired_candidate,no,no,
Q-2024朝阳期中-12,S-2024朝阳期中,12,选择题,paired_candidate,no,no,
Q-2024朝阳期中-13,S-2024朝阳期中,13,选择题,paired_candidate,no,no,
Q-2024朝阳期中-14,S-2024朝阳期中,14,选择题,paired_candidate,no,no,
Q-2024朝阳期中-15,S-2024朝阳期中,15,选择题,paired_candidate,no,no,
Q-2024朝阳期中-16,S-2024朝阳期中,16,主观题,paired_candidate,no,no,
Q-2024朝阳期中-17,S-2024朝阳期中,17,主观题,paired_candidate,no,no,
Q-2024朝阳期中-18,S-2024朝阳期中,18,主观题,paired_candidate,no,no,
Q-2024朝阳期中-19,S-2024朝阳期中,19,主观题,paired_candidate,no,no,
Q-2024朝阳期中-2,S-2024朝阳期中,2,选择题,paired_candidate,no,no,
Q-2024朝阳期中-20-1,S-2024朝阳期中,20(1),主观题,paired_candidate,no,no,
Q-2024朝阳期中-20-2,S-2024朝阳期中,20(2),主观题,paired_candidate,no,no,
Q-2024朝阳期中-20-3,S-2024朝阳期中,20(3),主观题,paired_candidate,no,no,
Q-2024朝阳期中-3,S-2024朝阳期中,3,选择题,paired_candidate,no,no,
Q-2024朝阳期中-4,S-2024朝阳期中,4,选择题,paired_candidate,no,no,
Q-2024朝阳期中-5,S-2024朝阳期中,5,选择题,paired_candidate,no,no,
Q-2024朝阳期中-6,S-2024朝阳期中,6,选择题,paired_candidate,no,no,
Q-2024朝阳期中-7,S-2024朝阳期中,7,选择题,paired_candidate,no,no,
Q-2024朝阳期中-8,S-2024朝阳期中,8,选择题,paired_candidate,no,no,
Q-2024朝阳期中-9,S-2024朝阳期中,9,选择题,paired_candidate,no,no,
Q-2024海淀二模-1,S-2024海淀二模,1,选择题,paired_candidate,no,no,
Q-2024海淀二模-10,S-2024海淀二模,10,选择题,paired_candidate,no,no,
Q-2024海淀二模-11,S-2024海淀二模,11,选择题,paired_candidate,no,no,
Q-2024海淀二模-12,S-2024海淀二模,12,选择题,paired_candidate,no,no,
Q-2024海淀二模-13,S-2024海淀二模,13,选择题,paired_candidate,no,no,
Q-2024海淀二模-14,S-2024海淀二模,14,选择题,paired_candidate,no,no,
